C1P2T10_ope_data.tx,C1P2T10_ope_data.ty,C1P2T10_ope_data.tz,C1P2T10_ope_data.rx,C1P2T10_ope_data.ry,C1P2T10_ope_data.rz
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
0.9535935671,2.315517924,1.749302916,-2.879621826,0.4510079045,16.21405171
