C1P2T10_hyoid_data.tx,C1P2T10_hyoid_data.ty,C1P2T10_hyoid_data.tz,C1P2T10_hyoid_data.rx,C1P2T10_hyoid_data.ry,C1P2T10_hyoid_data.rz
2.404227104,-0.33338517,1.393172274,42.82102991,38.43968921,43.97476239
2.404699618,-0.3327711973,1.392334681,42.82279553,38.44584394,43.95304021
2.405121178,-0.3322416912,1.391474015,42.82426069,38.45029378,43.93648552
2.405489854,-0.3318023783,1.390582622,42.82540078,38.45289816,43.9255106
2.405803701,-0.3314589679,1.389653012,42.8261897,38.45351656,43.92052665
2.406068482,-0.3311917034,1.388714155,42.8267347,38.45265953,43.91988416
2.40629378,-0.3309735657,1.387803572,42.82721704,38.45103811,43.92146206
2.406483358,-0.3307993292,1.38692679,42.82771955,38.44881265,43.92496268
2.406640964,-0.3306637407,1.386089393,42.82832441,38.44614352,43.93008792
2.406770332,-0.3305615208,1.385296999,42.82911339,38.44319112,43.9365394
2.406857509,-0.3305205456,1.384536209,42.83003455,38.43933906,43.94604339
2.406895552,-0.3305532042,1.383799452,42.83100908,38.43428864,43.9593293
2.406898689,-0.3306309087,1.38310106,42.83207795,38.42867681,43.97460287
2.406881132,-0.3307250061,1.382455201,42.83328264,38.4231405,43.99007012
2.406857087,-0.3308067806,1.38187579,42.8346657,38.41831661,44.00393766
2.406810757,-0.3309376069,1.38130476,42.83638906,38.41310065,44.02100163
2.406724007,-0.3311650028,1.38070889,42.83846816,38.40653281,44.04458017
2.406607537,-0.3314393777,1.380138805,42.8407281,38.39946712,44.07066405
2.406472065,-0.3317111425,1.379644436,42.84299846,38.39275809,44.0952467
2.406328337,-0.3319307029,1.379274906,42.8451139,38.38726077,44.11432448
2.406054813,-0.3323800952,1.378778336,42.84601817,38.37689364,44.14629695
2.405592453,-0.3332123977,1.378022902,42.84537158,38.35851962,44.20166639
2.405045909,-0.3341843879,1.377234181,42.84410842,38.33741079,44.26459836
2.40452036,-0.3350536195,1.376630754,42.84323707,38.31883838,44.31930962
2.404121587,-0.3355782697,1.376423746,42.84384025,38.30807226,44.35006808
2.403766382,-0.3358554743,1.376972869,42.84693406,38.30650544,44.35904062
2.403336784,-0.3361209833,1.378212774,42.85197034,38.31004893,44.36032982
2.402886831,-0.3363415038,1.379713089,42.8577065,38.31574863,44.35612054
2.402470718,-0.3364862569,1.381044118,42.86290212,38.32065,44.34860186
2.402142771,-0.3365272042,1.381777181,42.86632272,38.32179773,44.33997064
2.401903276,-0.3363484583,1.382081695,42.86691115,38.32313064,44.32176182
2.401712136,-0.3358998804,1.382404251,42.86509324,38.32953147,44.28698343
2.401563152,-0.3352536098,1.382733481,42.86186279,38.33946028,44.24004804
2.401450127,-0.334481995,1.383058352,42.85822156,38.35138017,44.18537487
2.401366924,-0.3336576972,1.383367428,42.85518841,38.36375932,44.1273958
2.40130751,-0.332853752,1.383648442,42.85380435,38.37507184,44.07055872
2.40126596,-0.3321435864,1.383888157,42.85513348,38.38379753,44.01932822
2.401236461,-0.3316009925,1.384072539,42.86025984,38.3884204,43.97818356
2.401213276,-0.3313000529,1.38418722,42.87028016,38.38742604,43.95161401
2.401171805,-0.331171414,1.384059611,42.8800293,38.37906598,43.93284577
2.401112016,-0.3310883365,1.383648744,42.88597563,38.36478777,43.91336818
2.401064962,-0.3310379862,1.383137774,42.89166302,38.3478743,43.89506243
2.401061536,-0.3310063837,1.382709848,42.90062571,38.3316148,43.87980074
2.401132457,-0.3309783382,1.382548119,42.91638922,38.31930423,43.86944753
2.401267738,-0.3310516031,1.382586521,42.94343879,38.30607518,43.8684499
2.401432031,-0.3312749135,1.382629626,42.98013261,38.28716264,43.87685136
2.401617823,-0.3315590401,1.382667184,43.02079376,38.26601144,43.88989964
2.40181749,-0.3318157397,1.382689807,43.05973988,38.24606008,43.9028353
2.402023297,-0.3319578174,1.382688879,43.09128499,38.23074211,43.91089249
2.402350479,-0.3321076671,1.382887135,43.12630232,38.2183899,43.92280719
2.402844522,-0.3323891236,1.383371098,43.1738673,38.20541121,43.94604211
2.403393016,-0.3327199108,1.383929032,43.22558871,38.19234182,43.97390908
2.403883569,-0.3330211668,1.384350014,43.27306794,38.17971343,43.99970744
2.404203829,-0.3332173909,1.384423811,43.30789957,38.1680553,44.01672384
2.404559732,-0.3332567775,1.384483591,43.33799744,38.1603185,44.024036
2.405125189,-0.3331841644,1.38484412,43.37349406,38.15721513,44.02722932
2.405739996,-0.3330731049,1.385268938,43.40930925,38.15590175,44.02934547
2.40624419,-0.3330004828,1.385522632,43.44036911,38.15351767,44.03343226
2.406478035,-0.3330461473,1.385370765,43.46160503,38.14718769,44.04254291
2.406478318,-0.3330681183,1.384754885,43.46644747,38.14048376,44.04974888
2.4064019,-0.3329415922,1.383863088,43.45728417,38.1371591,44.04963125
2.406269274,-0.3327726697,1.382831277,43.44248369,38.13460951,44.04751284
2.40610093,-0.332666861,1.381795199,43.43041779,38.13023829,44.04872259
2.405917346,-0.3327293229,1.380890665,43.42945953,38.1214548,44.05859387
2.405493726,-0.3330385361,1.379666093,43.42040733,38.10690807,44.08132579
2.404734817,-0.3335316046,1.377837198,43.3891026,38.08833593,44.11370896
2.403855338,-0.3341005886,1.375789053,43.35149839,38.06777548,44.14998126
2.403070069,-0.3346407968,1.373905018,43.32358688,38.04722101,44.18441371
