C2P1T04_sup_data.tx,C2P1T04_sup_data.ty,C2P1T04_sup_data.tz,C2P1T04_sup_data.rx,C2P1T04_sup_data.ry,C2P1T04_sup_data.rz
3.160871512,1.546390715,0.8437989171,8.819825752,15.12051069,83.09527975
3.163047801,1.545882638,0.8430012664,8.822974287,15.12414545,83.18622889
3.165178286,1.54539948,0.8422811295,8.824249181,15.12907657,83.27550207
3.167263659,1.54494152,0.841643543,8.823516248,15.13544868,83.36314833
3.169304603,1.544509053,0.8410935309,8.820642093,15.14340663,83.44921663
3.171301784,1.544102394,0.8406361044,8.81549409,15.1530955,83.53375581
3.173243564,1.54372222,0.8402488652,8.808847751,15.16376278,83.61610194
3.175123047,1.54336647,0.8399039825,8.801591313,15.17452947,83.69579078
3.176947976,1.543031401,0.8395982276,8.793762191,15.18535008,83.77317032
3.178726062,1.542713318,0.8393282687,8.785398315,15.1961779,83.84858814
3.18046499,1.542408564,0.8390906791,8.776538132,15.20696515,83.92239143
3.182172412,1.542113526,0.8388819423,8.767220596,15.21766302,83.99492703
3.183864736,1.541824666,0.838725687,8.756666515,15.22893231,84.0670326
3.185547712,1.541541912,0.8386373997,8.744380564,15.24121298,84.13902249
3.18721303,1.54126685,0.8386013375,8.730825425,15.25412358,84.21045851
3.188852425,1.541001022,0.8386018221,8.71646047,15.26728179,84.28090273
3.190457681,1.540745927,0.8386232366,8.7017418,15.28030432,84.34991744
3.19202063,1.540503022,0.8386500214,8.687122361,15.29280697,84.41706519
3.193518534,1.540281541,0.8387161986,8.672371235,15.3051325,84.4815629
3.194932146,1.540088619,0.8388475494,8.657360026,15.31747385,84.54268693
3.196258601,1.539922518,0.839016205,8.642690536,15.32922013,84.60008922
3.197495073,1.539781474,0.8391943088,8.628961478,15.33975896,84.65342192
3.198638774,1.539663697,0.8393540134,8.616769153,15.34847673,84.70233736
3.199577944,1.539603935,0.8395222656,8.605180141,15.35630111,84.74155038
3.200223061,1.539669751,0.8398934513,8.591006413,15.36698072,84.7680766
3.200641258,1.539860244,0.8405370627,8.573548092,15.38145274,84.78566569
3.200953968,1.540109372,0.8413048129,8.555052311,15.39690558,84.79906095
3.201282732,1.540351016,0.8420483062,8.537770484,15.41052701,84.81300923
3.201749256,1.540518897,0.8426191489,8.523958898,15.41950576,84.83226156
3.202532084,1.540547856,0.8429049584,8.51431974,15.42187547,84.86333673
3.203607504,1.540476739,0.8430401854,8.505923423,15.41979888,84.90519376
3.204799105,1.540382234,0.8431927121,8.496593907,15.41626548,84.95141211
3.20596619,1.540286644,0.8433444039,8.487027639,15.41168925,84.99629154
3.206968176,1.540212,0.8434776714,8.477919967,15.40649133,85.03413122
3.207664554,1.540180132,0.8435752888,8.469966368,15.40109781,85.05922986
3.208229063,1.540132347,0.8435716365,8.464030577,15.39418722,85.07948031
3.208884307,1.540019494,0.8434205426,8.460683085,15.38423721,85.1044964
3.209560664,1.539876006,0.8431515592,8.459877348,15.37141705,85.1309856
3.210187754,1.539724201,0.8427817881,8.461867714,15.35572132,85.15550147
3.210695188,1.539586353,0.8423285059,8.466911118,15.33714906,85.17459836
3.211012533,1.539484734,0.8418090868,8.475269639,15.31570398,85.18483153
3.21106926,1.539441677,0.8412408468,8.487213734,15.29139353,85.18275702
3.21079466,1.539479674,0.8406408087,8.503026146,15.26422702,85.16493127
3.210117741,1.539621497,0.8400253886,8.523006475,15.23421249,85.12791041
