frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
11,4.768504484,3.401856743,-1.156290019,4.838155963,3.4637566,-0.9729760692,4.576592141,2.824447665,-0.9182712514,4.41449254,2.479196556,-0.6222645257,4.562470763,2.735312633,-1.038396366,4.67165633,2.96090415,-0.9521518247,4.776841682,3.045064815,-0.8183164726,4.400765102,2.629720629,-1.419071716,4.544444065,2.788465927,-1.491839206,4.763318995,3.170402792,-1.312589825,4.623312555,2.836937203,-0.2055077483,4.678572929,3.07786392,-1.456005942,4.448876163,2.688628545,-1.849294817,4.801060845,3.229515875,-1.418596933,4.749796496,3.181911727,-1.538344244,5.365513985,4.151532571,-0.3125005212,5.333480331,4.155199513,-0.6728654421
12,4.766574737,3.395778184,-1.148290085,4.836062305,3.457726179,-0.9647581473,4.574035273,2.818729949,-0.9108015727,4.411921469,2.472868486,-0.6147207334,4.560760908,2.729292744,-1.030977957,4.669113722,2.95472686,-0.9444759195,4.774765636,3.038430593,-0.8104470449,4.398790903,2.623967664,-1.411575539,4.54304827,2.782548215,-1.484241962,4.761635117,3.16441127,-1.304421235,4.620274668,2.830509303,-0.1971060548,4.676112669,3.071377581,-1.447695466,4.44776214,2.682817657,-1.84183088,4.799615509,3.223537189,-1.410474335,4.748243536,3.175977412,-1.529432855,5.363045458,4.145341342,-0.3031307214,5.331520438,4.149913522,-0.6637568994
13,4.764730882,3.389652077,-1.14021331,4.83403994,3.451635092,-0.9564592142,4.571576906,2.812911849,-0.9032198253,4.409358059,2.466564754,-0.6071172004,4.559037302,2.723222859,-1.023464278,4.666605023,2.948557679,-0.9367148968,4.772768082,3.031810438,-0.8025065307,4.39690197,2.618257507,-1.404036144,4.541668966,2.776609714,-1.476575427,4.760023874,3.158394412,-1.29615292,4.617260719,2.823957056,-0.1885804498,4.673834996,3.064883239,-1.439337065,4.446701322,2.677007809,-1.834330567,4.798127125,3.217506352,-1.402316641,4.746761834,3.170029388,-1.520528828,5.360621762,4.139046012,-0.2936875017,5.329595711,4.1444183,-0.6545678422
14,4.762968634,3.383472745,-1.132062571,4.832087823,3.445477518,-0.9480817967,4.569210174,2.806993592,-0.8955358207,4.406796718,2.460263643,-0.5994616542,4.557314296,2.717094819,-1.015858176,4.664150812,2.942382973,-0.928874837,4.770842531,3.025186086,-0.7944924307,4.395111319,2.612564539,-1.396455424,4.540309258,2.770638264,-1.468833037,4.758483249,3.15234313,-1.287798683,4.614274529,2.817283649,-0.1799568907,4.671733325,3.058404763,-1.430961846,4.445695659,2.671190499,-1.826790478,4.796609448,3.211428031,-1.394116645,4.745351506,3.164062083,-1.511629887,5.358249914,4.132639304,-0.2841675061,5.327712595,4.138724358,-0.6452990549
15,4.761283728,3.377234456,-1.123840766,4.830204929,3.439247574,-0.9396284268,4.566928266,2.800975347,-0.8877593921,4.404231897,2.453943393,-0.5917618537,4.555606258,2.710900382,-1.008162444,4.661771698,2.936189034,-0.9209617246,4.768982485,3.018539207,-0.7864022793,4.39343198,2.606863061,-1.388835219,4.538972232,2.764621626,-1.461008222,4.7570113,3.146248282,-1.279372334,4.611320048,2.810492227,-0.1712613167,4.669801258,3.051965996,-1.422600882,4.444747106,2.665357147,-1.819207197,4.795076227,3.20530682,-1.385867075,4.744012689,3.158069863,-1.502733746,5.355936921,4.126113868,-0.2745673612,5.325877547,4.132842141,-0.6359513023
16,4.759670553,3.370949253,-1.115567609,4.828392158,3.432944059,-0.9311249009,4.564777179,2.794821791,-0.8798899809,4.401629822,2.447771353,-0.584013192,4.553840085,2.704649224,-1.000371321,4.659269,2.930085221,-0.912986296,4.767271446,3.011973829,-0.7783096108,4.391833184,2.601275074,-1.381243509,4.537615239,2.758624927,-1.453188648,4.755624478,3.14015182,-1.270750488,4.608361388,2.803505817,-0.1623479592,4.668117944,3.045401753,-1.414142738,4.443827113,2.659531058,-1.811611651,4.793473326,3.19912434,-1.377634171,4.742731707,3.152124646,-1.494125639,5.353648649,4.119471351,-0.2649272712,5.324040841,4.126669214,-0.6265740332
17,4.758154188,3.364625869,-1.107221162,4.826673646,3.426568723,-0.9225537796,4.562816327,2.788509538,-0.8718907408,4.399000564,2.441867352,-0.5761744515,4.551990472,2.698348848,-0.9924467063,4.65653318,2.924146775,-0.9049194453,4.765785224,3.005566881,-0.770228112,4.390323907,2.595882375,-1.373688535,4.536245629,2.752689614,-1.44540005,4.754363468,3.134079761,-1.261815127,4.605389178,2.796281633,-0.1530803933,4.666765531,3.038583375,-1.40546256,4.4429586,2.65372084,-1.803991156,4.791796159,3.192862819,-1.369429551,4.741535078,3.146265804,-1.485939377,5.351369428,4.112725308,-0.255240677,5.322183009,4.12014241,-0.6171642124
18,4.756751946,3.358256841,-1.09876731,4.825061219,3.420122237,-0.9138786516,4.56103527,2.782059301,-0.8637428902,4.396382674,2.436139978,-0.5682238232,4.550117895,2.691990934,-0.9843687846,4.65369485,2.918311178,-0.8967332858,4.764483878,2.999260866,-0.7620928348,4.388946016,2.590604493,-1.366107312,4.534910431,2.74677335,-1.437568749,4.753235739,3.12800313,-1.252614723,4.602432341,2.788873185,-0.1435243466,4.665713264,3.031594583,-1.396597337,4.442185108,2.647903397,-1.796302163,4.790104473,3.186532054,-1.361190597,4.740452829,3.140443824,-1.477971992,5.349122613,4.105883474,-0.2454626056,5.320340276,4.113330151,-0.6076721191
19,4.755447695,3.351835888,-1.090212521,4.82353715,3.413604159,-0.9051042095,4.559390441,2.775491659,-0.8554701812,4.393784431,2.430495555,-0.5601821613,4.548246788,2.685568207,-0.9761607923,4.650851755,2.912515389,-0.8884423947,4.763297583,2.992995866,-0.7538831093,4.387697197,2.585366828,-1.358478427,4.533612328,2.740839499,-1.429663754,4.752211151,3.121895774,-1.243240699,4.599500507,2.781326386,-0.1337880139,4.664889487,3.024523927,-1.387626412,4.441498589,2.642065583,-1.788543325,4.788418407,3.180145309,-1.352897556,4.739472188,3.134613961,-1.470063222,5.34691944,4.098942569,-0.235591503,5.318530105,4.106293689,-0.5980909876
20,4.754225501,3.345356696,-1.081563226,4.822083914,3.407014023,-0.8962351061,4.557838586,2.76882721,-0.8470964013,4.391214287,2.424840363,-0.5520702845,4.546401863,2.679073331,-0.967845737,4.648101814,2.906696206,-0.8800608329,4.762156521,2.986711946,-0.745578572,4.386575134,2.580094664,-1.350780469,4.532353992,2.734851291,-1.421654005,4.751260162,3.115731659,-1.233784541,4.596604071,2.773687261,-0.1239793158,4.664223235,3.017460105,-1.378629176,4.44089116,2.636194176,-1.780713242,4.786758203,3.173715729,-1.344530438,4.738579761,3.128731143,-1.462052823,5.344771321,4.091899264,-0.2256256403,5.316770179,4.099094204,-0.5884137562
