C2P2T17_ope_data.tx,C2P2T17_ope_data.ty,C2P2T17_ope_data.tz,C2P2T17_ope_data.rx,C2P2T17_ope_data.ry,C2P2T17_ope_data.rz
0.1270186051,1.672259585,1.542368423,-1.847758924,-1.961740688,30.96462108
0.1272526083,1.672712497,1.541780872,-1.874807312,-1.938148973,30.95995496
0.1274877471,1.67314718,1.541189866,-1.902155808,-1.915064068,30.95567373
0.1277248108,1.673562513,1.540592932,-1.929935595,-1.892446478,30.95181129
0.1279645747,1.673957393,1.539987597,-1.95827794,-1.870256803,30.94840123
0.1282078005,1.674330731,1.539371384,-1.987314188,-1.84845574,30.94547682
0.1284507566,1.67468879,1.538754368,-2.016516714,-1.827179437,30.94284852
0.1286890067,1.675038502,1.53815082,-2.045117222,-1.806648519,30.94030187
0.1289222635,1.675379787,1.537564566,-2.072886022,-1.786950285,30.93783294
0.1291502627,1.675712535,1.536999441,-2.099593321,-1.768171794,30.93543828
0.1293727622,1.676036616,1.536459287,-2.125009224,-1.750399856,30.93311487
0.129594793,1.676345186,1.535929142,-2.149764712,-1.73341756,30.93105306
0.1298187354,1.676635292,1.535399673,-2.174303703,-1.717065838,30.92933877
0.1300404302,1.676912566,1.534883182,-2.198115399,-1.701517742,30.9278135
0.1302557741,1.677182569,1.534391975,-2.220688684,-1.686945865,30.92631981
0.1304607147,1.677450794,1.533938368,-2.241512143,-1.673522314,30.92470121
0.1306512442,1.677722673,1.533534687,-2.260074081,-1.661418682,30.92280199
0.1308390817,1.677968302,1.533145679,-2.277821343,-1.650342211,30.92143712
0.1310326472,1.678171066,1.532746018,-2.295805974,-1.64001047,30.92106367
0.1312230697,1.678356199,1.532362921,-2.312923453,-1.630609573,30.92099078
0.1314015456,1.678548818,1.532023584,-2.328068672,-1.6223249,30.92052907
0.1315593246,1.678773934,1.531755198,-2.340135936,-1.615340961,30.91899042
0.1317223769,1.678973206,1.531462257,-2.353435806,-1.608560116,30.91755448
0.1319107941,1.679098051,1.531073876,-2.371080043,-1.601252052,30.9173564
0.1321071652,1.679187863,1.530654244,-2.390163494,-1.594149119,30.91764435
0.13229427,1.679281736,1.530267642,-2.407779776,-1.587980774,30.91767045
0.1324550688,1.679418463,1.529978444,-2.421021292,-1.583473517,30.91669061
0.1325726467,1.679636608,1.529851149,-2.426979406,-1.581350431,30.9139631
0.1326635392,1.679899697,1.529892493,-2.423766771,-1.582931202,30.90966602
0.1327516996,1.680156051,1.530039266,-2.413649273,-1.587907447,30.90460864
0.1328312552,1.680421455,1.530251067,-2.399948572,-1.594560432,30.89899535
0.1328962207,1.680711833,1.530487289,-2.385987908,-1.601177114,30.89303111
0.1329405382,1.681043221,1.530707098,-2.375092135,-1.606050677,30.88692241
0.1329332139,1.681429538,1.531022795,-2.361442766,-1.611346615,30.88011665
0.1328581835,1.681866816,1.531544503,-2.338414201,-1.619907738,30.87207616
0.1327316542,1.682344459,1.532227855,-2.308122235,-1.631049619,30.86302958
0.1325697987,1.682851953,1.533028326,-2.272683024,-1.64409099,30.85320612
0.1323888349,1.683378765,1.533901202,-2.234212773,-1.658354145,30.84283777
0.1322050799,1.68391428,1.534801554,-2.194827514,-1.673165195,30.8321607
0.1320349781,1.68444777,1.535684227,-2.156642982,-1.687854196,30.82141609
0.131895105,1.684968385,1.536503844,-2.121774593,-1.701755129,30.81085011
0.1318021459,1.685465182,1.537214817,-2.092337514,-1.714205723,30.80071325
0.1317728497,1.685927175,1.537771375,-2.07044684,-1.724547116,30.79125891
0.1318039401,1.686412632,1.53831162,-2.050108581,-1.73359899,30.78050778
0.1318705419,1.68696521,1.538956657,-2.026010736,-1.74253592,30.76721531
0.1319571113,1.68755192,1.539634942,-2.00129222,-1.751238548,30.75274018
0.1320482587,1.688139619,1.540274663,-1.979092919,-1.759594861,30.73844443
0.1321287407,1.688695017,1.540803737,-1.962553693,-1.767500093,30.72569315
0.1321834115,1.689184722,1.541149884,-1.954816378,-1.774855247,30.71585344
0.1322391414,1.689607929,1.541224835,-1.959548248,-1.779157429,30.70933936
0.1323224391,1.689998302,1.541070124,-1.97479626,-1.77958048,30.70491835
0.1324177137,1.690374031,1.540808296,-1.995271427,-1.77853832,30.70148729
0.1325096196,1.690753023,1.540562017,-2.015682908,-1.778440442,30.69794676
0.1325831153,1.691152835,1.54045402,-2.030737957,-1.781692964,30.69320275
0.132641098,1.691551853,1.540416682,-2.043913583,-1.787833173,30.68814046
0.1326973659,1.691921055,1.540310366,-2.061548035,-1.79472348,30.68418838
0.1327534152,1.692266665,1.540149897,-2.082639246,-1.802253873,30.68107008
0.1328107427,1.692594907,1.539950131,-2.106185116,-1.810313332,30.67850915
0.132870849,1.692911993,1.539725954,-2.131183482,-1.818790064,30.67622927
0.1329352409,1.693224124,1.539492266,-2.156632101,-1.82757166,30.67395435
0.1330054318,1.693537482,1.539263981,-2.181528644,-1.836545193,30.67140851
