frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
11,8.341091596,2.33305167,-0.07202785659,8.278109599,2.122158754,-0.0316643279,8.023022011,2.083999177,0.03955166171,NaN,NaN,NaN,7.446549511,1.677984487,-0.4457689792,8.638787477,2.41629332,-0.5456879662,8.501951112,2.319831623,-0.2560769984,8.325167219,2.220084386,-0.6001316687,7.962715833,1.915069335,0.1805454126,8.069674752,2.056673595,-0.5621929539,8.401986643,2.155533682,0.6559864685,8.042394208,2.059042721,-0.6928431332,7.948567377,1.974695166,-0.2338964464,7.989829807,1.855135247,0.6201097461,8.307522562,2.091843298,0.6826287726,8.45587396,2.19726636,0.5241624809,8.084840203,2.025621567,-0.287265255
12,8.337283297,2.332093493,-0.07202598193,8.27434646,2.121106468,-0.03154060214,8.019204404,2.083074584,0.0396098705,NaN,NaN,NaN,7.442863803,1.676665837,-0.4458292002,8.63539938,2.41491554,-0.5457168806,8.498130189,2.318956063,-0.256102559,8.321344588,2.218935347,-0.6005010076,7.95910377,1.913995667,0.1810113298,8.065797838,2.055247538,-0.5622792443,8.398066097,2.154707531,0.65614836,8.038822101,2.058137532,-0.6928342852,7.944589892,1.973716126,-0.2336885962,7.986241758,1.854365082,0.6204089498,8.303961957,2.090706415,0.6830220543,8.452014805,2.196568278,0.5236492627,8.081153966,2.024471999,-0.2870793349
13,8.333470204,2.331134823,-0.07203456813,8.270577455,2.120061127,-0.03143226317,8.015386294,2.082144134,0.03965614564,NaN,NaN,NaN,7.439172715,1.67535534,-0.4458827037,8.63192899,2.413568384,-0.5457722146,8.494303759,2.318067402,-0.256135857,8.317525056,2.217790548,-0.600844803,7.955472693,1.912928798,0.1814580575,8.061927376,2.053842796,-0.5623639671,8.394126229,2.153890865,0.6562976536,8.035234519,2.057212268,-0.6928329158,7.940624218,1.97272511,-0.2334886097,7.982650012,1.853591108,0.6206834123,8.300390435,2.089586411,0.6833988391,8.448155532,2.19586254,0.523176748,8.077466738,2.023320565,-0.2868973661
14,8.329653146,2.33017555,-0.07205273539,8.266803637,2.119022604,-0.03133748769,8.011568977,2.081207674,0.03969278466,NaN,NaN,NaN,7.435477259,1.674050757,-0.4459246967,8.628373552,2.412251807,-0.5458536665,8.4904722,2.317164469,-0.2561759866,8.313709194,2.216648116,-0.6011637892,7.951823336,1.911869413,0.1818879408,8.058063213,2.052457791,-0.5624444677,8.390169566,2.153086456,0.6564359941,8.031630986,2.056265089,-0.6928365979,7.936671358,1.971720185,-0.2332930313,7.979055249,1.852815839,0.6209358164,8.296808004,2.088487026,0.6837603802,8.444297237,2.195151121,0.5227468281,8.073779571,2.022166164,-0.2867172065
15,8.325833022,2.32921639,-0.07208036069,8.263026133,2.117991293,-0.03125512067,8.007753189,2.080266525,0.03972101542,NaN,NaN,NaN,7.431778809,1.672750281,-0.4459530811,8.624741914,2.410962806,-0.5459591488,8.486636703,2.316248367,-0.2562230346,8.30989741,2.215506328,-0.6014590227,7.948157954,1.910818746,0.1823019716,8.054205289,2.051090145,-0.562520276,8.386198572,2.152297903,0.6565634204,8.028013285,2.055295166,-0.6928440324,7.932731272,1.970702428,-0.2331014158,7.975458178,1.852042561,0.6211689986,8.2932159,2.087411213,0.6841072422,8.440440626,2.194437569,0.5223566081,8.070093195,2.021008475,-0.286537735
16,8.322009669,2.328257766,-0.07211780568,8.259244852,2.116967145,-0.03118558635,8.003938401,2.079321379,0.03974022245,NaN,NaN,NaN,7.428077314,1.671454388,-0.4459698074,8.621042039,2.409700288,-0.5460865358,8.482797433,2.315320728,-0.2562775891,8.306089104,2.214365881,-0.6017326047,7.944477382,1.909776731,0.1826984143,8.050352414,2.049739894,-0.5625928721,8.382214332,2.151524763,0.6566785677,8.024382108,2.05430477,-0.6928558538,7.92880265,1.969673738,-0.2329157286,7.971857933,1.851271005,0.6213827533,8.289613932,2.086357812,0.684438232,8.436585093,2.193722022,0.522002023,8.06640712,2.019848175,-0.2863599435
17,8.318182921,2.327300112,-0.07216545376,8.255459702,2.115950118,-0.03112933081,8.000124086,2.078372938,0.03974976884,NaN,NaN,NaN,7.424372723,1.670163558,-0.4459768493,8.617281892,2.408463179,-0.5462337225,8.478954556,2.314383195,-0.2563402607,8.302283679,2.21322748,-0.6019866595,7.940782455,1.908743311,0.1830755121,8.046503398,2.048407079,-0.5626637607,8.378217934,2.150766599,0.6567800512,8.020738147,2.05329618,-0.692872719,7.924884184,1.968636022,-0.2327379584,7.968253646,1.850500911,0.6215768555,8.28600191,2.08532567,0.684752135,8.432730034,2.193004631,0.5216789879,8.062720854,2.018685949,-0.2861848467
18,8.314352617,2.32634387,-0.07222371047,8.251670592,2.114940178,-0.03108682216,7.996309715,2.077421912,0.03974899578,NaN,NaN,NaN,7.420664986,1.668878282,-0.4459762032,8.613469437,2.407250424,-0.5463986247,8.475108238,2.313437421,-0.2564116832,8.298480539,2.212091842,-0.6022233355,7.93707401,1.907718427,0.1834314866,8.042657054,2.047091751,-0.5627344712,8.374210468,2.150022985,0.6568664659,8.017082092,2.052271683,-0.6928953077,7.920974562,1.967591192,-0.2325701177,7.964644453,1.849732023,0.6217510606,8.282379643,2.084313639,0.6850477151,8.428874847,2.192285553,0.5213833975,8.059033907,2.017522486,-0.2860134827
19,8.310518592,2.325389491,-0.07229300385,8.247877431,2.113937299,-0.03105855081,7.992494759,2.076469018,0.03973722215,NaN,NaN,NaN,7.416954056,1.667599055,-0.4459698891,8.609612639,2.406060983,-0.546579179,8.471258644,2.312485068,-0.2564925142,8.294679088,2.210959691,-0.6024448049,7.933352882,1.906702031,0.1837645379,8.038812192,2.045793968,-0.5628065577,8.370193024,2.149293501,0.6569363867,8.013414632,2.051233578,-0.6929243239,7.917072476,1.966541162,-0.2324142437,7.961029487,1.848964093,0.6219051037,8.278746946,2.083320576,0.685323715,8.425018933,2.191564953,0.5211111257,8.055345789,2.016358486,-0.2858469132
20,8.306680686,2.324437437,-0.07237378453,8.244080129,2.112941466,-0.03104502947,7.988678693,2.075514983,0.0397137443,NaN,NaN,NaN,7.413239884,1.66632638,-0.4459599506,8.605719465,2.404893835,-0.5467733424,8.467405939,2.311527807,-0.2565834355,8.290878731,2.20983176,-0.6026532645,7.92961991,1.905694076,0.1840728446,8.034967626,2.044513796,-0.562881599,8.366166693,2.148577733,0.6569883683,8.009736458,2.05018417,-0.6929604957,7.913176613,1.965487854,-0.2322723984,7.957407885,1.848196882,0.6220387001,8.275103631,2.082345344,0.6855788562,8.421161696,2.190843003,0.5208580255,8.05165601,2.015194653,-0.2856862239
