C1P1T09_pec_data.tx,C1P1T09_pec_data.ty,C1P1T09_pec_data.tz,C1P1T09_pec_data.rx,C1P1T09_pec_data.ry,C1P1T09_pec_data.rz
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
-0.4665689227,-1.515853619,2.078846535,-10.04133882,45.93456264,15.03632283
