C2P2T17_pect_data.tx,C2P2T17_pect_data.ty,C2P2T17_pect_data.tz,C2P2T17_pect_data.rx,C2P2T17_pect_data.ry,C2P2T17_pect_data.rz
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
0.08115794454,-1.233087736,1.597760695,-7.914567103,16.01590215,34.45535093
0.08140713573,-1.232619462,1.597927449,-7.926828837,16.03977576,34.44126314
0.08163738088,-1.23216841,1.598107024,-7.938259355,16.06229241,34.42730788
0.08176480264,-1.231701265,1.598374915,-7.950038358,16.08401424,34.41215527
0.08181434131,-1.231231707,1.598690712,-7.961405316,16.10492107,34.39617684
0.0818696086,-1.230796305,1.598966934,-7.970895782,16.12456014,34.38067724
0.08192903536,-1.23039483,1.599205023,-7.978512821,16.14263909,34.3657229
0.08198905056,-1.230025408,1.599407572,-7.984355642,16.1589566,34.35134058
0.08205075479,-1.229686626,1.599581051,-7.988693619,16.17356034,34.33753782
0.08211522526,-1.229377048,1.599731936,-7.991796685,16.18649741,34.32432148
0.08218352081,-1.229095218,1.599866705,-7.993935262,16.19781446,34.31169782
0.08226745497,-1.228846851,1.599989071,-7.995137546,16.20736264,34.29973227
0.08237696148,-1.22863721,1.600101655,-7.99536624,16.21490553,34.28852293
0.08251026221,-1.228464143,1.600209313,-7.994794031,16.22035786,34.27812447
0.08264275058,-1.228314897,1.600339046,-7.99380659,16.22398121,34.26792462
0.08275625281,-1.228180156,1.600502318,-7.99249633,16.22605171,34.25753779
0.08285861408,-1.228062898,1.600680734,-7.990596382,16.22650587,34.24735851
0.08295765463,-1.227966082,1.600855956,-7.98784013,16.22528053,34.2377812
0.08306117209,-1.227892641,1.601009705,-7.98396122,16.22231279,34.22920009
0.08317694387,-1.227845492,1.60112375,-7.9786936,16.21754002,34.22200918
0.08328379539,-1.227800087,1.60125015,-7.973155733,16.21097437,34.21578385
0.08343051195,-1.227799031,1.601385805,-7.96513334,16.19981786,34.21083063
0.08366752169,-1.227892679,1.60146816,-7.952161585,16.18259446,34.20782238
0.08396114573,-1.228061037,1.601483545,-7.93537873,16.16139314,34.20639182
0.08427777733,-1.228284253,1.601418182,-7.915923194,16.13830122,34.20617259
0.08455857761,-1.228512805,1.601319511,-7.896477928,16.11493382,34.20659906
0.08474084487,-1.22868768,1.601258154,-7.880172605,16.09299861,34.20692947
0.08495180621,-1.228956472,1.601123767,-7.861352377,16.06553806,34.20892843
0.08528145514,-1.229406724,1.600850474,-7.836087321,16.02850272,34.21369006
0.08563507534,-1.229915134,1.600525446,-7.80876652,15.98847668,34.21959099
0.08591869901,-1.230359469,1.600235255,-7.783766947,15.95204215,34.22502637
0.08603908628,-1.23061854,1.600065897,-7.76545345,15.92577979,34.22840966
0.08600695165,-1.230760066,1.599948708,-7.75089794,15.9052052,34.23068152
