frame,AA01_data.tx,AA01_data.ty,AA01_data.tz,AA02_data.tx,AA02_data.ty,AA02_data.tz,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
11,6.804725558,4.68551834,0.6373437682,6.975696425,4.731630998,0.8141131207,6.896254822,4.875722443,1.063428746,6.917708881,5.061386363,1.24870443,7.013525886,5.000235025,1.444035332,6.733948062,4.574656613,0.6228543043,6.820530546,4.502053199,1.001752053,6.720294239,4.470820209,0.2824324655,6.896731747,4.59590837,1.130888992,7.062056309,4.754154751,1.976975694,6.847656137,4.388041978,1.699725489,7.147965594,4.886628405,1.703221701,6.910442015,4.761280435,0.3273762993,7.116452131,4.994291373,0.9664284763,7.21803814,4.993181445,1.751443783,7.222993187,5.073257804,1.272466923,7.273429741,5.184409499,1.312336882,7.308785998,5.191020199,1.546658778,7.304810753,5.149949953,1.669456831
12,6.792230717,4.674670885,0.6355786363,6.963137268,4.720770037,0.8123482429,6.883819773,4.864854172,1.061696603,6.905263326,5.050415552,1.247010362,7.001100687,4.989307245,1.442311521,6.720978047,4.563854917,0.6215312212,6.809250004,4.490629366,1.000134847,6.707614383,4.46006243,0.2807733659,6.884561742,4.585091835,1.128851703,7.049625563,4.743053293,1.975103421,6.835528015,4.376796124,1.698095082,7.135721978,4.875657599,1.702137815,6.897659937,4.750689747,0.3254586085,7.104001619,4.983503751,0.9645596289,7.205704129,4.982131519,1.74953183,7.210424448,5.062356876,1.270756643,7.260981368,5.173534746,1.310392898,7.296460789,5.180194849,1.544730968,7.292312044,5.138801921,1.667603175
13,6.779727693,4.663871504,0.6338380825,6.950581951,4.709960551,0.810605694,6.871367478,4.854029383,1.059989585,6.892807212,5.039492978,1.24533701,6.988668596,4.978421024,1.440609908,6.708043435,4.553095866,0.6202199576,6.797860158,4.47929723,0.998537541,6.694958981,4.449350198,0.2791260511,6.87235909,4.574320886,1.126849055,7.037212137,4.731983742,1.973257059,6.823399192,4.365608337,1.696484945,7.123458278,4.864729514,1.701024987,6.884873818,4.740144653,0.3235685125,7.091532224,4.972770721,0.9627287194,7.193350263,4.97113167,1.747643345,7.197856995,5.051504525,1.269064168,7.248519427,5.162710979,1.30848842,7.284128307,5.169416611,1.5428326,7.279820692,5.127725802,1.665775365
14,6.767220836,4.65310802,0.6321186637,6.938033823,4.699189785,0.8088815251,6.858906732,4.843235317,1.058303435,6.880346705,5.02860579,1.243681173,6.976236052,4.967564033,1.438927483,6.695144866,4.54237121,0.618912292,6.786380636,4.468037778,0.9969574714,6.682325052,4.43867095,0.2774891626,6.860133114,4.563583419,1.124876504,7.024818167,4.720937083,1.971432218,6.811273162,4.354466433,1.694890291,7.11118339,4.853831969,1.699885466,6.872088022,4.729631938,0.3217014976,7.079052153,4.96207706,0.9609308298,7.18098649,4.960168626,1.745773963,7.185294476,5.040687496,1.267386762,7.236049941,5.151924566,1.306618265,7.271794225,5.158672617,1.540959846,7.267340735,5.116705734,1.663968784
15,6.754714414,4.642368363,0.6304169598,6.925496148,4.688445093,0.8071718119,6.846446253,4.832459326,1.056633914,6.867887896,5.017741241,1.242039668,6.96380942,4.956724046,1.437261253,6.682282893,4.531672806,0.6176000341,6.774830991,4.456832107,0.995391972,6.66970954,4.428012221,0.2758613725,6.847893053,4.552867439,1.12292952,7.012445703,4.709904402,1.969624541,6.799153338,4.34335833,1.693306358,7.098906139,4.842952886,1.698721525,6.859306831,4.719138496,0.3198530719,7.066569536,4.951407656,0.9591610591,7.168622681,4.949229224,1.743919338,7.172740461,5.029892641,1.265721716,7.223578853,5.141161983,1.304777278,7.259464134,5.147950105,1.539108898,7.254876131,5.105725956,1.662178839
16,6.74221262,4.631640567,0.6287295733,6.912972116,4.67771393,0.8054726537,6.833994679,4.821688875,1.054976799,6.855436797,5.006886693,1.240409339,6.951394983,4.945888947,1.435608249,6.669457979,4.520992624,0.6162750239,6.763230707,4.445661432,0.9938383753,6.657109313,4.417361644,0.2742413823,6.835648068,4.542161061,1.121003591,7.00009671,4.69887689,1.967829699,6.787043047,4.33227205,1.69172841,7.086635277,4.832080296,1.697535452,6.846534456,4.70865133,0.3180187656,7.054092428,4.940747507,0.9574145239,7.156268624,4.938300415,1.742075142,7.160198444,5.019106917,1.264066347,7.211112028,5.130409813,1.302960322,7.24714355,5.137236418,1.537275975,7.242430763,5.094770816,1.660400962
17,6.729721081,4.62091493,0.6270464519,6.900476407,4.666986203,0.8037752178,6.821544791,4.810913859,1.053328954,6.842996883,4.996033856,1.238775672,6.938996024,4.935049266,1.433959446,6.656699778,4.510302803,0.6149470745,6.751493794,4.434558809,0.9923107607,6.644563856,4.406702156,0.2726150954,6.823374475,4.531455872,1.119084219,6.987793693,4.687815061,1.966043753,6.774949157,4.321203176,1.690155301,7.074365476,4.821196627,1.696314476,6.833781788,4.698169582,0.3161912005,7.041617188,4.930089948,0.9556890459,7.143909639,4.927380694,1.74019868,7.147693549,5.008323252,1.26240139,7.198661323,5.119661773,1.301160028,7.23484774,5.126519901,1.535448777,7.230025035,5.083843729,1.65862865
18,6.717220194,4.610231937,0.6253788233,6.887993429,4.656303412,0.8020918394,6.80906654,4.800174591,1.051705502,6.830543438,4.985223504,1.237148884,6.926587818,4.924244902,1.43232687,6.644002093,4.499632783,0.6136391188,6.73955238,4.423586321,0.9908284159,6.632074876,4.396072263,0.2709895402,6.811037208,4.520791958,1.117181872,6.975524557,4.676743349,1.964281209,6.7628547,4.310191721,1.688602041,7.062066743,4.810338706,1.695063789,6.821030971,4.687739436,0.3143839475,7.029115028,4.919480553,0.9540012941,7.131510606,4.916514225,1.738290511,7.135211512,4.997585126,1.260735054,7.186204541,5.108962085,1.299391839,7.222555937,5.115841665,1.533639417,7.217641842,5.072994078,1.656876845
19,6.70469749,4.599615374,0.6237409473,6.875502592,4.645690173,0.8004358854,6.796557131,4.789495279,1.050114751,6.818064458,4.974478098,1.235547498,6.914158604,4.913499192,1.430723865,6.631331954,4.489021429,0.6123488273,6.727473237,4.412730229,0.9893827008,6.61960199,4.38550293,0.2693815462,6.798649228,4.510191476,1.115315458,6.963261885,4.665711443,1.962550939,6.750746995,4.29925567,1.687074838,7.049734158,4.799537372,1.693797638,6.808264631,4.677377251,0.3126093662,7.016579895,4.908941926,0.9523592808,7.119074804,4.905717305,1.736395823,7.12272114,4.986914685,1.259090245,7.17372167,5.098332228,1.29766884,7.210245002,5.105227785,1.53186472,7.205253987,5.062235136,1.655157271
20,6.692170184,4.589031012,0.6221261221,6.863013675,4.635111974,0.7987994275,6.784045908,4.778842823,1.048543253,6.805582228,4.963763281,1.233967569,6.901730493,4.902778399,1.429141466,6.618684871,4.478450297,0.6110534576,6.715351312,4.401920059,0.9879446487,6.607131858,4.374966581,0.2677878991,6.786252814,4.499619502,1.113483208,6.951010121,4.654713454,1.960840538,6.738641121,4.288358592,1.685560209,7.037395782,4.788765983,1.692508298,6.795495549,4.667039089,0.3108583909,7.00403902,4.898436692,0.9507485421,7.106639705,4.894948177,1.73453732,7.110225705,4.976274125,1.257467041,7.16122836,5.087733379,1.29598079,7.197927799,5.094644544,1.53011816,7.192869977,5.051520909,1.653458485
