T1P1T17_hyoid_data.tx,T1P1T17_hyoid_data.ty,T1P1T17_hyoid_data.tz,T1P1T17_hyoid_data.rx,T1P1T17_hyoid_data.ry,T1P1T17_hyoid_data.rz
1.98810498,-1.103542531,-1.618782359,-19.96003934,-25.23140753,37.00075416
1.98810498,-1.103542531,-1.618782359,-19.96003934,-25.23140753,37.00075416
1.98810498,-1.103542531,-1.618782359,-19.96003934,-25.23140753,37.00075416
1.987661555,-1.103263245,-1.618693347,-20.01520238,-25.22657027,36.99034421
1.987053714,-1.102880403,-1.618571331,-20.09081914,-25.21993943,36.97603011
1.98628893,-1.102398713,-1.618417811,-20.18595989,-25.21159652,36.9579618
1.985374677,-1.101822882,-1.618234287,-20.29969493,-25.20162307,36.93628917
1.984318428,-1.101157616,-1.618022259,-20.43109454,-25.19010062,36.91116214
1.983127657,-1.100407624,-1.617783228,-20.579229,-25.17711068,36.88273061
1.981809837,-1.099577611,-1.617518693,-20.74316861,-25.16273479,36.85114452
1.980372442,-1.098672285,-1.617230155,-20.92198364,-25.14705447,36.81655375
1.978822946,-1.097696353,-1.616919114,-21.11474439,-25.13015124,36.77910823
1.97716882,-1.096654522,-1.616587071,-21.32052113,-25.11210664,36.73895787
1.97541754,-1.095551499,-1.616235524,-21.53838416,-25.0930022,36.69625257
1.973576578,-1.094391991,-1.615865976,-21.76740376,-25.07291943,36.65114225
1.971653408,-1.093180706,-1.615479925,-22.00665022,-25.05193986,36.60377683
1.969655504,-1.09192235,-1.615078873,-22.25519382,-25.03014503,36.55430621
1.967590339,-1.09062163,-1.614664318,-22.51210484,-25.00761646,36.5028803
1.965465386,-1.089283254,-1.614237762,-22.77645358,-24.98443567,36.44964902
1.963288118,-1.087911928,-1.613800705,-23.04731032,-24.9606842,36.39476227
1.96106601,-1.08651236,-1.613354646,-23.32374535,-24.93644356,36.33836997
1.958806535,-1.085089256,-1.612901087,-23.60482894,-24.91179529,36.28062204
1.956517166,-1.083647325,-1.612441527,-23.8896314,-24.88682092,36.22166837
1.954205376,-1.082191272,-1.611977466,-24.17722299,-24.86160196,36.16165889
1.951878639,-1.080725805,-1.611510404,-24.46667402,-24.83621995,36.10074351
1.94954443,-1.079255631,-1.611041843,-24.75705475,-24.81075641,36.03907213
1.94721022,-1.077785456,-1.610573281,-25.04743549,-24.78529287,35.97679467
1.944883483,-1.076319989,-1.61010622,-25.33688652,-24.75991086,35.91406104
1.942571694,-1.074863936,-1.609642159,-25.62447811,-24.73469191,35.85102115
1.940282324,-1.073422005,-1.609182599,-25.90928056,-24.70971753,35.78782491
1.938022849,-1.071998901,-1.608729039,-26.19036416,-24.68506926,35.72462224
1.935800741,-1.070599333,-1.608282981,-26.46679919,-24.66082862,35.66156304
1.933623474,-1.069228007,-1.607845923,-26.73765592,-24.63707715,35.59879723
1.93149852,-1.067889631,-1.607419367,-27.00200466,-24.61389636,35.53647472
1.929433355,-1.066588911,-1.607004813,-27.25891569,-24.59136779,35.47474542
1.927435451,-1.065330555,-1.60660376,-27.50745929,-24.56957296,35.41375924
1.925512281,-1.06411927,-1.60621771,-27.74670575,-24.54859339,35.3536661
1.923671319,-1.062959762,-1.605848161,-27.97572535,-24.52851063,35.2946159
1.921920039,-1.061856739,-1.605496615,-28.19358838,-24.50940618,35.23675856
1.920265914,-1.060814908,-1.605164571,-28.39936512,-24.49136158,35.18024398
1.918716417,-1.059838976,-1.604853531,-28.59212587,-24.47445836,35.12522209
1.917279022,-1.05893365,-1.604564993,-28.7709409,-24.45877803,35.07184278
1.915961202,-1.058103637,-1.604300458,-28.93488051,-24.44440214,35.02025598
1.914770431,-1.057353645,-1.604061427,-29.08301497,-24.43141221,34.9706116
1.913714182,-1.056688379,-1.603849399,-29.21441458,-24.41988975,34.92305954
1.912799929,-1.056112548,-1.603665875,-29.32814962,-24.40991631,34.87774972
1.912035146,-1.055630858,-1.603512355,-29.42329037,-24.4015734,34.83483204
1.911427304,-1.055248016,-1.603390339,-29.49890713,-24.39494255,34.79445643
1.910983879,-1.05496873,-1.603301327,-29.55407017,-24.39010529,34.75677279
1.910712343,-1.054797707,-1.60324682,-29.58784979,-24.38714315,34.72193104
1.910620171,-1.054739653,-1.603228317,-29.59931626,-24.38613765,34.69008108
1.910646931,-1.054819722,-1.603228667,-29.58555608,-24.38614515,34.66097133
1.910725764,-1.055055599,-1.603231117,-29.54501932,-24.38619762,34.63417905
1.910854502,-1.055440794,-1.603237767,-29.47882168,-24.38634003,34.60959736
1.911030974,-1.055968814,-1.603250717,-29.38807885,-24.38661736,34.58711939
1.911253009,-1.056633167,-1.603272066,-29.27390651,-24.38707457,34.56663827
1.91151844,-1.057427361,-1.603303916,-29.13742036,-24.38775665,34.54804714
1.911825096,-1.058344903,-1.603348365,-28.9797361,-24.38870855,34.53123912
1.912170806,-1.059379303,-1.603407513,-28.8019694,-24.38997526,34.51610734
1.912553402,-1.060524067,-1.603483461,-28.60523596,-24.39160175,34.50254494
1.912970714,-1.061772704,-1.603578309,-28.39065148,-24.39363299,34.49044505
1.913420572,-1.063118722,-1.603694157,-28.15933163,-24.39611394,34.47970081
1.913900806,-1.064555628,-1.603833103,-27.91239212,-24.39908959,34.47020533
1.914409247,-1.066076932,-1.60399725,-27.65094863,-24.4026049,34.46185175
