upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz
2.147930206,3.296746202,-7.670450502,4.809417326,1.642809587,-0.01185622741,3.033828664,0.7112135308,0.07856077844,0.2797335159,0.5811021229,2.248216107
2.147930206,3.296746202,-7.670450502,4.811468764,1.640472059,-0.01178631191,3.033077414,0.7116240843,0.07848249205,0.2743267717,0.5782742847,2.250660465
2.147930206,3.296746202,-7.670450502,4.813566712,1.638111222,-0.01171725822,3.032348727,0.7120388167,0.07842875132,0.2689151125,0.5754971645,2.253070265
2.147930206,3.296746202,-7.670450502,4.815711339,1.635727226,-0.01164936463,3.031642464,0.712458471,0.07839956846,0.2634986063,0.5727708423,2.25544566
2.147930206,3.296746202,-7.670450502,4.817902819,1.633320227,-0.01158293146,3.030958486,0.7128838038,0.07839492444,0.2580773212,0.5700953899,2.257786802
2.147930206,3.296746202,-7.670450502,4.820141329,1.630890386,-0.01151826079,3.03029665,0.713315585,0.07841476928,0.2526513246,0.5674708706,2.260093835
2.147930206,3.296746202,-7.670450502,4.822427049,1.628437869,-0.01145565623,3.029656811,0.7137545987,0.07845902226,0.2472206839,0.5648973395,2.262366901
2.147930206,3.296746202,-7.670450502,4.824760164,1.625962847,-0.01139542268,3.029038823,0.7142016432,0.0785275722,0.2417854659,0.5623748437,2.264606135
2.147930206,3.296746202,-7.670450502,4.827140864,1.623465497,-0.01133786607,3.028442537,0.7146575312,0.07862027779,0.236345737,0.5599034215,2.26681167
2.147930206,3.296746202,-7.670450502,4.82956934,1.620946,-0.0112832931,3.027867804,0.7151230902,0.07873696782,0.2309015632,0.5574831032,2.268983631
2.147930206,3.296746202,-7.670450502,4.832045791,1.618404544,-0.01123201105,3.027314472,0.7155991626,0.07887744156,0.2254530099,0.5551139107,2.271122141
2.147930206,3.296746202,-7.670450502,4.83457169,1.615840803,-0.01118157815,3.026779607,0.7160873477,0.07904683947,0.2200010092,0.5527980697,2.273230636
2.147930206,3.296746202,-7.670450502,4.837147646,1.613254505,-0.01113009518,3.026261415,0.7165876275,0.07924809505,0.2145457251,0.550536589,2.275311237
2.147930206,3.296746202,-7.670450502,4.839772559,1.610645937,-0.01107871378,3.025761465,0.7170984379,0.07947766896,0.2090860727,0.5483276663,2.277362091
2.147930206,3.296746202,-7.670450502,4.842445324,1.608015418,-0.01102862854,3.025281337,0.7176182249,0.07973201025,0.2036209691,0.5461695114,2.279381339
2.147930206,3.296746202,-7.670450502,4.845164834,1.605363297,-0.01098108027,3.024822627,0.7181454459,0.08000755276,0.1981493345,0.5440603459,2.281367116
2.147930206,3.296746202,-7.670450502,4.847929977,1.60268996,-0.0109373591,3.024386945,0.7186785708,0.08030071215,0.1926700929,0.541998404,2.283317553
2.147930206,3.296746202,-7.670450502,4.850739638,1.599995826,-0.01089880743,3.023975916,0.7192160829,0.08060788346,0.1871821722,0.5399819334,2.285230777
2.147930206,3.296746202,-7.670450502,4.8535927,1.597281355,-0.01086682292,3.023591181,0.71975648,0.08092543937,0.1816845051,0.5380091954,2.287104911
2.147930206,3.296746202,-7.670450502,4.856488044,1.59454705,-0.01084286122,3.023234398,0.7202982751,0.08124972906,0.1761760296,0.5360784658,2.288938074
2.147930206,3.296746202,-7.670450502,4.859424548,1.591793455,-0.01082843873,3.022907242,0.7208399975,0.08157707765,0.1706556891,0.5341880352,2.290728383
2.147930206,3.296746202,-7.670450502,4.862401093,1.589021163,-0.01082513518,3.022611405,0.7213801935,0.0819037863,0.1651224332,0.5323362103,2.292473953
2.147930206,3.296746202,-7.670450502,4.865434739,1.5862742,-0.01082244816,3.022369959,0.7219646293,0.08229334567,0.1595896205,0.5305290159,2.294164848
2.147930206,3.296746202,-7.670450502,4.868538758,1.583584723,-0.01081343249,3.022197314,0.7226293058,0.08279073338,0.1540677154,0.5287717625,2.295795482
2.147930206,3.296746202,-7.670450502,4.871706303,1.580935408,-0.01080467491,3.022082241,0.7233575952,0.08336487656,0.1485513083,0.5270618034,2.297370551
2.147930206,3.296746202,-7.670450502,4.874930477,1.578308692,-0.01080223168,3.022013597,0.7241319924,0.08398539574,0.1430349599,0.5253966375,2.298894835
2.147930206,3.296746202,-7.670450502,4.878204332,1.575686723,-0.01081159984,3.021980326,0.7249339553,0.08462274762,0.1375132022,0.5237739134,2.300373198
2.147930206,3.296746202,-7.670450502,4.881520873,1.573051331,-0.01083769415,3.021971462,0.7257437899,0.08524832568,0.1319805388,0.5221914334,2.30181059
2.147930206,3.296746202,-7.670450502,4.884873047,1.570383994,-0.01088482959,3.021976127,0.726540582,0.08583451982,0.1264314456,0.5206471572,2.303212045
2.147930206,3.296746202,-7.670450502,4.88825374,1.567665826,-0.01095670936,3.021983527,0.7273021767,0.08635473623,0.1208603712,0.5191392056,2.304582682
2.147930206,3.296746202,-7.670450502,4.891655772,1.564877559,-0.01105641842,3.021982949,0.7280052058,0.08678337894,0.1152617375,0.5176658631,2.305927702
2.147930206,3.296746202,-7.670450502,4.895071879,1.561999543,-0.01118642235,3.021963757,0.7286251656,0.08709579421,0.1096299406,0.5162255817,2.307252383
2.147930206,3.296746202,-7.670450502,4.898494706,1.559011759,-0.01134857158,3.021915381,0.7291365442,0.08726817917,0.1039593513,0.5148169829,2.308562079
