C1P2T13_inf_data.tx,C1P2T13_inf_data.ty,C1P2T13_inf_data.tz,C1P2T13_inf_data.rx,C1P2T13_inf_data.ry,C1P2T13_inf_data.rz
3.688865743,0.04386938637,0.735675471,4.671126299,10.01255502,49.40471497
3.689433602,0.04392352983,0.7367757927,4.634295114,10.02105062,49.40518969
3.68997616,0.04399487516,0.7378680277,4.596586665,10.02986073,49.40025774
3.690496133,0.04408324941,0.7389572329,4.557760403,10.03895144,49.39009713
3.690985479,0.0441923909,0.7400321982,4.518691367,10.04836293,49.37417184
3.691432555,0.0443245979,0.7410781167,4.48041224,10.05820296,49.35170643
3.691834666,0.04447758437,0.7420947805,4.442917079,10.06853956,49.32251902
3.692189105,0.04464910141,0.7430821985,4.4061983,10.07944142,49.28642695
3.692502021,0.04483726835,0.7440580873,4.36928935,10.09090493,49.24383907
3.692778106,0.0450417455,0.7450314113,4.331682209,10.10284876,49.19508976
3.693012468,0.04526265067,0.7459894504,4.294054754,10.11522657,49.13988355
3.693200227,0.0455001426,0.7469198144,4.257083441,10.12799394,49.07792434
3.693336507,0.04575442832,0.7478105051,4.221443244,10.14110911,49.00891521
3.693416428,0.04602577193,0.7486499812,4.187807588,10.15453369,48.93255822
3.693435102,0.0463145046,0.7494272303,4.15684828,10.16823348,48.84855419
3.693389433,0.04666375103,0.7502248186,4.128057949,10.18291285,48.75714203
3.693281505,0.04709976611,0.7511018408,4.100747972,10.19903654,48.65859032
3.693114219,0.04759775884,0.7520131262,4.075317202,10.21621761,48.55264366
3.692890506,0.0481330762,0.752914433,4.052165008,10.23407354,48.43904706
3.692613302,0.04868117884,0.7537626012,4.031691595,10.25222671,48.31754571
3.692285532,0.04921763182,0.7545157098,4.014298274,10.27030494,48.18788477
3.691910081,0.04971810977,0.7551332394,4.000387682,10.28794202,48.04980899
3.691405027,0.05014785048,0.7554960035,3.99250082,10.30316262,47.90211335
3.690727825,0.05050707333,0.75557894,3.991375534,10.31514768,47.74456637
3.689940174,0.05082363064,0.7554831922,3.994701132,10.32525703,47.57836635
3.689103504,0.05112469298,0.7553087106,4.00015329,10.3348306,47.40470464
3.688278994,0.05143661956,0.7551539644,4.005393085,10.34518544,47.22476654
