C1P2T10_inf_data.tx,C1P2T10_inf_data.ty,C1P2T10_inf_data.tz,C1P2T10_inf_data.rx,C1P2T10_inf_data.ry,C1P2T10_inf_data.rz
3.73399257,0.04837641611,0.7873932467,3.824320903,11.12649991,54.51821129
3.73534754,0.04817731303,0.7868654823,3.798518821,11.11996496,54.56987974
3.736584708,0.047997409,0.7863206779,3.774377377,11.11362736,54.61748052
3.737699815,0.04783762662,0.7857541094,3.751726731,11.1074482,54.66096203
3.738699732,0.0476962679,0.7851565091,3.730992546,11.10120877,54.70043132
3.739601087,0.0475656909,0.7845490334,3.71282822,11.09509528,54.73609071
3.74041499,0.04743961658,0.7839640009,3.697518195,11.08956618,54.7680801
3.741137578,0.04731883834,0.783416894,3.684555007,11.08520426,54.79626872
3.741762849,0.04720593401,0.7829140145,3.673416873,11.08226029,54.82047296
3.742298324,0.04710040812,0.7824484394,3.664683256,11.08033773,54.84084818
3.742743125,0.04699912809,0.7820025833,3.659065683,11.07886799,54.85745304
3.74310028,0.04690000182,0.7815620631,3.657222367,11.07732247,54.87039297
3.743383157,0.04680422178,0.7811247651,3.65965238,11.07536578,54.87989365
3.743511861,0.04675342733,0.7807138761,3.667401241,11.07403262,54.88145196
3.743453971,0.04676640193,0.7803492987,3.680153959,11.07416254,54.87323573
3.743278735,0.0468112607,0.7799662799,3.697141427,11.07434363,54.85947236
3.74305443,0.04685209195,0.7795244505,3.717279225,11.07347096,54.84427253
3.74286421,0.04684947417,0.7790538853,3.738554189,11.07137147,54.83169483
3.742791258,0.04676340277,0.7785853396,3.758954384,11.06786271,54.82579921
3.742897198,0.04656559629,0.7781562946,3.783797913,11.06349714,54.82726477
3.743076015,0.04627026757,0.7775860649,3.819099863,11.05607827,54.83225916
3.743219283,0.04591487394,0.7767796023,3.861534833,11.04436075,54.8383709
3.743295269,0.04554992127,0.775919409,3.904454195,11.03125082,54.84345935
3.74327234,0.04522386438,0.7751882236,3.941206276,11.01965908,54.84537501
3.74311894,0.04498328363,0.7747689908,3.965135304,11.012498,54.8419598
3.742739347,0.04473943284,0.774871085,3.975668426,11.01114128,54.83456698
3.74214288,0.04441696382,0.775419227,3.977824747,11.01405721,54.8254327
3.74145566,0.04408155679,0.7761692259,3.973332025,11.01979902,54.81371788
