T1P1T06_sup_data.tx,T1P1T06_sup_data.ty,T1P1T06_sup_data.tz,T1P1T06_sup_data.rx,T1P1T06_sup_data.ry,T1P1T06_sup_data.rz
3.854698113,0.8268552125,-1.665761987,-6.128178082,-47.95947126,58.1863502
3.854698113,0.8268552125,-1.665761987,-6.128178082,-47.95947126,58.1863502
3.861074848,0.82178196,-1.663496364,-6.398948205,-47.87660056,58.50555319
3.867412503,0.8167621897,-1.661230567,-6.670582337,-47.79550935,58.82071035
3.873619072,0.8118840842,-1.659026217,-6.937301013,-47.71815859,59.12616102
3.87960737,0.8072319546,-1.6569449,-7.19371323,-47.64644474,59.41664325
3.885297627,0.8028836773,-1.655045827,-7.434972895,-47.58213052,59.68745055
3.890619748,0.7989085171,-1.653383616,-7.656904483,-47.52678247,59.93455748
3.895515152,0.7953653774,-1.652006292,-7.85609523,-47.48171841,60.15471167
3.89993815,0.7923014832,-1.650953596,-8.029953666,-47.44796706,60.34549218
3.903856832,0.7897514805,-1.650255655,-8.176736234,-47.426241,60.50533624
3.907253469,0.7877369206,-1.649932058,-8.295545098,-47.41692356,60.63353748
3.910124473,0.7862660971,-1.649991355,-8.386301013,-47.42006895,60.73021974
3.912479937,0.7853342024,-1.65043098,-8.449695346,-47.43541463,60.79629031
3.914342819,0.7849237786,-1.651237578,-8.487125145,-47.46240437,60.8333765
3.915747807,0.7850054468,-1.652387722,-8.500614755,-47.50021995,60.8437487
3.916739925,0.7855389002,-1.653848966,-8.492726899,-47.54781974,60.83023277
3.917372916,0.7864741501,-1.655581185,-8.46646571,-47.60398196,60.79611381
3.917707457,0.7877530101,-1.657538156,-8.425173818,-47.66735078,60.74503328
3.917809251,0.789310794,-1.659669287,-8.372425374,-47.73648363,60.6808812
3.917747046,0.7910781958,-1.661921445,-8.311916841,-47.80989789,60.60768513
3.917590647,0.7929833067,-1.664240782,-8.247357393,-47.88611607,60.52949798
3.917408961,0.7949537173,-1.666574514,-8.18236088,-47.96370816,60.45028679
3.917268145,0.7969186449,-1.668872576,-8.120341541,-48.0413306,60.37382506
3.917229906,0.7988110196,-1.671089108,-8.064415885,-48.11776123,60.30359128
3.917349999,0.8005694601,-1.673183731,-8.017313494,-48.19192954,60.24267692
3.917676965,0.8021400714,-1.6751226,-7.981299653,-48.26294193,60.19370685
3.918251147,0.8034779949,-1.676879198,-7.958112798,-48.33010115,60.15877511
3.919103988,0.8045486502,-1.678434876,-7.948919568,-48.39291946,60.13939879
3.92025763,0.8053286166,-1.679779141,-7.954289845,-48.45112487,60.13649195
3.92172481,0.8058061123,-1.680909674,-7.974193458,-48.5046599,60.15036091
3.923509029,0.8059810497,-1.681832111,-8.008019288,-48.55367259,60.18072131
3.925604992,0.8058646599,-1.682559576,-8.054616345,-48.59849974,60.22673608
3.927999281,0.8054787038,-1.68311199,-8.112355074,-48.63964269,60.28707266
3.930671226,0.8048543087,-1.683515164,-8.179205884,-48.67773654,60.35997633
3.933593952,0.8040304875,-1.683799721,-8.252830792,-48.71351418,60.44335597
3.93673554,0.8030524154,-1.683999855,-8.330683326,-48.7477665,60.53487758
3.94006027,0.8019695475,-1.684151988,-8.410111505,-48.78130101,60.63206093
3.943529901,0.8008336659,-1.684293362,-8.48845885,-48.81490057,60.73237472
3.947104928,0.7996969408,-1.684460619,-8.563158889,-48.84928439,60.8333263
3.950745808,0.7986100822,-1.684688433,-8.631819412,-48.88507309,60.93254278
3.954414094,0.7976206492,-1.685008235,-8.692293662,-48.9227595,61.0278413
3.958073479,0.796771568,-1.685447093,-8.74273665,-48.96268656,61.11728723
3.961690714,0.7960998996,-1.686026787,-8.781645656,-49.00503329,61.19923979
3.965236403,0.7956358781,-1.686763106,-8.807884845,-49.04980918,61.27238518
3.968685653,0.7954022325,-1.687665388,-8.820694584,-49.09685712,61.33575791
3.972018592,0.7954137888,-1.688736308,-8.819686654,-49.14586431,61.38875086
3.975220729,0.7956773385,-1.689971909,-8.804826893,-49.19637997,61.43111515
3.978283178,0.7961917543,-1.691361845,-8.776407117,-49.24783867,61.46295049
3.981202722,0.7969483302,-1.692889814,-8.735008167,-49.29958749,61.48468672
3.98398173,0.7979313187,-1.69453417,-8.68145594,-49.35091541,61.49705705
3.986627927,0.799118642,-1.696268651,-8.616772163,-49.4010833,61.50106372
3.989154014,0.8004827506,-1.698063231,-8.542121622,-49.44935283,61.49793654
3.99157716,0.8019916031,-1.699885047,-8.458757523,-49.49501323,61.48908522
3.993918363,0.8036097387,-1.701699378,-8.367966643,-49.53740437,61.47604661
3.996164186,0.805224454,-1.703369914,-8.265787083,-49.57175074,61.45938616
3.998308441,0.8067300194,-1.704772295,-8.148823423,-49.59383833,61.43984701
4.000386427,0.8080998911,-1.705889793,-8.019114957,-49.60396968,61.41925336
4.002433965,0.8093088989,-1.706707583,-7.878546335,-49.60254402,61.39932554
4.004486405,0.8103343358,-1.707213603,-7.728811005,-49.59005669,61.38162235
4.006577673,0.8111569536,-1.707399328,-7.571383421,-49.56709412,61.36749076
4.008739393,0.8117618339,-1.707260426,-7.407500811,-49.53432527,61.35802492
4.011000132,0.8121391046,-1.706797276,-7.238154933,-49.49249025,61.35403642
4.013384797,0.8122844722,-1.706015341,-7.064093861,-49.44238708,61.35603712
4.015914213,0.812199549,-1.704925369,-6.885833431,-49.3848574,61.36423534
4.018604903,0.8118919562,-1.703543428,-6.703677584,-49.32077196,61.37854531
4.021469077,0.8113751957,-1.701890761,-6.517746474,-49.25101656,61.39860944
4.024514816,0.8106682924,-1.699993463,-6.328011,-49.17647877,61.423832
4.027746459,0.8097952175,-1.697881999,-6.134332179,-49.09803611,61.45342263
4.031165159,0.808784117,-1.695590581,-5.936503701,-49.01654561,61.48644734
4.034769585,0.8076663733,-1.693156413,-5.734295944,-48.93283513,61.52188494
4.038556739,0.8064755411,-1.690618861,-5.527499724,-48.84769633,61.558686
4.042522847,0.805246197,-1.688018561,-5.315968149,-48.7618795,61.595832
4.046664285,0.8040127508,-1.685396508,-5.099655031,-48.67608995,61.63239207
4.050978498,0.802808262,-1.682793169,-4.878648515,-48.59098621,61.66757494
4.05546486,0.8016633073,-1.680247633,-4.653198715,-48.50717956,61.70077391
4.060125427,0.8006049415,-1.677796843,-4.423738374,-48.42523509,61.7316029
4.06496555,0.7996557906,-1.67547493,-4.190895728,-48.34567377,61.75992165
4.069994271,0.798833313,-1.673312659,-3.955498996,-48.26897544,61.78584872
4.075224501,0.7981492562,-1.671337008,-3.718572136,-48.19558228,61.80976098
4.080672911,0.7976093332,-1.669570878,-3.481321831,-48.12590245,61.8322788
4.086359533,0.7972131274,-1.668032935,-3.245116051,-48.06031354,61.85423711
4.092307077,0.79695423,-1.666737582,-3.011455026,-47.99916535,61.87664273
4.098539958,0.7968205961,-1.665695029,-2.781935875,-47.94278187,61.90061982
4.105083101,0.7967950979,-1.664911465,-2.55821255,-47.8914622,61.92734576
4.11196056,0.796856247,-1.664389292,-2.341952917,-47.84548036,61.95798045
4.119194028,0.7969790473,-1.664127422,-2.134794895,-47.8050843,61.99359253
4.126801321,0.7971359448,-1.664121603,-1.93830341,-47.77049432,62.03508584
4.1347949,0.7972978333,-1.664364776,-1.753929805,-47.74190158,62.08312984
4.143180528,0.7974350817,-1.664847468,-1.582975114,-47.71946706,62.13809697
4.151956125,0.7975185472,-1.665558208,-1.426558422,-47.70332185,62.20001019
4.161110896,0.7975205425,-1.666483982,-1.285591363,-47.6935691,62.26850331
4.17062478,0.7974157288,-1.66761072,-1.160759609,-47.69028813,62.34279615
4.180468268,0.7971819115,-1.668923827,-1.05251204,-47.69354098,62.42168618
4.190602606,0.7968007192,-1.670408736,-0.9610581209,-47.70338113,62.50355753
4.200980394,0.7962581516,-1.672051463,-0.886373837,-47.71986427,62.58640759
4.211546564,0.7955449876,-1.673839164,-0.8282163654,-47.74306049,62.66789083
4.222239713,0.7946570505,-1.675760637,-0.7861473236,-47.77306716,62.74537857
4.233016429,0.7936914441,-1.677930018,-0.7650729379,-47.81512823,62.81625407
4.243823658,0.792722944,-1.680427734,-0.7681702726,-47.87305479,62.87771162
4.254582168,0.7917213444,-1.683195667,-0.7922380388,-47.94487272,62.92668139
4.265214769,0.7906610416,-1.686178746,-0.8340511596,-48.02868202,62.96017763
4.275648156,0.7895207446,-1.689325148,-0.8904014356,-48.12266563,62.97538714
4.285814686,0.7882831295,-1.692586437,-0.9581398434,-48.22509673,62.96975768
4.295654,0.7869344531,-1.695917647,-1.034218365,-48.33434428,62.94108235
4.305114419,0.785464133,-1.699277343,-1.115729314,-48.4488771,62.88757611
4.314154052,0.7838643041,-1.702627648,-1.199940302,-48.56726617,62.80794085
4.322741547,0.7821293534,-1.705934262,-1.284323268,-48.68818522,62.70141602
4.330856473,0.780255441,-1.70916645,-1.366576316,-48.81040954,62.56781214
4.338489283,0.7782400124,-1.712297003,-1.444637457,-48.93281266,62.40752543
4.345640893,0.7760813128,-1.71530216,-1.516689748,-49.05436088,62.22153276
4.352321867,0.7737779184,-1.718161471,-1.58115766,-49.1741055,62.01136646
4.358551275,0.7713283024,-1.720857606,-1.636694902,-49.29117267,61.77906998
4.364355268,0.7687304548,-1.723376081,-1.682164321,-49.40475078,61.52713599
4.369765443,0.7659815732,-1.725704907,-1.71661094,-49.5140756,61.25842927
4.374817094,0.7630778368,-1.727834158,-1.739229601,-49.61841324,60.97609797
4.379547436,0.7600142655,-1.729755458,-1.749329064,-49.71704131,60.68347717
4.3839939,0.7567846603,-1.731461396,-1.746294636,-49.80922878,60.3839894
4.388192594,0.7533816077,-1.732944901,-1.72955144,-49.89421525,60.08104683
4.392176999,0.7497965296,-1.73419857,-1.698530317,-49.97119026,59.77795967
4.395976978,0.7460197534,-1.735214009,-1.652637952,-50.03927386,59.47785493
