C1P2T13_pect_data.tx,C1P2T13_pect_data.ty,C1P2T13_pect_data.tz,C1P2T13_pect_data.rx,C1P2T13_pect_data.ry,C1P2T13_pect_data.rz
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
-0.4863230714,-1.495832301,2.083298042,-10.94867053,44.53849376,14.05444242
-0.4864723243,-1.496060865,2.085256857,-10.95900042,44.54163251,14.05968957
-0.4866662301,-1.496271106,2.087053385,-10.96702633,44.54262586,14.06422091
-0.4869531154,-1.496492115,2.088494698,-10.96932612,44.54084697,14.06974575
-0.4873691463,-1.496759636,2.089418627,-10.96332932,44.53680646,14.07791172
-0.4879022139,-1.497101551,2.08984827,-10.94908347,44.53209806,14.0890616
-0.4885070271,-1.497500532,2.089960517,-10.92938462,44.5273809,14.10177447
-0.4891612848,-1.49792861,2.089845819,-10.90636185,44.52256621,14.11503156
-0.489857226,-1.49835396,2.089560528,-10.88106929,44.51628016,14.12789745
-0.4905826801,-1.498746114,2.089172519,-10.8550148,44.50760081,14.13934214
-0.4913089452,-1.499079434,2.088789559,-10.83100482,44.49712048,14.1482057
-0.4920074491,-1.499328582,2.088519413,-10.81184203,44.48543341,14.15333053
-0.4927128103,-1.499494866,2.088297997,-10.79607407,44.47385824,14.15532082
-0.4934539856,-1.4996009,2.088040435,-10.78174753,44.46374334,14.15525408
-0.4941941078,-1.49965368,2.087823265,-10.7709093,44.45572885,14.152685
-0.4948915799,-1.499641206,2.087714439,-10.7664935,44.44997063,14.14568598
-0.4955190055,-1.4995596,2.087757003,-10.76996892,44.44575571,14.13321949
-0.496060973,-1.499428256,2.087990051,-10.78118411,44.44242021,14.1161747
-0.4965021827,-1.49926655,2.08845262,-10.79998817,44.43929851,14.0954406
-0.4968399788,-1.498841216,2.089907454,-10.84100219,44.43544928,14.06210258
-0.4971231408,-1.498138611,2.092344196,-10.90270385,44.43059382,14.01681911
-0.497411241,-1.49750814,2.094642363,-10.96073187,44.42509328,13.9748573
-0.4977237387,-1.497267077,2.095756055,-10.99450433,44.42186825,13.94907733
-0.4978936107,-1.497469082,2.095746443,-11.00846177,44.42023571,13.93917689
-0.4978852942,-1.497869394,2.095431332,-11.01923023,44.41772639,13.934903
-0.4978980196,-1.498317811,2.094923048,-11.02641346,44.41528532,13.93258501
