T1P1T06_hyoid_data.tx,T1P1T06_hyoid_data.ty,T1P1T06_hyoid_data.tz,T1P1T06_hyoid_data.rx,T1P1T06_hyoid_data.ry,T1P1T06_hyoid_data.rz
1.926557964,-0.8019477563,-1.912539315,-10.62943665,-30.99916338,6.389364571
1.926192654,-0.8011112967,-1.913206419,-10.62323718,-31.01736839,6.233673401
1.925828599,-0.8002789014,-1.913870281,-10.61706782,-31.03548494,6.078738728
1.925465916,-0.7994512479,-1.914530362,-10.61093361,-31.05349829,5.924686633
1.925104718,-0.7986290134,-1.915186121,-10.60483957,-31.0713937,5.771643201
1.924745121,-0.7978128754,-1.915837018,-10.59879071,-31.08915643,5.619734514
1.92438724,-0.7970035113,-1.916482512,-10.59279205,-31.10677172,5.469086653
1.924031189,-0.7962015985,-1.917122064,-10.58684862,-31.12422484,5.319825703
1.923677084,-0.7954078142,-1.917755133,-10.58096543,-31.14150105,5.172077746
1.92332504,-0.794622836,-1.918381178,-10.57514751,-31.1585856,5.025968864
1.922975171,-0.7938473413,-1.918999661,-10.56939988,-31.17546375,4.881625141
1.922627593,-0.7930820073,-1.91961004,-10.56372756,-31.19212076,4.739172659
1.922282421,-0.7923275115,-1.920211775,-10.55813556,-31.20854188,4.598737501
1.921939769,-0.7915845312,-1.920804326,-10.55262891,-31.22471237,4.460445749
1.921599753,-0.790853744,-1.921387153,-10.54721263,-31.24061749,4.324423487
1.921262488,-0.7901358271,-1.921959715,-10.54189174,-31.25624249,4.190796796
1.920928087,-0.7894314579,-1.922521472,-10.53667126,-31.27157264,4.059691761
1.920596668,-0.7887413138,-1.923071885,-10.53155621,-31.28659318,3.931234463
1.920268344,-0.7880660722,-1.923610412,-10.52655161,-31.30128938,3.805550985
1.91994323,-0.7874064106,-1.924136514,-10.52166249,-31.3156465,3.68276741
1.919621442,-0.7867630062,-1.92464965,-10.51689385,-31.32964979,3.563009822
1.919303095,-0.7861365364,-1.92514928,-10.51225073,-31.3432845,3.446404301
1.918988302,-0.7855276788,-1.925634864,-10.50773814,-31.3565359,3.333076932
1.918677181,-0.7849371105,-1.926105861,-10.5033611,-31.36938924,3.223153797
1.918369844,-0.7843655091,-1.926561732,-10.49912464,-31.38182978,3.116760978
1.918066408,-0.7838135519,-1.927001936,-10.49503377,-31.39384278,3.014024559
1.917766987,-0.7832819163,-1.927425933,-10.49109352,-31.40541349,2.915070622
1.917471697,-0.7827712797,-1.927833182,-10.4873089,-31.41652717,2.82002525
1.917180652,-0.7822823195,-1.928223144,-10.48368494,-31.42716908,2.729014526
1.916893967,-0.781815713,-1.928595278,-10.48022665,-31.43732447,2.642164532
1.916611757,-0.7813721376,-1.928949044,-10.47693907,-31.4469786,2.559601351
1.916334138,-0.7809522708,-1.929283901,-10.47382719,-31.45611674,2.481451066
1.916061224,-0.7805567899,-1.92959931,-10.47089606,-31.46472413,2.40783976
1.91579313,-0.7801863724,-1.92989473,-10.46815069,-31.47278603,2.338893515
1.915529971,-0.7798416955,-1.930169622,-10.46559609,-31.4802877,2.274738414
1.915271862,-0.7795234367,-1.930423443,-10.46323729,-31.4872144,2.215500541
1.915018919,-0.7792322733,-1.930655656,-10.46107932,-31.49355139,2.161305976
1.914771256,-0.7789688828,-1.930865718,-10.45912718,-31.49928391,2.112280804
1.914528987,-0.7787339425,-1.931053091,-10.4573859,-31.50439724,2.068551107
1.914292229,-0.7785281299,-1.931217233,-10.45586051,-31.50887662,2.030242968
1.914061096,-0.7783521223,-1.931357605,-10.45455602,-31.51270731,1.99748247
1.913835703,-0.7782065971,-1.931473666,-10.45347745,-31.51587458,1.970395695
1.913616165,-0.7780922316,-1.931564876,-10.45262982,-31.51836367,1.949108725
1.913402597,-0.7780097033,-1.931630695,-10.45201816,-31.52015984,1.933747645
1.913195114,-0.7779596896,-1.931670583,-10.45164748,-31.52124836,1.924438536
1.912993831,-0.7779428679,-1.931683999,-10.4515228,-31.52161447,1.921307481
1.912797423,-0.7779738376,-1.931613458,-10.45736596,-31.52046192,1.927291179
1.912604469,-0.7780659154,-1.931403728,-10.47473855,-31.51703518,1.945081636
1.912414939,-0.7782178541,-1.93105765,-10.5034053,-31.51138069,1.974437899
1.912228802,-0.7784284066,-1.930578065,-10.54313091,-31.50354484,2.015119013
1.91204603,-0.7786963259,-1.929967814,-10.59368007,-31.49357405,2.066884023
1.911866591,-0.7790203648,-1.929229736,-10.6548175,-31.48151473,2.129491976
1.911690455,-0.7793992762,-1.928366672,-10.7263079,-31.4674133,2.202701918
1.911517594,-0.779831813,-1.927381464,-10.80791597,-31.45131616,2.286272893
1.911347975,-0.7803167282,-1.926276951,-10.89940643,-31.43326972,2.379963947
1.911181571,-0.7808527746,-1.925055974,-11.00054398,-31.41332041,2.483534127
1.911018349,-0.7814387051,-1.923721374,-11.11109331,-31.39151463,2.596742478
1.910858281,-0.7820732726,-1.922275991,-11.23081914,-31.36789879,2.719348046
1.910701336,-0.7827552301,-1.920722666,-11.35948618,-31.3425193,2.851109877
