frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz,F17_data.tx,F17_data.ty,F17_data.tz,F18_data.tx,F18_data.ty,F18_data.tz,F19_data.tx,F19_data.ty,F19_data.tz,F20_data.tx,F20_data.ty,F20_data.tz
18,6.742789607,2.237417541,0.199023244,6.832127736,2.452776445,0.1237346398,6.820994834,2.43293873,0.1801075904,6.259182749,1.56963826,0.2355155254,6.430870875,1.776376005,-0.2273950285,6.559011603,1.94379011,-0.3688830422,6.678718832,2.074370575,-0.1904028494,6.618040652,1.936292794,0.150459189,6.620048604,1.988901879,-0.2335544935,6.711600533,2.092016242,-0.05752653865,6.654936704,1.999614775,-0.09539575451,6.804974068,2.170397862,-0.2350184168,6.71209776,2.05880938,0.1858578454,6.815650736,2.098617524,0.8386397721,6.914597664,2.231473781,-0.1445647881,6.824452137,2.170602621,-0.08557586282,6.946960325,2.23412077,-0.01114990864,6.901919458,2.239938753,0.7709740702,7.031643472,2.409401032,-0.1019114181,7.072718677,2.49433635,-0.5595442097,6.824394022,2.246545186,-0.9640204771,7.215885517,2.644092941,-0.2481637243
19,6.735668151,2.221604521,0.1986899902,6.824522633,2.438191938,0.124081058,6.813258819,2.418402046,0.1796448113,6.246960308,1.551168714,0.2345713755,6.421467277,1.758759827,-0.22524744,6.549578513,1.925539442,-0.3657605757,6.671905764,2.056089989,-0.1903159817,6.604806607,1.916527744,0.1439896404,6.614275987,1.970978316,-0.2346907737,6.705104535,2.075499687,-0.05591442209,6.648900337,1.98247967,-0.09517566198,6.796399208,2.154110996,-0.2336749799,6.704821972,2.044485634,0.185010373,6.807712119,2.081869261,0.8366394344,6.907670977,2.214775019,-0.1452934667,6.816295185,2.155072641,-0.08402357941,6.939963883,2.217920573,-0.0110870873,6.895109046,2.225712561,0.7702313585,7.026038849,2.393880617,-0.1012506563,7.069789903,2.472447447,-0.5549915072,6.817931745,2.229612595,-0.9634436232,7.210318241,2.628199323,-0.2493233363
20,6.728222364,2.203059545,0.1993369467,6.816399655,2.421060089,0.1256695166,6.804979515,2.401327343,0.1803342617,6.234604875,1.529920866,0.2349110325,6.411015513,1.738470304,-0.2221000881,6.539147215,1.90502161,-0.3630556156,6.664791051,2.034925954,-0.189220625,6.589777415,1.893317408,0.135366796,6.608294358,1.949150311,-0.2356088449,6.69834296,2.056107851,-0.05283691216,6.641655381,1.962754742,-0.095927879,6.787750777,2.134845496,-0.2309472307,6.697063913,2.027533628,0.1845685719,6.799698525,2.061850927,0.8359534075,6.89961009,2.194994197,-0.1454550928,6.808154903,2.13680896,-0.08047622069,6.931422813,2.199312988,-0.00986279566,6.88765932,2.208695391,0.7708128435,7.019888339,2.375442212,-0.09870496467,7.067627873,2.445252204,-0.5479296343,6.810191832,2.209255178,-0.9615241982,7.205278081,2.609129909,-0.2494917885
21,6.721019632,2.187001331,0.1989186089,6.808598338,2.40590357,0.1260101973,6.797093384,2.386233371,0.180012709,6.222676624,1.510716591,0.2332515772,6.400817452,1.720574876,-0.2200697314,6.528776179,1.886750562,-0.3631200913,6.657407876,2.016800941,-0.1891242751,6.577120984,1.87378056,0.1290219226,6.601618197,1.930672232,-0.2364194698,6.690630841,2.03893854,-0.0520452683,6.63384001,1.945924363,-0.09758356765,6.779701384,2.11784936,-0.2291331877,6.689413088,2.012400643,0.1832219219,6.791447191,2.04374361,0.8333389843,6.891563142,2.177830043,-0.1461648168,6.800805696,2.121037083,-0.07883387456,6.922924062,2.183514917,-0.009791536352,6.880548713,2.193737534,0.7698977846,7.013822244,2.359870921,-0.09738031058,7.064873718,2.422333867,-0.5435656949,6.802609826,2.192153915,-0.9606789971,7.199973161,2.592821463,-0.2505117228
22,6.714131544,2.174659897,0.1967579821,6.801357184,2.393363184,0.1245012059,6.789908429,2.373793804,0.1782357687,6.211589386,1.494097214,0.2284109111,6.391914131,1.707083733,-0.2199225893,6.518385391,1.871922602,-0.370389896,6.649566099,2.003013613,-0.1905822676,6.568582449,1.860252504,0.1273573196,6.593067171,1.917261347,-0.2379225058,6.680886223,2.024907235,-0.05509591329,6.625183186,1.933570775,-0.1017766531,6.772517188,2.104193285,-0.2282945055,6.681720347,1.999438956,0.1801858044,6.782885271,2.027850275,0.8279139424,6.883728115,2.164235119,-0.1476212523,6.79440263,2.109093435,-0.08040604744,6.914454228,2.17159258,-0.0114225712,6.873952288,2.181536563,0.766730189,7.008147042,2.348348266,-0.09778338998,7.061647124,2.405262801,-0.543049996,6.794874875,2.179228027,-0.9613997424,7.194411291,2.580504086,-0.2526100674
23,6.707312918,2.16319733,0.1937642556,6.794263195,2.38106467,0.1222071835,6.782949825,2.361620903,0.1759307298,6.200793447,1.477698103,0.2220443525,6.383355534,1.694811612,-0.2207030286,6.507615341,1.857944423,-0.3819309057,6.641312106,1.990329768,-0.1926687156,6.561932097,1.848833565,0.1279440723,6.583093657,1.905195209,-0.2401013056,6.669860569,2.011353087,-0.05995733144,6.615718453,1.922527323,-0.107892026,6.765742036,2.091106847,-0.2276172884,6.673803811,1.986331499,0.1760751547,6.774209163,2.011647479,0.8211846403,6.875506953,2.151245186,-0.1495096786,6.78842422,2.098094841,-0.08328011796,6.905505667,2.160680374,-0.01385648609,6.867521322,2.169640824,0.7625466399,7.002542955,2.33791838,-0.09872981746,7.058355902,2.38954408,-0.5440325631,6.786731861,2.167420072,-0.9626145666,7.18890104,2.569039316,-0.2550935036
24,6.700723918,2.151697994,0.1902634534,6.787242908,2.368972366,0.1191337317,6.776042968,2.349606035,0.1729876439,6.189480132,1.46193441,0.2151242556,6.373529114,1.680990361,-0.2219503557,6.497185152,1.84359031,-0.3890448851,6.633111325,1.977840937,-0.1951791937,6.555449364,1.837246843,0.1279606217,6.573744648,1.893541914,-0.2418569917,6.659693364,1.997972627,-0.06500774574,6.606612712,1.911119805,-0.1124972973,6.759037165,2.078041919,-0.2280925378,6.666267207,1.973488153,0.1716741072,6.765733777,1.996043186,0.8134870072,6.866926841,2.138648791,-0.1521820956,6.782700082,2.086898827,-0.08653062603,6.896991714,2.150055777,-0.01724169964,6.861512317,2.158142675,0.7575100147,6.996771779,2.32812962,-0.100797968,7.054186321,2.375644405,-0.546488832,6.779781161,2.157403932,-0.9644060552,7.18317299,2.557790709,-0.2584346476
25,6.694808316,2.141324738,0.1857714401,6.780739886,2.358455614,0.114650543,6.769636468,2.339107217,0.1687757166,6.177829229,1.448243031,0.2067904966,6.361947448,1.665840429,-0.224456195,6.488063138,1.82959649,-0.3890104435,6.625169708,1.967194848,-0.198557547,6.550423185,1.826607854,0.1273039595,6.566203524,1.884039413,-0.2420751521,6.650844568,1.986003854,-0.07141948488,6.598272219,1.900365192,-0.1148496972,6.753782432,2.066080896,-0.2307503099,6.659729477,1.962595107,0.1670243257,6.757257287,1.982380935,0.8033338803,6.858741386,2.127813433,-0.1562986194,6.778135504,2.07689576,-0.09173417833,6.889725783,2.140851885,-0.02231785435,6.856151372,2.148101913,0.7509741711,6.991013164,2.320768179,-0.1050496197,7.04865858,2.366317136,-0.5524334744,6.775494259,2.151484784,-0.9678148286,7.176914831,2.547970819,-0.2634769598
26,6.689323214,2.132168582,0.1805544726,6.774588522,2.349289762,0.1091538964,6.763575928,2.329914935,0.1636653275,6.166169697,1.436172977,0.1971969076,6.349513189,1.650705701,-0.2278396922,6.479597247,1.816411724,-0.3860561546,6.617284953,1.958452328,-0.2026349712,6.546755857,1.817427419,0.1269371967,6.559494967,1.876534562,-0.2412066967,6.642398239,1.975370748,-0.07915938347,6.590100608,1.890647653,-0.116138973,6.749484051,2.055307924,-0.2347239842,6.653712899,1.953203261,0.161991899,6.748675078,1.970259321,0.7914049673,6.850768759,2.118626406,-0.1612510328,6.77452469,2.068168468,-0.09819409192,6.883039612,2.133233194,-0.02852110303,6.851135372,2.139366247,0.743317519,6.985280304,2.31537541,-0.1106364084,7.042294126,2.360483822,-0.5608164147,6.772601724,2.148584317,-0.9723074037,7.170373509,2.539622046,-0.2695978728
27,6.683391098,2.121705179,0.1760749139,6.767794313,2.339048912,0.1042015602,6.756774279,2.319570371,0.1590608124,6.153911698,1.423308647,0.188849887,6.336681357,1.634515807,-0.2298718352,6.470062733,1.802376168,-0.3818946671,6.609300553,1.948328504,-0.2062807332,6.540624517,1.80652991,0.1256566047,6.552413501,1.867263958,-0.2404947638,6.634428049,1.96379534,-0.0847906112,6.581752322,1.879344061,-0.1158262154,6.742980071,2.043679398,-0.2381393969,6.647168207,1.942518218,0.1571098771,6.740446103,1.95796322,0.7813001937,6.841624087,2.108659551,-0.1654767219,6.77003131,2.057607024,-0.1015616524,6.875618558,2.125024279,-0.0340364588,6.845922364,2.130205717,0.7362514879,6.979083618,2.308133583,-0.1152647964,7.035784861,2.352861328,-0.567005277,6.76859439,2.144296864,-0.9755960354,7.164111852,2.530353849,-0.2750627688
28,6.676725551,2.107250675,0.1724446085,6.759928237,2.325413073,0.09983913199,6.748545236,2.305492366,0.1550290826,6.139856621,1.407617036,0.1822286848,6.323088493,1.615069076,-0.230218049,6.458773058,1.785930865,-0.3738064859,6.601717813,1.934152437,-0.2102747003,6.529714865,1.79085504,0.1220262663,6.545381264,1.854076451,-0.2390949997,6.627790263,1.948889698,-0.08709719435,6.573239463,1.863557918,-0.1120505084,6.733164963,2.029264305,-0.2414065177,6.639806131,1.927746893,0.1512958799,6.733342384,1.943351418,0.7739643539,6.830622457,2.095237253,-0.1692440412,6.764260457,2.042306886,-0.09870415336,6.86616805,2.114252615,-0.03931853058,6.840494462,2.119037438,0.7298706488,6.971532889,2.296049241,-0.1187778325,7.02878814,2.33999048,-0.5695626749,6.761818158,2.137522522,-0.9768848907,7.158629869,2.517711581,-0.2803249445
29,6.669799996,2.092175834,0.1691371852,6.751646235,2.311191574,0.09570627886,6.739960359,2.290903236,0.1512634399,6.125531218,1.391553083,0.1762314383,6.308819225,1.594540219,-0.2298777217,6.44688472,1.768716488,-0.3646952734,6.593726956,1.919087426,-0.2137239011,6.517618475,1.774283539,0.1178440412,6.537713047,1.839720286,-0.238429846,6.621283632,1.933492258,-0.08823358008,6.564552611,1.847100616,-0.1077934893,6.721999337,2.014222372,-0.2443008731,6.632099972,1.912292254,0.1457361658,6.726211057,1.92871248,0.7674343771,6.818671183,2.081542123,-0.1725977077,6.757859293,2.026085608,-0.09496111437,6.856569334,2.103055723,-0.04421703575,6.835111528,2.107600134,0.7236918888,6.963857012,2.283253246,-0.1218685199,7.02163232,2.326563476,-0.5714101185,6.755156823,2.130091278,-0.9775560254,7.153150859,2.504620831,-0.2850901021
