frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz
11,7.493673374,3.136468669,0.1405661891,7.517470197,2.958408898,0.3764129701,7.516956019,2.957039265,0.3750596931,7.307871992,2.601498605,-0.07872931181,7.267702732,2.57520194,0.03918001876,7.379086059,2.740530909,0.08161382117,7.663283903,2.980420782,-0.1526679537,7.683013777,2.981880807,-0.003549882022,7.327225819,2.61820881,0.5671262163,7.36953537,2.63229388,0.7928841788,7.481629806,2.792832605,0.6568630293
12,7.48704193,3.132920377,0.1368512251,7.511085928,2.954738332,0.3730044622,7.510614863,2.95393278,0.3717678315,7.301538111,2.598084113,-0.0824882522,7.26138065,2.57102607,0.03624005655,7.3726702,2.736332288,0.07799560775,7.656486653,2.976860956,-0.1564560518,7.676556717,2.978277937,-0.007314204021,7.319464431,2.613338275,0.5586909623,7.363312209,2.628704532,0.7894945988,7.475360233,2.789272342,0.6531567074
13,7.480431931,3.129463763,0.1331945992,7.50469931,2.951185045,0.3696247802,7.50426887,2.950873533,0.3684970943,7.295211904,2.594740565,-0.086181285,7.255093816,2.566998221,0.03328066571,7.366272971,2.732205994,0.07443780506,7.649725578,2.973400961,-0.1601933981,7.670106924,2.974791522,-0.01097627084,7.311865792,2.608705535,0.5508297714,7.357092941,2.625235898,0.7861014901,7.469109464,2.785834567,0.6495505627
14,7.47384344,3.126049983,0.1295916671,7.498314673,2.947690599,0.3662736669,7.497921216,2.947823979,0.3652472324,7.288880467,2.591408665,-0.08979327112,7.248816678,2.563062775,0.03032636796,7.359884602,2.72813514,0.07093849466,7.64301098,2.969983105,-0.1638718348,7.663669759,2.971353726,-0.01454484352,7.304457947,2.604260989,0.5436069241,7.350886472,2.62183045,0.7827226859,7.462869799,2.782454876,0.6460332714
15,7.467265328,3.122834171,0.1260789833,7.491917434,2.9444742,0.3629820433,7.491549926,2.944888133,0.3620274954,7.282557341,2.588262573,-0.09332434871,7.2426255,2.559388292,0.02733412641,7.353542094,2.724160434,0.06752752412,7.63630903,2.966809131,-0.1674812418,7.657213629,2.968199588,-0.01797043404,7.297060748,2.60014835,0.5366557005,7.34463917,2.618681834,0.7792979698,7.456656507,2.779336797,0.6426568071
16,7.460695852,3.119887986,0.1226664933,7.485501514,2.941627824,0.359754945,7.485148805,2.942118505,0.3588393648,7.276256582,2.585386655,-0.09678851837,7.236557904,2.556054738,0.02427323714,7.347261839,2.720303793,0.06421145978,7.629604525,2.963967701,-0.1710276624,7.650728173,2.965432965,-0.02123725504,7.289616658,2.596437353,0.5298487572,7.338333403,2.615876158,0.775798003,7.450479626,2.776575937,0.6394399863
17,7.454148835,3.117037885,0.1193100826,7.479083775,2.938902726,0.3565537709,7.478744393,2.93940084,0.3556713222,7.269965813,2.582587404,-0.1001909656,7.230530076,2.552874061,0.02118725284,7.341002616,2.716520582,0.06095389506,7.622935466,2.961232082,-0.1745267261,7.644250377,2.962789782,-0.02440414072,7.282337291,2.592968394,0.5236098684,7.332031868,2.613195201,0.7722873823,7.444323357,2.77394647,0.6363222394
18,7.447637853,3.114110873,0.1159661022,7.472680951,2.936050717,0.3533404324,7.47236295,2.936621472,0.3525122571,7.263672472,2.579671806,-0.1035363886,7.224457985,2.549658637,0.01812026635,7.334722666,2.712766611,0.05771887948,7.61633971,2.95837615,-0.1779935782,7.637817121,2.960006535,-0.02752942353,7.275434016,2.589582991,0.518363241,7.325797142,2.610421416,0.7688311767,7.438171737,2.771223051,0.6332435038
19,7.441166976,3.111432426,0.1126022485,7.466263838,2.933466335,0.3500529484,7.465989127,2.934059601,0.349327661,7.257429994,2.577011974,-0.1069402361,7.218512884,2.546744859,0.01489104525,7.32850509,2.709125078,0.05448393767,7.609736952,2.955819894,-0.1815280884,7.631381826,2.957572908,-0.03059839026,7.268744401,2.586591027,0.5136723574,7.31957004,2.607930293,0.7651317943,7.432087324,2.768894076,0.6302681192
20,7.43472874,3.109246281,0.1092348819,7.45981011,2.931469795,0.3466921227,7.459600138,2.931901035,0.3461114784,7.251269557,2.574884878,-0.1104471916,7.212820624,2.544392152,0.0113955219,7.322410663,2.705658802,0.05126364683,7.603069938,2.95387932,-0.185160421,7.624901673,2.955857388,-0.03356727836,7.262064292,2.584220222,0.5090798806,7.313285322,2.606014266,0.7610289874,7.42610527,2.767303351,0.6274598934
21,7.428319157,3.10725801,0.1058939909,7.45334675,2.929702655,0.3433147594,7.453210767,2.929893256,0.3428958402,7.245145083,2.572955882,-0.1139550952,7.207228849,2.542298358,0.007794328927,7.316363265,2.702294008,0.0480782319,7.59641105,2.952173664,-0.1888004978,7.618419213,2.954415899,-0.03645011557,7.255542323,2.582190906,0.5049793674,7.306996486,2.604332656,0.7567945166,7.420168473,2.766009642,0.6247587524
22,7.421934397,3.10517416,0.1026098477,7.446901072,2.927807552,0.3399779699,7.446835882,2.927784789,0.3397131314,7.239010793,2.570891205,-0.1173614497,7.201585412,2.540161919,0.004248500698,7.310286221,2.698957683,0.04494822133,7.589833088,2.950323343,-0.1923579719,7.611977521,2.952805457,-0.03926061386,7.249327386,2.580224962,0.5017646077,7.300757459,2.602545991,0.7527004408,7.414220335,2.764572535,0.6221050139
23,7.415570842,3.102702254,0.09941302745,7.440500773,2.925428215,0.3367392036,7.440490463,2.925325197,0.3365960138,7.232821249,2.568357936,-0.1205633877,7.195738458,2.537681862,0.0009194776179,7.304102339,2.695577579,0.04189443363,7.583409325,2.947949951,-0.1957421926,7.605620253,2.950584168,-0.04201212901,7.243568732,2.578045942,0.4998296193,7.294622648,2.600316038,0.7490191468,7.408204836,2.762552425,0.6194394206
24,7.409331819,3.099864018,0.09625232283,7.434099261,2.922496857,0.3335045364,7.434150818,2.922436641,0.3334823588,7.226657447,2.565316702,-0.1236733891,7.189702402,2.534892798,-0.00231437421,7.297865521,2.692084289,0.03888463332,7.577209575,2.944956074,-0.1990933918,7.599409648,2.947691311,-0.04456719867,7.238684549,2.575921457,0.5004799068,7.288733789,2.597726127,0.7458419644,7.402211645,2.759848045,0.6169406654
25,7.403235037,3.096929031,0.09309884829,7.427663908,2.919327186,0.3302136238,7.427798668,2.919335138,0.3303370949,7.220576644,2.562068622,-0.1267998205,7.183614289,2.532076353,-0.005613715042,7.291651337,2.688536669,0.03589846418,7.571177118,2.94166915,-0.2025105504,7.593316176,2.944518271,-0.04688899921,7.234596357,2.574147027,0.5035401744,7.283060396,2.595097002,0.7429486463,7.396303919,2.756840127,0.6146893597
26,7.397148761,3.093977098,0.09001646219,7.421243648,2.916135956,0.3269739117,7.421457251,2.916211726,0.3272330586,7.214498081,2.558792117,-0.1298339152,7.177506601,2.52930265,-0.008875827808,7.285414984,2.685055313,0.03297411305,7.565195739,2.938348816,-0.2058415005,7.587246084,2.941301618,-0.04914212267,7.230708296,2.572486555,0.5071835549,7.277398967,2.592446986,0.740144163,7.390386043,2.753812145,0.6124788545
27,7.390941655,3.091087726,0.08706830077,7.414887696,2.913139898,0.3238917787,7.415150092,2.91325732,0.3242420836,7.208341319,2.555665467,-0.1326678546,7.171412231,2.526641827,-0.0119987724,7.279112057,2.681760561,0.03014883696,7.559149485,2.93525461,-0.2089351147,7.581105719,2.938277199,-0.05149216639,7.226424023,2.57069953,0.5095833947,7.271546315,2.589793621,0.7372329251,7.384362398,2.751046787,0.6101014316
28,7.384638086,3.088092337,0.08438194625,7.408603196,2.910139407,0.3210664398,7.40887224,2.910266613,0.3214445923,7.202098551,2.552475476,-0.1351258946,7.165355194,2.52389827,-0.01487548401,7.272707512,2.678596632,0.02757000921,7.553157129,2.932162074,-0.2116335652,7.574949249,2.935191128,-0.05374028659,7.222100238,2.568810724,0.5118901132,7.2655276,2.586960693,0.7342932356,7.378199258,2.748314141,0.6077396374
29,7.37834572,3.084831488,0.08198173322,7.402358799,2.906860888,0.3184763903,7.402603403,2.906980674,0.3188326584,7.195819366,2.548965316,-0.137184893,7.159316185,2.520903474,-0.01751138735,7.2662126,2.675439867,0.02529212238,7.547367293,2.928753108,-0.2139562655,7.56887226,2.931725466,-0.05565749971,7.218358581,2.567001013,0.5160498916,7.259501572,2.583829479,0.7315064177,7.371946495,2.745272718,0.6056428353
30,7.372058332,3.081397964,0.07977535217,7.396146027,2.903409896,0.3160461045,7.396344149,2.903509749,0.3163448039,7.189509475,2.545247506,-0.1389667052,7.153263238,2.517768113,-0.0199738846,7.259652603,2.672308443,0.02321242553,7.541708792,2.925146443,-0.2160187652,7.562843117,2.928019177,-0.05736501136,7.214999802,2.565259644,0.5214299798,7.253465548,2.58050305,0.7288309342,7.365633724,2.742037067,0.6037026809
31,7.365769625,3.077884252,0.07767039159,7.389956315,2.89989172,0.3136999254,7.390094955,2.899963847,0.3139194106,7.183174509,2.541434224,-0.1405933493,7.147164273,2.514602619,-0.02233051712,7.25305284,2.669220243,0.02122816859,7.536110339,2.921460421,-0.2179367733,7.556830088,2.924210813,-0.0589842212,7.211824784,2.563574084,0.5273977259,7.247416744,2.577084305,0.7262251145,7.359290467,2.738721411,0.6018106885
32,7.359473305,3.074382471,0.07557427896,7.383781084,2.89641133,0.311361998,7.383856279,2.896452697,0.3114946536,7.17682011,2.537637205,-0.1421870762,7.140987162,2.511517127,-0.02464902784,7.246438699,2.666192767,0.01923661198,7.530500644,2.917812931,-0.219826249,7.550801439,2.92043844,-0.06063681338,7.208634751,2.561929693,0.5333205259,7.241352346,2.573675927,0.7236470854,7.352946231,2.735439576,0.599858172
33,7.353163109,3.070984347,0.07339426244,7.377611755,2.893073359,0.3089562509,7.377628573,2.893085734,0.3090084813,7.170451968,2.533967704,-0.1438703898,7.134699746,2.508621441,-0.02699736587,7.239835644,2.663243107,0.01713503963,7.52480844,2.914321385,-0.2218034267,7.54472546,2.916839621,-0.06244478192,7.205231333,2.560309607,0.5385658173,7.235269523,2.570380368,0.7210547495,7.346630527,2.732304968,0.5977362281
34,7.346832767,3.06778123,0.07103743307,7.37143972,2.889982124,0.3064064238,7.371412253,2.889972118,0.3063986437,7.164075783,2.530536508,-0.1457660183,7.128269792,2.506025022,-0.02944363316,7.233269186,2.660387972,0.01482077548,7.518962441,2.911102721,-0.2239847759,7.538570415,2.913551439,-0.06453039088,7.201416481,2.558694836,0.5425011144,7.229165408,2.56729985,0.7184058106,7.34037282,2.729430618,0.5953357639
35,7.340475929,3.064864154,0.06841078785,7.36525625,2.887241673,0.3036361433,7.365207608,2.887220778,0.3036027677,7.157697165,2.527454022,-0.1479968367,7.121664907,2.503837007,-0.03205597311,7.226764826,2.657643775,0.01219120344,7.512891235,2.908273439,-0.226486894,7.532304415,2.910710573,-0.06701606941,7.196992245,2.557064571,0.5444940827,7.223037028,2.564536387,0.7156578474,7.334202419,2.726929282,0.592547566
36,7.334021289,3.062184917,0.06561275409,7.359115042,2.884887431,0.3007290029,7.359067228,2.884866455,0.300696719,7.151543858,2.52468201,-0.1505922529,7.114787684,2.50212164,-0.03476571721,7.220267346,2.655077793,0.009276480996,7.50657244,2.905901626,-0.229122812,7.525886808,2.908358536,-0.06989626965,7.192391055,2.55562566,0.5455556004,7.216801133,2.561990096,0.7126544724,7.32804839,2.724886534,0.5893470679
37,7.327454363,3.059627404,0.06278789224,7.353047143,2.882813716,0.2978075878,7.353010865,2.882797628,0.2977832882,7.145675288,2.522080265,-0.1534043408,7.107662494,2.500768419,-0.03747274378,7.213733992,2.652698691,0.006213731227,7.500090598,2.903875098,-0.2316881033,7.519347905,2.906348182,-0.07302333103,7.18799558,2.5544713,0.5467697974,7.210440965,2.559512782,0.7094026358,7.321851281,2.723205332,0.5858605229
38,7.320853904,3.057180565,0.0599124133,7.347009806,2.880912587,0.294854151,7.346989514,2.880903525,0.2948406245,7.139844515,2.519605807,-0.1562898628,7.100439596,2.499624178,-0.04019783978,7.207209013,2.650434839,0.003060935471,7.493534657,2.902039568,-0.2342730023,7.512762226,2.904533055,-0.07630637403,7.183533117,2.553408387,0.5476146745,7.204053191,2.557134069,0.7061048685,7.31565764,2.721724472,0.5822050969
39,7.314298697,3.054833312,0.05696253532,7.340960489,2.879075859,0.2918511059,7.340954374,2.879073114,0.2918470432,7.133804756,2.517215271,-0.1591053822,7.093269526,2.498535837,-0.04296173421,7.200736835,2.648214597,-0.0001238442085,7.486993803,2.900240658,-0.2369675866,7.506204597,2.902766789,-0.0796543697,7.178731,2.552242838,0.5475685686,7.197734556,2.554883822,0.7029636424,7.309514372,2.720282797,0.5784981148
40,7.307867571,3.052574524,0.0539144587,7.334856879,2.877195093,0.2887809964,7.334856879,2.877195093,0.2887809964,7.127309408,2.514864852,-0.161707279,7.086303132,2.497350426,-0.04578514933,7.194362087,2.645966309,-0.003282488268,7.480557496,2.898323909,-0.2398618191,7.499750202,2.900903087,-0.08297618066,7.173316646,2.550779487,0.546110136,7.191581881,2.552792158,0.700181347,7.303468792,2.718719174,0.5748570209
41,7.301474373,3.050695021,0.05044535739,7.328732308,2.875654315,0.285343927,7.328732308,2.875654315,0.285343927,7.120764821,2.512678366,-0.1645820057,7.079351194,2.496667985,-0.04906968002,7.188003724,2.643925177,-0.006854096105,7.473972,2.896702141,-0.2432487946,7.493223996,2.899408793,-0.08669500475,7.167345047,2.549237109,0.5425794136,7.185540735,2.551117819,0.6976502745,7.297571791,2.717520108,0.5706128997
42,7.295028982,3.049238412,0.0465439953,7.32262738,2.874600207,0.2815185835,7.32262738,2.874600207,0.2815185835,7.114471563,2.51072079,-0.1679422033,7.072239519,2.496725201,-0.05285496876,7.181596362,2.642189021,-0.01094825327,7.467111364,2.895577461,-0.247079046,7.486523719,2.898486523,-0.0909484928,7.161077303,2.547830478,0.5373864856,7.17950083,2.54986183,0.6951583556,7.291782842,2.716898962,0.5655680067
43,7.288605661,3.047823096,0.04265324457,7.31651237,2.87356827,0.277704876,7.31651237,2.87356827,0.277704876,7.108025335,2.508859539,-0.1712339932,7.065143813,2.496824862,-0.05661978493,7.17520953,2.640480496,-0.01501326039,7.460258449,2.894479997,-0.2509294453,7.479835769,2.897594258,-0.09521785533,7.154551541,2.546358215,0.5316145252,7.173476161,2.548668178,0.6927507039,7.28601457,2.716285055,0.5605461033
44,7.282280793,3.046067751,0.03921483085,7.310359877,2.872094002,0.2743016769,7.310359877,2.872094002,0.2743016769,7.101023216,2.506961459,-0.1739043747,7.058242978,2.496270488,-0.05984463829,7.168914714,2.63852253,-0.0184985769,7.453698491,2.892940716,-0.2543783206,7.473349309,2.89619052,-0.09898563832,7.147808533,2.544619154,0.5263454112,7.16748207,2.547181153,0.6904713297,7.280182908,2.715107476,0.5563699958
45,7.276102022,3.044025288,0.0360050517,7.304155762,2.870224391,0.2710836341,7.304155722,2.870224465,0.2710836379,7.093294644,2.505032053,-0.1760506685,7.051368256,2.49519378,-0.06261776352,7.162753432,2.636283115,-0.02164172713,7.447411991,2.891013041,-0.2576961883,7.467057807,2.894326268,-0.1024752556,7.140615485,2.54247348,0.5207157422,7.161568485,2.545488415,0.6883387423,7.274376189,2.713361319,0.5527641607
46,7.270039875,3.042002084,0.0325782353,7.297910696,2.86832364,0.2676380228,7.29791055,2.868323906,0.2676380365,7.085034294,2.503169955,-0.1781264437,7.044290079,2.494168811,-0.06536033646,7.156698561,2.633944771,-0.02497349477,7.441179901,2.889065417,-0.2613385224,7.460818882,2.892421229,-0.1061837294,7.13281262,2.539988762,0.5134742683,7.155752904,2.543898731,0.686336018,7.268703044,2.711453942,0.5489843549
47,7.264056614,3.039997353,0.02904223976,7.291636179,2.866403277,0.2640817965,7.291635886,2.866403808,0.2640818237,7.076388035,2.501381791,-0.1801142263,7.037098426,2.493163453,-0.06805352288,7.150719964,2.631552606,-0.02838422516,7.43498987,2.887102093,-0.2651621504,7.45461991,2.890487618,-0.1100050031,7.124552225,2.537275829,0.5051197608,7.150003074,2.542388198,0.6844531255,7.263112081,2.70943294,0.5451495421
48,7.258114753,3.038010236,0.02550466405,7.285343944,2.864474871,0.2605315989,7.285343489,2.864475696,0.260531641,7.067501857,2.499674376,-0.1819970164,7.029883504,2.492145654,-0.07067884149,7.144787658,2.629151679,-0.03176458535,7.428829818,2.885127342,-0.2690241839,7.448448507,2.88853762,-0.1138333156,7.115986978,2.534446236,0.496150418,7.144286909,2.540932739,0.6826797989,7.257552089,2.707345828,0.5413783856
49,7.252177067,3.036039818,0.02207285506,7.27904596,2.862550044,0.257103761,7.279045351,2.862551146,0.2571038169,7.058521859,2.498054712,-0.1837583352,7.022735742,2.491083444,-0.07321817238,7.138871826,2.62678701,-0.03500555781,7.422687949,2.883145465,-0.2727820137,7.442292537,2.886583402,-0.1175631971,7.107270066,2.531612247,0.4870638119,7.138572473,2.539508105,0.6810055427,7.251972035,2.705240054,0.5377892568
50,7.246206572,3.03408513,0.01885390468,7.272754415,2.860640479,0.2539142981,7.272753685,2.860641799,0.2539143645,7.049594229,2.496530004,-0.1853822362,7.015745785,2.489944949,-0.07565373942,7.132942785,2.624503598,-0.03799844681,7.416552732,2.88116081,-0.2762933092,7.436140095,2.884637119,-0.1210894693,7.098555167,2.528886887,0.478356865,7.132827969,2.538089878,0.6794196304,7.246321032,2.70316301,0.534500226
51,7.240166477,3.032145178,0.01595463681,7.266481657,2.858757955,0.2510789093,7.266480865,2.858759386,0.2510789808,7.040865216,2.495107675,-0.1868532789,7.009004473,2.488698402,-0.07796806651,7.126970928,2.62234644,-0.04063489744,7.410412846,2.879177801,-0.2794160216,7.429979462,2.882710944,-0.1243072508,7.089996301,2.526384039,0.4705258542,7.127021729,2.536653469,0.6779110972,7.240548279,2.701162062,0.5316290345
52,7.234020114,3.030218966,0.01348158449,7.260240118,2.85691438,0.2487129788,7.260239346,2.856915773,0.2487130478,7.03248111,2.49379539,-0.1881564662,7.002602837,2.48731217,-0.08014390739,7.120926643,2.620360567,-0.04280692712,7.40425708,2.877200975,-0.2820083904,7.423799031,2.880817088,-0.1271119667,7.081747538,2.524218598,0.4640664447,7.121122211,2.535174117,0.676468726,7.234602958,2.699284583,0.529293048
53,7.227829091,3.02863911,0.01149591881,7.254054326,2.855414733,0.2469048242,7.254046897,2.855418453,0.2469067306,7.023677907,2.493243744,-0.1889320944,6.996755661,2.486099052,-0.08224046168,7.11486268,2.618880049,-0.04433849208,7.398209218,2.875497843,-0.2840671883,7.41769298,2.879200199,-0.1295246527,7.073241111,2.522653115,0.4580448613,7.115212508,2.534029913,0.6752682736,7.228499011,2.697799552,0.527700104
54,7.221660821,3.02750318,0.009881869798,7.247917533,2.854330243,0.2455360685,7.247894651,2.854339317,0.2455422426,7.014029987,2.493630838,-0.1890836463,6.991431492,2.485184877,-0.08430207731,7.108834666,2.617947229,-0.04531015191,7.39233045,2.874135776,-0.2857695895,7.411712654,2.877909226,-0.1316836474,7.064110623,2.521609289,0.4515375707,7.109359962,2.5333613,0.6743767476,7.222304005,2.696729681,0.5267631724
55,7.215487499,3.026458672,0.008481375869,7.241795388,2.853323316,0.2444128831,7.241755245,2.853337965,0.2444238735,7.004192401,2.494258266,-0.1889890534,6.986352246,2.484258502,-0.08628830081,7.102817515,2.617170439,-0.04599799035,7.386515662,2.872820148,-0.2872437426,7.405782132,2.876663987,-0.1336596491,7.054811565,2.520695246,0.4450567565,7.103509892,2.532787813,0.6736207805,7.216047625,2.695753876,0.5261580624
56,7.209281871,3.025154417,0.007137889589,7.235654124,2.852057584,0.2433429547,7.235601915,2.852075241,0.2433574426,6.994822586,2.494431252,-0.1890227418,6.981240165,2.483009608,-0.08815739754,7.096787066,2.61615901,-0.0466764279,7.380660015,2.871257435,-0.2886165579,7.399825637,2.875185676,-0.1355220999,7.045798863,2.519524445,0.4391171518,7.097608536,2.531930082,0.6728286867,7.209760263,2.694552174,0.5255621578
57,7.203017217,3.023240567,0.005696420488,7.229460556,2.850197873,0.2421355167,7.229408489,2.850213203,0.2421503305,6.986580294,2.493458455,-0.1895554747,6.975817692,2.481128655,-0.08986642851,7.090720115,2.614523232,-0.047618169,7.374658933,2.869155186,-0.2900137027,7.393767505,2.873196842,-0.1373391767,7.037526794,2.517715617,0.4342361449,7.091602992,2.530409842,0.6718305042,7.203473065,2.692805713,0.5246544814
58,7.196693736,3.020940928,0.004675725088,7.223239936,2.847974526,0.2412949333,7.223175144,2.84795309,0.2413133686,6.978873461,2.492172371,-0.1899997784,6.970545046,2.478792627,-0.0912754705,7.084547769,2.612720241,-0.04819847725,7.368582591,2.866606538,-0.2909865982,7.387747007,2.870903238,-0.1387055506,7.02953962,2.515909793,0.4306681431,7.085463458,2.528522354,0.6709088024,7.197040897,2.69080427,0.5241858027
59,7.190336906,3.018630584,0.004312192392,7.217028068,2.845748852,0.2410838892,7.216927936,2.845655754,0.2411118169,6.970990344,2.491378883,-0.1899165186,6.965751875,2.476332871,-0.09239655976,7.078280001,2.611195647,-0.0480554743,7.36254054,2.863918398,-0.2913407785,7.381854087,2.868611843,-0.139485488,7.021346479,2.51458209,0.427984242,7.079230469,2.526676612,0.6702562435,7.190413301,2.688897879,0.5245865186
60,7.183957974,3.016187863,0.004029976957,7.210807768,2.843383223,0.2409517999,7.210679617,2.843223805,0.2409873543,6.963413634,2.49034984,-0.1898926965,6.960964139,2.473672162,-0.09341291933,7.072013013,2.609543277,-0.04785262894,7.356486808,2.861120097,-0.2915810797,7.375938713,2.866198313,-0.1401493029,7.013348437,2.513107755,0.4256821719,7.072956955,2.524666535,0.669571137,7.18376423,2.686858861,0.5250583116
61,7.177568489,3.013491119,0.003255320587,7.20456225,2.840739931,0.2403501644,7.204443252,2.840559826,0.2403836665,6.956628125,2.488358168,-0.1905099666,6.955707241,2.470733117,-0.09450696522,7.065844422,2.607356722,-0.04825020227,7.350375237,2.858240997,-0.2922109906,7.369850859,2.863538306,-0.1411656243,7.005947228,2.510864045,0.4232646324,7.066696017,2.522286864,0.6685543531,7.177268861,2.684459101,0.5248057218
62,7.171118457,3.010475305,0.002107998942,7.198278159,2.837769811,0.2394415618,7.198214915,2.837617133,0.2394601135,6.950893696,2.485297959,-0.1917913141,6.949981224,2.467482638,-0.09557827648,7.059767548,2.604626701,-0.04914391296,7.34415277,2.855239807,-0.2930387326,7.363539022,2.860601542,-0.1423962901,6.999294235,2.507811911,0.421162113,7.060427892,2.519438765,0.6673000796,7.17088574,2.681679253,0.5239120624
