C1P2T13_susp_data.tx,C1P2T13_susp_data.ty,C1P2T13_susp_data.tz,C1P2T13_susp_data.rx,C1P2T13_susp_data.ry,C1P2T13_susp_data.rz
1.283568916,1.241875848,2.032357691,6.296356195,16.42861781,43.20723367
1.283957783,1.241575276,2.032885704,6.31374966,16.41996783,43.221993
1.284355113,1.241318648,2.033450963,6.331299016,16.41253955,43.23673163
1.28476471,1.241109438,2.03406336,6.349209135,16.4063162,43.25147268
1.285176518,1.240940555,2.034695154,6.366955576,16.40134549,43.26607116
1.285575107,1.240799529,2.035306033,6.383682078,16.39771934,43.28037119
1.285956215,1.240681771,2.035887028,6.399095812,16.3954873,43.29437946
1.286315597,1.240582614,2.036429165,6.412903766,16.39469912,43.30810216
1.28666357,1.240516541,2.036960576,6.425498841,16.39545422,43.32148761
1.287007537,1.240492307,2.037500263,6.437278981,16.39775324,43.33452636
1.28733893,1.240496517,2.038025538,6.447958339,16.40149816,43.34728737
1.287649229,1.240515683,2.038513696,6.457250752,16.40659131,43.35983942
1.287929959,1.240536227,2.038942008,6.464869836,16.41293542,43.37225122
1.288172692,1.240544503,2.039287712,6.47052909,16.42043374,43.38459154
1.288369049,1.240526825,2.039528,6.473942008,16.42899016,43.3969293
1.288558952,1.240563146,2.039785149,6.476962757,16.44026551,43.40840728
1.288770624,1.240709312,2.040140569,6.480694226,16.45523906,43.41841689
1.288978303,1.240915411,2.040510117,6.483721668,16.47279488,43.42740115
1.289156399,1.241131444,2.040809667,6.484628983,16.49181987,43.43580485
1.289279498,1.241307393,2.040955085,6.481999198,16.51120404,43.44407515
1.289322375,1.241393398,2.040862158,6.474414813,16.529841,43.45266211
1.289260004,1.24134002,2.040446493,6.460457996,16.54662854,43.46201916
1.289010864,1.241040908,2.039504426,6.43758588,16.56180568,43.47290686
1.288558414,1.240483063,2.038010249,6.406186019,16.57632665,43.48541694
1.287974952,1.23975758,2.036146745,6.369234272,16.59016031,43.49900099
1.287332355,1.238954586,2.034097762,6.329702791,16.60326474,43.51310701
1.286702065,1.238162487,2.03204857,6.290558973,16.61558462,43.52717807
1.286155081,1.237467727,2.030185957,6.254765289,16.62705062,43.54065205
1.285761959,1.236955039,2.028698067,6.225280038,16.63758089,43.55296271
1.285451075,1.236451624,2.027225078,6.201283781,16.64465392,43.56610915
1.285134146,1.235845782,2.025518017,6.178915523,16.64829704,43.58098832
1.28485589,1.235310976,2.023932911,6.156574236,16.65224292,43.59537283
1.284660321,1.235018004,2.022826855,6.132666095,16.66022282,43.60702837
1.284556996,1.23520079,2.022225153,6.104091482,16.67138465,43.61190006
1.284511939,1.235752539,2.021843909,6.071724802,16.68254393,43.61111934
1.28450351,1.236331881,2.021576022,6.039939273,16.69393851,43.61022997
1.284510444,1.236598058,2.021313394,6.013113837,16.70581808,43.61478546
1.284584451,1.236663648,2.021261498,5.992422883,16.7188627,43.62374723
1.284765656,1.236828132,2.021605089,5.975435944,16.73334273,43.6326765
1.28501594,1.237031817,2.022203888,5.961129571,16.74890353,43.64203609
1.285297521,1.237215141,2.022917317,5.948481729,16.76519408,43.65229172
1.285572955,1.237318438,2.023604552,5.936471637,16.7818667,43.66391175
1.285805104,1.237281883,2.024124497,5.924079558,16.79857702,43.67736705
1.285957105,1.23704565,2.024335669,5.910286545,16.81498442,43.6931308
1.286045274,1.236512691,2.024292311,5.897845429,16.83103982,43.71319335
1.286112856,1.235694824,2.02415047,5.888905025,16.84695114,43.73792331
1.286163523,1.234695688,2.023921221,5.88154039,16.862767,43.76536034
1.286200952,1.23361894,2.023616039,5.87382706,16.87853828,43.79354108
1.286228853,1.232568268,2.023246862,5.863841831,16.89431903,43.82049968
1.286250992,1.231647398,2.022826126,5.849662968,16.91016617,43.84426806
1.286271184,1.230960082,2.022366769,5.829369828,16.92613796,43.86287618
1.286282948,1.230450215,2.021831839,5.804323925,16.94329188,43.8770683
1.28627894,1.229998655,2.02120062,5.776899834,16.96225931,43.8891113
1.286261703,1.229614642,2.020510922,5.74669515,16.98245882,43.89931699
1.286233762,1.229307448,2.019800735,5.713305111,17.00330901,43.90799635
1.286197619,1.229086356,2.019108222,5.676322496,17.0242282,43.91545936
1.286155735,1.22896064,2.018471701,5.635337604,17.04463423,43.92201499
1.286110512,1.228939536,2.017929636,5.58993833,17.06394414,43.92797131
1.286060489,1.229378135,2.01776311,5.528403847,17.08530409,43.92804947
1.286002997,1.230295852,2.017947359,5.450050534,17.10952495,43.92119773
1.285939428,1.231199673,2.018061698,5.371033677,17.13253202,43.91409999
1.285872618,1.231598509,2.017685212,5.307532414,17.15027806,43.91349316
1.285803443,1.231585407,2.016805081,5.254482102,17.16110849,43.9196014
1.285731226,1.231555667,2.015749075,5.198780372,17.16803416,43.92730903
1.285656972,1.231472105,2.014606731,5.144560309,17.17401777,43.93536585
1.285581225,1.231296034,2.013467941,5.095955431,17.1820206,43.94251273
