C1P1T09_susp_data.tx,C1P1T09_susp_data.ty,C1P1T09_susp_data.tz,C1P1T09_susp_data.rx,C1P1T09_susp_data.ry,C1P1T09_susp_data.rz
1.31176264,1.296226628,2.085620552,4.622041273,17.91059035,42.63276381
1.31168688,1.295585751,2.085371782,4.641824599,17.89274886,42.64475384
1.311613958,1.29497666,2.085131934,4.660464454,17.87601023,42.65610129
1.311544273,1.294400523,2.084901533,4.677916856,17.86042335,42.66677993
1.31147822,1.29385851,2.084681104,4.694137743,17.84603706,42.67676347
1.311416197,1.29335179,2.084471174,4.709082966,17.83290014,42.68602552
1.311358596,1.292881532,2.084272274,4.722708274,17.82106128,42.69453958
1.311303863,1.292442638,2.084085001,4.735313541,17.81027202,42.7024592
1.311249469,1.292027729,2.083907799,4.747233081,17.80020505,42.70996674
1.311194349,1.291634554,2.083737961,4.758474189,17.79079073,42.71707884
1.311137441,1.291260854,2.083572781,4.769044144,17.78195943,42.72381215
1.311077685,1.290904363,2.083409555,4.778950213,17.7736415,42.73018329
1.311014021,1.290562809,2.083245575,4.788199663,17.76576725,42.73620896
1.310948434,1.290247376,2.083084739,4.796385595,17.75871019,42.74167448
1.310883106,1.289967709,2.082931765,4.803205186,17.75279185,42.74641219
1.310817276,1.28971924,2.082785179,4.80882187,17.74786467,42.75050934
1.310750185,1.289497404,2.082643504,4.813399169,17.74378115,42.75405335
1.310681078,1.289297646,2.082505263,4.817100728,17.74039384,42.7571318
1.310609206,1.289115419,2.082368973,4.820090336,17.73755542,42.75983245
1.310533822,1.288946178,2.082233149,4.822531945,17.73511865,42.7622433
1.310454185,1.288785389,2.082096304,4.824589686,17.73293641,42.76445252
1.310369555,1.288628518,2.081956948,4.826427874,17.73086174,42.76654854
1.3102792,1.288471041,2.081813587,4.828211018,17.72874778,42.76862
1.310182387,1.288308436,2.081664725,4.830103814,17.72644782,42.77075574
1.310078392,1.288136185,2.081508863,4.832271147,17.72381527,42.77304484
1.309989375,1.288033381,2.081395662,4.832451237,17.72363555,42.77434106
1.309929257,1.288051573,2.081357051,4.829179658,17.72768671,42.77388052
1.309884981,1.288144933,2.0813649,4.823818646,17.73431204,42.77232729
1.309843536,1.288267613,2.081391034,4.817732791,17.74185633,42.77034813
