frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,AA01_data.tx,AA01_data.ty,AA01_data.tz,AA02_data.tx,AA02_data.ty,AA02_data.tz,AA03_data.tx,AA03_data.ty,AA03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
11,8.498999931,2.42963718,-1.069943247,8.470755435,2.18665293,-0.9064243983,8.205351172,2.231682862,-0.91625129,8.608648869,2.309157975,-0.3345863574,8.407926766,2.161325762,-0.2299671299,8.336580134,2.038668526,-0.4269809479,8.7660439,2.388960147,-1.081661711,8.078678541,1.950960532,-0.571573412,7.988137224,1.881719442,-0.7370569163,8.285957401,2.050681053,-0.5534861614,8.77043849,2.407162558,-1.186726299,7.983278455,1.90020398,-0.8786660866,8.784765505,2.379348348,-0.9580486755,7.527382154,1.577906524,-0.4038265838,8.836489485,2.336304089,-0.4664974302,8.870971779,2.434135004,-0.5652291732,8.049152657,1.929479489,-0.3607055317,8.171902869,1.972094313,-0.3966463929,8.249823552,2.021111657,-0.2826225679,9.057704044,2.472103425,-0.1282427907
12,8.494284442,2.428676071,-1.071546406,8.466118678,2.185681083,-0.9079544791,8.20072839,2.230718301,-0.9178685705,8.604044939,2.30822508,-0.3362317398,8.403266527,2.160613099,-0.2314417143,8.331908033,2.037857965,-0.4285401765,8.761492065,2.387788255,-1.08357133,8.074134838,1.950079449,-0.5729998215,7.983920212,1.8806376,-0.7387491171,8.282122143,2.049657215,-0.5549719775,8.765464576,2.406320103,-1.188266709,7.978767203,1.899247323,-0.8802506578,8.780138375,2.378585089,-0.9596402019,7.523080077,1.576813576,-0.4051908166,8.832304365,2.334804126,-0.4681418266,8.866300186,2.433170483,-0.5668591535,8.044210736,1.92884931,-0.3621377639,8.167336855,1.971236209,-0.3978490366,8.245437752,2.019999522,-0.2840615816,9.052984361,2.471148803,-0.1298845332
13,8.489554601,2.427632179,-1.073131885,8.461462298,2.184633847,-0.9094632194,8.196084149,2.229670866,-0.9194602708,8.599424944,2.307215915,-0.3378526597,8.398590019,2.15981908,-0.2328952584,8.327221845,2.036965242,-0.4300692811,8.75691455,2.386554505,-1.085427919,8.069570896,1.949101091,-0.5744160199,7.979657867,1.879492858,-0.7403972062,8.278278215,2.048544552,-0.5564208574,8.760513634,2.405379791,-1.189782556,7.974225917,1.898206208,-0.8818181029,8.775491415,2.377723165,-0.9611932832,7.518734149,1.575669641,-0.4065478438,8.82805273,2.333291398,-0.4697634132,8.861612969,2.432119118,-0.568468395,8.039265254,1.928144699,-0.3635544872,8.162821123,1.970321648,-0.3990195374,8.240994683,2.018856425,-0.2854840837,9.048249584,2.470142163,-0.1315048383
14,8.484816573,2.426508933,-1.074695602,8.456792691,2.183514281,-0.9109473631,8.191428214,2.228545142,-0.9210243031,8.594792076,2.306141458,-0.3394442203,8.393901371,2.158949894,-0.2343271054,8.322523169,2.035997128,-0.4315665022,8.752320683,2.385249756,-1.08724852,8.064991755,1.948049531,-0.5758153583,7.975353443,1.878285363,-0.7420037007,8.274391155,2.047355169,-0.5578173045,8.755585327,2.404339595,-1.191268456,7.969663455,1.897089252,-0.8833573666,8.770837808,2.376765967,-0.9627082795,7.514352565,1.574480602,-0.4078895294,8.823754259,2.331752236,-0.471359182,8.856913341,2.43098156,-0.570048902,8.034349773,1.927353868,-0.3649535426,8.158319014,1.969337555,-0.4001720513,8.236510517,2.017675058,-0.286885013,9.043501865,2.469093771,-0.1331000084
15,8.480068024,2.42531991,-1.076235249,8.452108473,2.182335899,-0.9124018074,8.186743329,2.227356643,-0.9225480967,8.590159507,2.304984713,-0.3410060721,8.389197647,2.158018385,-0.2357259667,8.317817874,2.034961086,-0.4330219273,8.747671133,2.383928745,-1.088998559,8.060414159,1.946879604,-0.5771997736,7.97099599,1.877041763,-0.7435456908,8.270545548,2.046093378,-0.5591949119,8.750705683,2.403224139,-1.192730405,7.965073,1.895893954,-0.8848821567,8.76614812,2.375720021,-0.9641556163,7.509920275,1.573263502,-0.4092117656,8.819343572,2.330279712,-0.4729226179,8.852199581,2.429747743,-0.5716164546,8.029410383,1.926534345,-0.3663235842,8.153962383,1.968338754,-0.4012357194,8.231948705,2.016517198,-0.2882645087,9.038739924,2.468012041,-0.1346662225
16,8.475293458,2.424098646,-1.077775692,8.447394687,2.181130143,-0.9138532637,8.182005704,2.226136475,-0.9240532305,8.585521883,2.303750585,-0.3425665816,8.384466875,2.157043184,-0.2371143136,8.313098941,2.03387618,-0.434461074,8.742933842,2.382651152,-1.090674416,8.055831506,1.945578434,-0.5786038274,7.966570119,1.875798335,-0.7450417373,8.266793943,2.044774092,-0.5606067561,8.745874809,2.402077486,-1.194198432,7.96043563,1.89464066,-0.8864356033,8.761391066,2.374614722,-0.9655478146,7.50541695,1.572041352,-0.4105523997,8.814771766,2.328942308,-0.4744785276,8.847460146,2.428436717,-0.5732068129,8.024390861,1.925738314,-0.3676908688,8.149823832,1.967378307,-0.4022002748,8.227274468,2.015431706,-0.2896546649,9.033954378,2.466908656,-0.1362282601
17,8.47049059,2.422844438,-1.079327787,8.442648275,2.179895635,-0.9153163101,8.17722622,2.224881035,-0.9255604653,8.580863832,2.302461333,-0.3441357064,8.379708619,2.156019298,-0.2385119347,8.308358215,2.03274333,-0.4359032731,8.738140424,2.381381038,-1.092312237,8.051223783,1.94419274,-0.5800370516,7.962082936,1.874541016,-0.7465228254,8.263063738,2.043399891,-0.5620348808,8.741065117,2.400890785,-1.195676249,7.955752917,1.893341245,-0.8880174192,8.756588052,2.373455683,-0.9669208882,7.500852503,1.570805861,-0.4119286081,8.8100929,2.327665772,-0.4760423678,8.84269335,2.427067436,-0.5748151215,8.019330743,1.92492378,-0.3690764851,8.145787382,1.966417583,-0.4031380206,8.222515835,2.014371118,-0.2910661652,9.029143843,2.465780879,-0.1377985634
18,8.465673818,2.421522001,-1.080869087,8.437882779,2.178600029,-0.9167668081,8.172432291,2.223554962,-0.9270538235,8.576184219,2.301121465,-0.3456869155,8.37493662,2.154925919,-0.2398995042,8.303602693,2.031543008,-0.4373262457,8.733339345,2.380048149,-1.093912914,8.046586806,1.942744975,-0.5814663703,7.957558177,1.873227516,-0.747976033,8.25929791,2.041949951,-0.5634201616,8.736266187,2.399618536,-1.197132793,7.951043519,1.891976173,-0.8895839026,8.751776867,2.372217065,-0.9682753741,7.496252881,1.569527058,-0.4133084361,8.805375771,2.326355658,-0.4775927448,8.837912331,2.425636491,-0.576401922,8.014284731,1.924029209,-0.3704584591,8.141752266,1.965397748,-0.4040787236,8.217715528,2.013270646,-0.2924679053,9.0243201,2.46461387,-0.1393550929
19,8.460857555,2.420095907,-1.082376961,8.433111753,2.177210842,-0.9181804448,8.167651349,2.222122757,-0.9285171472,8.571481898,2.29973534,-0.3471935412,8.370164626,2.153742103,-0.2412575456,8.298839381,2.030255547,-0.43870756,8.728579116,2.378582085,-1.095477109,8.04191637,1.941257457,-0.5828585891,7.953019602,1.871815406,-0.7493882527,8.255439433,2.040403314,-0.5647033121,8.731467615,2.398215097,-1.198536817,7.946326093,1.890525797,-0.8910911896,8.746995315,2.370872889,-0.9696116362,7.491644039,1.568174864,-0.4146597639,8.800689229,2.324917403,-0.4791080083,8.833130219,2.424140342,-0.5779276007,8.009307553,1.922992957,-0.371814631,8.137617755,1.96425974,-0.4050519882,8.212916302,2.012065391,-0.29382858,9.019494936,2.463392641,-0.1408756561
20,8.456030294,2.41856242,-1.083830967,8.428321539,2.175731037,-0.9195322207,8.162821557,2.220592823,-0.9299007955,8.566786762,2.298227833,-0.3486398447,8.365380885,2.152475462,-0.2425404799,8.294086088,2.028872353,-0.4400044208,8.723770004,2.377096277,-1.096856431,8.03716507,1.939597266,-0.5841918352,7.948459899,1.870334327,-0.750676512,8.251798601,2.038671642,-0.5659823393,8.726703039,2.396717775,-1.199885753,7.941573028,1.888940389,-0.8925377061,8.742151299,2.369422459,-0.9708617023,7.486980736,1.566764422,-0.415953006,8.795882884,2.323538503,-0.4805531465,8.82834276,2.422451771,-0.5794157459,8.004174833,1.921931643,-0.3730959642,8.133833941,1.963137552,-0.4058007478,8.208007542,2.010885388,-0.2951110289,9.014681697,2.462050723,-0.1423331268
