frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz
22,6.953697757,2.516650436,-0.2263132158,6.77285682,2.584508228,-0.3744725118,6.812219462,2.545436918,-0.3894828299,6.75605486,2.420096662,-1.008904757,6.722697191,2.297670807,-0.7453540305,6.813221741,2.365360718,-0.6647252453,6.754958215,2.228134432,-0.5118027855,6.752069781,2.121516418,-0.2905645592,6.860131611,2.22083418,-0.2314334335,6.90756286,2.275600601,-0.1252217334,7.006490854,2.315524734,0.1202276961,7.018084276,2.383656755,0.005590670432,7.077318128,2.401674872,0.1455231758,7.09277736,2.662102109,-0.6142201814,7.160513413,2.826999278,-0.7921846061,7.194008966,2.822545046,-0.6762418798
23,6.948700531,2.511369098,-0.2162226467,6.769009171,2.579106656,-0.3648004708,6.807609755,2.540900452,-0.3802937909,6.754317327,2.416831678,-1.000068705,6.718852802,2.290499156,-0.7356425542,6.807840244,2.360432009,-0.655571357,6.750937732,2.221533665,-0.4999382984,6.748874565,2.114822618,-0.281617303,6.854928515,2.216053012,-0.2205856212,6.905121683,2.264394504,-0.1168266503,7.002949488,2.311456395,0.1329338104,7.013688793,2.378746354,0.01400089504,7.073337145,2.396764625,0.1569698964,7.088743125,2.655977903,-0.6067438327,7.155911257,2.820071634,-0.7829505065,7.190134587,2.817488722,-0.6676964109
24,6.943499562,2.505946429,-0.2058879116,6.76524979,2.573224513,-0.354919088,6.803165474,2.535691977,-0.3708181465,6.75203961,2.413909057,-0.9904888734,6.7137297,2.2822281,-0.7250939092,6.802286386,2.35537278,-0.64630032,6.746182283,2.214020752,-0.4875942064,6.744108398,2.108546513,-0.2715922333,6.849310118,2.211010833,-0.2093131086,6.903810342,2.253027923,-0.1078409231,6.998823262,2.307220779,0.1456281185,7.008797405,2.373738904,0.02292105446,7.069414566,2.391533808,0.168799494,7.084420889,2.649055505,-0.599757772,7.151145999,2.81233996,-0.7726285539,7.187080096,2.813575194,-0.6585667387
25,6.938411296,2.500731403,-0.197490007,6.761810276,2.566771769,-0.3469897862,6.800114841,2.528733648,-0.3626463196,6.751017503,2.40964983,-0.9818127927,6.70733305,2.273196815,-0.7152067856,6.797039115,2.349774729,-0.6380252249,6.740360003,2.205161379,-0.4774203101,6.736254749,2.103760054,-0.2606017104,6.843589064,2.205649813,-0.1992273569,6.904557418,2.240914236,-0.1005062241,6.993986166,2.301958255,0.1540986178,7.003905211,2.368556685,0.03151034318,7.066360064,2.385660267,0.1792835992,7.079437636,2.641753501,-0.5951839995,7.14674785,2.804471932,-0.763100335,7.185873449,2.809239463,-0.6511356657
26,6.934454369,2.497321587,-0.1931412812,6.758589136,2.562279508,-0.3434810149,6.79796186,2.523353513,-0.3587035471,6.749031994,2.408620575,-0.9763435659,6.699026653,2.269472558,-0.7090396279,6.79349451,2.345690743,-0.6329025387,6.735232625,2.200104205,-0.4726359361,6.726678687,2.102949918,-0.2562018089,6.840048401,2.201850636,-0.1942607134,6.90222621,2.237044421,-0.0961543086,6.990170089,2.298329132,0.1578587563,6.99991982,2.365251344,0.03664477118,7.063157393,2.380374105,0.1847472139,7.074985042,2.638067226,-0.5938616779,7.143687952,2.801584985,-0.7569041902,7.183865163,2.808889225,-0.6463210217
27,6.931058898,2.494297555,-0.189015406,6.755491908,2.558221832,-0.3400399939,6.79574027,2.51851116,-0.3548056622,6.746513911,2.407318325,-0.9709447452,6.690693788,2.267414752,-0.7033310113,6.790616917,2.341713619,-0.6275848365,6.730545084,2.195656764,-0.4682403679,6.717007039,2.102947273,-0.2521321966,6.83703417,2.19812283,-0.1898557628,6.899147186,2.23613155,-0.09136857133,6.986340285,2.295050787,0.1612021537,6.99595707,2.362362559,0.04183902562,7.059754225,2.375267265,0.1897337282,7.070906696,2.635232335,-0.5918996451,7.14073425,2.799908451,-0.7510389285,7.181553826,2.809158667,-0.6410976983
28,6.929043554,2.490985837,-0.1834612893,6.752465012,2.55407718,-0.3345157591,6.792274215,2.514683533,-0.3491087505,6.741705457,2.402517777,-0.9637319252,6.682312004,2.267027325,-0.6970635871,6.7886648,2.335591534,-0.6195354396,6.727589389,2.190916358,-0.4616643936,6.70837473,2.102498367,-0.2470698045,6.8352354,2.192949666,-0.1843220019,6.894748654,2.238733828,-0.08345839915,6.982420729,2.292434792,0.1660785915,6.992017743,2.359096083,0.04920522464,7.055399094,2.370737554,0.1953157257,7.066888728,2.632423251,-0.5872460869,7.137385219,2.798818243,-0.7452109885,7.177717639,2.807587644,-0.6337260465
29,6.926995565,2.487342137,-0.1742245014,6.749195582,2.549945392,-0.324987284,6.787870269,2.511228025,-0.3396249376,6.73676533,2.395677686,-0.954243051,6.678000662,2.265908329,-0.6884938744,6.785497383,2.330765893,-0.6079542582,6.725900708,2.185344965,-0.4513250593,6.70282398,2.100758339,-0.2368722728,6.831020329,2.188694974,-0.1753112671,6.889733655,2.240801365,-0.072563957,6.977663622,2.289258693,0.1757732249,6.987332002,2.356212822,0.05976749526,7.05017073,2.366976179,0.2044857711,7.063921747,2.629270922,-0.576587847,7.133099932,2.797197971,-0.7372358131,7.173419752,2.803308305,-0.6225914828
30,6.924906604,2.483426086,-0.1642242914,6.745909244,2.545786047,-0.3145371847,6.783249011,2.507860531,-0.3292692369,6.732253459,2.389114759,-0.9444890657,6.675323341,2.264526124,-0.6797495992,6.782330584,2.326248207,-0.5960486564,6.724218115,2.180194238,-0.4401659746,6.698335071,2.098136017,-0.2255407394,6.826507842,2.184286659,-0.1658402786,6.884489936,2.24257765,-0.06105526353,6.97300389,2.285583714,0.1863988126,6.982620717,2.3528721,0.07051176357,7.045043804,2.36314008,0.215200333,7.061354182,2.625942544,-0.5639061025,7.128714658,2.794948333,-0.7286507584,7.168888412,2.798676985,-0.61079306
31,6.921741217,2.478548493,-0.1528779018,6.742651871,2.540967561,-0.3025551654,6.778475544,2.503742956,-0.3176387882,6.731041093,2.384496682,-0.934850889,6.675893438,2.261777314,-0.6707656815,6.778788316,2.323038538,-0.5849037589,6.720819709,2.175648174,-0.4274504443,6.694971729,2.093317464,-0.2115068722,6.820908873,2.178982315,-0.1556437191,6.879522483,2.241873608,-0.04888417082,6.968761307,2.279799779,0.1985212348,6.977703747,2.347669616,0.0805002794,7.041220067,2.358000762,0.2290354865,7.05980618,2.621431179,-0.5481375471,7.123842832,2.790343036,-0.718518067,7.164170421,2.796131847,-0.5979116184
32,6.918454627,2.473382201,-0.1438737341,6.739969544,2.536144349,-0.2932730353,6.774995851,2.499226396,-0.3078192287,6.730060565,2.382100722,-0.9273069113,6.676593081,2.257479247,-0.6638136251,6.776453161,2.317793276,-0.575840082,6.716216079,2.172240361,-0.4173712871,6.690041712,2.087335342,-0.2006118852,6.816821093,2.172641007,-0.1477710164,6.877251172,2.237236949,-0.03995751714,6.965908899,2.273243645,0.2079602506,6.973711657,2.34100833,0.08680480627,7.038939145,2.351897718,0.2434456821,7.057349878,2.616910859,-0.5343877063,7.120704299,2.783507278,-0.7085204334,7.160784071,2.791801073,-0.5892615749
33,6.915006255,2.468478675,-0.1359461711,6.737266173,2.531556286,-0.2853015048,6.771872878,2.494789488,-0.2991215972,6.729389739,2.380769053,-0.9205501803,6.677387474,2.252710288,-0.6576709324,6.774370336,2.312602957,-0.5681311173,6.711543303,2.16934452,-0.4086464081,6.686363407,2.080706715,-0.1916017217,6.813335826,2.166247486,-0.140996106,6.875657339,2.231511243,-0.03258689512,6.963459606,2.266718369,0.2161223668,6.970228063,2.334288343,0.09205923358,7.036950329,2.34583408,0.2571836045,7.054417355,2.612625324,-0.5227550839,7.118073937,2.77639726,-0.6989067361,7.157741963,2.786985723,-0.582110443
34,6.911809788,2.465337657,-0.1309426568,6.733951326,2.528262069,-0.2808308117,6.768826026,2.491580317,-0.2938004436,6.728698119,2.382957406,-0.9149758783,6.675478311,2.249320939,-0.6529661021,6.773659943,2.307801024,-0.5631429823,6.707818566,2.168822818,-0.4037103388,6.686644317,2.074469599,-0.1894867556,6.812613217,2.161014387,-0.13755582,6.874288924,2.227552268,-0.0284146082,6.96132173,2.262524294,0.2207129584,6.96796928,2.329618331,0.09631285278,7.034518952,2.341134831,0.2682518878,7.050569377,2.61040251,-0.5177386618,7.116594173,2.771780639,-0.6912841069,7.155550358,2.781865399,-0.5780365855
35,6.908696639,2.462429059,-0.1271487785,6.730537229,2.525049813,-0.2774039502,6.765959645,2.488481276,-0.2897553735,6.727406855,2.384354672,-0.9101682943,6.673110132,2.246135146,-0.6491832579,6.772826537,2.303849154,-0.5603258903,6.704412494,2.168074317,-0.3999010844,6.688155048,2.06810197,-0.1888542079,6.812363675,2.155675519,-0.1350619335,6.872546597,2.223981552,-0.02518000814,6.959082156,2.25870216,0.2238303646,6.965870606,2.325415625,0.0999479283,7.031779921,2.336796084,0.276797624,7.046397886,2.60813541,-0.5153889045,7.114932502,2.76756489,-0.6850934755,7.152983592,2.777348066,-0.5746094017
36,6.905782866,2.45946023,-0.1244776265,6.727204824,2.521187234,-0.2741742429,6.763192631,2.485141699,-0.2867727255,6.724923785,2.379284756,-0.9067145055,6.671440113,2.243120055,-0.6469641564,6.770848672,2.301855925,-0.5609776261,6.702488357,2.164251823,-0.3967478794,6.692218603,2.061006235,-0.1873815798,6.811627222,2.149292138,-0.1322215033,6.870001648,2.220854049,-0.02229245702,6.956154352,2.254835281,0.2258783036,6.963514786,2.321966184,0.1039547219,7.028238706,2.332974872,0.2805868848,7.041938617,2.604612353,-0.5166241088,7.111928091,2.763621349,-0.6816966196,7.148714221,2.773552031,-0.5705414277
37,6.90240707,2.45608219,-0.120910957,6.723597406,2.517385843,-0.2697630646,6.760533003,2.481393736,-0.2830784456,6.719404796,2.371788332,-0.9016122346,6.670270135,2.239026746,-0.6433958836,6.766137435,2.302308433,-0.5617299645,6.700162975,2.158359527,-0.3916400824,6.695900696,2.054675699,-0.1823672205,6.807996862,2.143811668,-0.1282763337,6.865036384,2.218456193,-0.01781219449,6.952293884,2.250377175,0.2285977033,6.960283275,2.318610809,0.108750582,7.023482322,2.329631046,0.2802869833,7.036753232,2.599873816,-0.5181805516,7.106995488,2.759724185,-0.6789099062,7.142597539,2.772979047,-0.5635111709
38,6.899030945,2.452137213,-0.1160412735,6.720198334,2.513274851,-0.2641930817,6.757962769,2.477286335,-0.2782840455,6.713624773,2.363638405,-0.8954945532,6.668917548,2.234582938,-0.6386280467,6.760797908,2.302805936,-0.561089637,6.697516707,2.151490342,-0.3850794336,6.698008713,2.048638046,-0.1761110519,6.803709473,2.138384575,-0.122976941,6.859571311,2.215719167,-0.01204689431,6.947933769,2.245571899,0.2324920732,6.956553209,2.314825908,0.1144666995,7.018210151,2.32593199,0.2790846814,7.03204186,2.594643363,-0.5181628254,7.101831599,2.755566905,-0.6750659001,7.136561584,2.772166934,-0.555124497
39,6.895889871,2.446561368,-0.1083200744,6.71770255,2.508403533,-0.2559946378,6.755420726,2.472694059,-0.2706233707,6.708181946,2.356074254,-0.8874475423,6.666297261,2.230213782,-0.6315668653,6.755949066,2.301046439,-0.5564498739,6.692958035,2.144198197,-0.3752892467,6.694242582,2.043250584,-0.1680657655,6.799704285,2.132314063,-0.1148825087,6.853950709,2.212035448,-0.003038873916,6.942881796,2.240374617,0.238733472,6.952061657,2.309528797,0.1216329153,7.012080276,2.320903824,0.2794317954,7.029573016,2.58854387,-0.5114592912,7.09706915,2.750457529,-0.6683789517,7.131432998,2.771413757,-0.5445571458
40,6.893023834,2.4400864,-0.09686732,6.71602648,2.503196625,-0.2453148333,6.753206206,2.467635484,-0.2597625047,6.705273312,2.352071765,-0.8776808729,6.662403002,2.225513128,-0.6210575243,6.752463112,2.296957447,-0.5467976267,6.687612737,2.137252075,-0.3630146412,6.684039991,2.038622146,-0.1596216468,6.796492669,2.126335003,-0.1042853201,6.849687205,2.206876512,0.008135795878,6.937842805,2.234368736,0.2490198279,6.946716517,2.302994174,0.1298239261,7.006690737,2.313952072,0.2832405675,7.027783435,2.583616606,-0.5000736852,7.094244222,2.743710291,-0.6549283304,7.129272085,2.762971803,-0.534161383
41,6.890331605,2.432880021,-0.08440510252,6.714295195,2.497344096,-0.2338782373,6.751006908,2.461736157,-0.2479920959,6.703328011,2.348642968,-0.8673071079,6.658268752,2.220119445,-0.6095580576,6.749323317,2.291659619,-0.5352252763,6.68222485,2.129819009,-0.3499784284,6.673127634,2.033571507,-0.1505875481,6.793250554,2.119795557,-0.09305406761,6.846068747,2.20061749,0.01949356095,6.932841725,2.227421208,0.2604750917,6.941113656,2.29525355,0.1385806358,7.001709277,2.305980295,0.2886077821,7.026010346,2.578306052,-0.4873126815,7.091872984,2.736041933,-0.6399732802,7.12791422,2.751933469,-0.5240787757
