upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz
3.651842498,2.810549419,0.343271241,3.556287138,2.495474716,0.4804317038,2.223418726,1.159875392,0.3976068297,0.04622183148,-0.5473524578,1.882590674
3.647937826,2.812345342,0.3433265437,3.552667677,2.497052728,0.4809260681,2.220596398,1.160070798,0.3955842163,0.04544482485,-0.5479127179,1.880273859
3.644113988,2.81409402,0.3433685637,3.549117899,2.498575872,0.4813940746,2.217856073,1.160295304,0.3936687042,0.04466891407,-0.5485305219,1.877740396
3.640371004,2.815795147,0.343399331,3.545637358,2.50004459,0.4818373081,2.215196064,1.160548075,0.3918579129,0.04389271181,-0.5492038504,1.87498784
3.636708894,2.817448404,0.3434209069,3.542225615,2.501459301,0.4822573822,2.212614724,1.160828243,0.3901496901,0.0431147158,-0.549930481,1.872013771
3.633127676,2.819053452,0.343435386,3.538882244,2.502820397,0.4826559418,2.210110434,1.161134916,0.3885421042,0.04233330036,-0.5507079774,1.868815804
3.629627371,2.820609936,0.3434448983,3.535606832,2.504128239,0.4830346655,2.207681597,1.161467185,0.387033435,0.04154670785,-0.5515336777,1.865391592
3.626208,2.822117478,0.3434516111,3.532398976,2.505383164,0.483395269,2.205326624,1.161824131,0.3856221657,0.04075303977,-0.552404683,1.861738836
3.622872148,2.82357869,0.3434538464,3.529260167,2.506584055,0.4837343364,2.203049065,1.162204917,0.3843025822,0.03995433718,-0.5533219739,1.857837396
3.619623208,2.824994371,0.3434476813,3.526194068,2.507728203,0.4840437559,2.20085637,1.16261275,0.3830649687,0.03915343097,-0.5542853901,1.853683968
3.616462317,2.826361623,0.3434315274,3.523203557,2.508813558,0.4843182498,2.198752755,1.163052846,0.3819019307,0.03834977678,-0.5552904979,1.849301442
3.613390485,2.827677807,0.3434032775,3.520291519,2.509838111,0.4845525574,2.196742404,1.163530484,0.3808060862,0.03754326141,-0.5563334202,1.844712544
3.610408611,2.828940518,0.3433603441,3.517460839,2.510799908,0.4847414237,2.194829494,1.164050984,0.379770125,0.03673426215,-0.557410914,1.839939808
3.607517485,2.830147572,0.3432996853,3.514714399,2.511697045,0.4848795892,2.193018227,1.164619681,0.378786874,0.03592369135,-0.5585204312,1.835005557
3.604717798,2.831296991,0.3432178192,3.512055071,2.512527678,0.4849617808,2.191312867,1.165241895,0.3778493711,0.03511302625,-0.5596601627,1.829931893
3.602010132,2.832387007,0.3431108242,3.509485713,2.513290021,0.484982704,2.189717769,1.165922901,0.3769509452,0.03430432415,-0.5608290656,1.82474068
3.599410712,2.833424328,0.3429827992,3.506957752,2.513980857,0.4849671845,2.188229333,1.166728621,0.3761986938,0.0334871236,-0.5620358871,1.819222824
3.596927743,2.834417138,0.3428428082,3.504440507,2.514603121,0.4849364109,2.186843124,1.167701082,0.3756696624,0.03265009359,-0.5632739866,1.813247058
3.594549536,2.835366391,0.3426933327,3.501963769,2.515164203,0.4848800413,2.185562577,1.16880966,0.3753137738,0.03179626046,-0.564522593,1.806951169
3.592264203,2.83627348,0.3425359229,3.499557457,2.515671346,0.4847883066,2.184391629,1.17002352,0.3750823661,0.03093164801,-0.565765312,1.800471808
3.590059658,2.837140222,0.34237119,3.497251618,2.51613164,0.4846520054,2.183334884,1.171311432,0.3749276954,0.03006567963,-0.5669906438,1.79394426
3.587923609,2.837968882,0.3421987686,3.495076419,2.516552024,0.4844624901,2.182397694,1.172641675,0.3748025252,0.02921124194,-0.5681921031,1.787502354
3.585843529,2.838762217,0.3420172465,3.493062138,2.516939284,0.4842116431,2.181586161,1.173982033,0.3746598036,0.02838441242,-0.5693679493,1.781278531
3.583806609,2.839523556,0.3418240612,3.491239154,2.517300055,0.483891845,2.180907054,1.175299873,0.3744524308,0.02760385348,-0.5705205325,1.775404123
3.581849613,2.840218197,0.3415369243,3.489516209,2.517593252,0.4834149306,2.180457978,1.176657739,0.3740250501,0.02693504194,-0.571812676,1.769575922
3.580006935,2.840820529,0.3411136388,3.487814956,2.517789354,0.4827377046,2.180285936,1.178108838,0.3733331618,0.02640221254,-0.5733398868,1.763498039
3.578261247,2.841348771,0.340608348,3.48618555,2.517911307,0.4819218135,2.180321049,1.179606762,0.372493851,0.0259622688,-0.5750057937,1.757313574
3.576594429,2.84182185,0.3400724995,3.484678617,2.517980717,0.4810308322,2.1804919,1.181105615,0.3716217367,0.0255704552,-0.5767138879,1.751167503
3.574987654,2.842259275,0.3395551525,3.483345278,2.518017771,0.4801302744,2.18072553,1.182559979,0.370829076,0.0251804398,-0.5783676707,1.745206663
3.5734213,2.842681314,0.339102712,3.482237158,2.518041216,0.4792876438,2.180947396,1.18392498,0.3702257467,0.02474437653,-0.5798707164,1.739579639
3.571874693,2.84310947,0.3387580872,3.481406385,2.518068392,0.4785725253,2.181081317,1.185156433,0.3699191093,0.02421294971,-0.5811266475,1.734436553
3.570325683,2.843567229,0.3385592695,3.480905584,2.518115316,0.4780567193,2.181049382,1.186211088,0.3700137468,0.02353540346,-0.5820390232,1.729928764
3.568732199,2.844028433,0.3384452836,3.480659251,2.518206767,0.4777962929,2.180979304,1.187075927,0.3705087242,0.02273478796,-0.5826639929,1.726221701
