C2P2T17_hyoid_data.tx,C2P2T17_hyoid_data.ty,C2P2T17_hyoid_data.tz,C2P2T17_hyoid_data.rx,C2P2T17_hyoid_data.ry,C2P2T17_hyoid_data.rz
2.187161422,0.6596467222,0.8941582654,45.50920996,33.71490097,66.22088612
2.187355515,0.6594272363,0.894281218,45.57570346,33.70022083,66.23669484
2.187519304,0.6592167047,0.8943691523,45.63268113,33.68727139,66.25123257
2.18765079,0.6590154887,0.8944198323,45.6796469,33.67612653,66.26443211
2.187747995,0.658823906,0.8944311439,45.71610467,33.66686143,66.27622691
2.187808969,0.6586422207,0.8944011225,45.74155824,33.65955284,66.28655116
2.18784261,0.6584689187,0.8943379973,45.75821277,33.65385801,66.29570314
2.187861201,0.658302097,0.8942516889,45.76903988,33.64929102,66.30411474
2.187867893,0.6581413922,0.8941429356,45.77469313,33.64571584,66.31192099
2.187865833,0.6579864477,0.8940125114,45.77582611,33.64299705,66.31925662
2.187858155,0.6578369189,0.89386121,45.77309255,33.64099959,66.326256
2.18783793,0.6576951747,0.8936780364,45.76412846,33.64011091,66.33280208
2.187799861,0.6575622787,0.8934579311,45.7474234,33.64059887,66.33874322
2.187749499,0.6574359788,0.8932105531,45.72491164,33.64214927,66.34416077
2.187692358,0.6573140899,0.8929454455,45.69852769,33.6444472,66.3491346
2.187633909,0.6571945081,0.8926719807,45.67020624,33.64717639,66.353743
2.187579573,0.6570752173,0.8923993299,45.64188216,33.65001883,66.3580625
2.187499742,0.6569610884,0.8920827909,45.60575529,33.65388064,66.3611662
2.187377964,0.6568554381,0.8916976726,45.55697113,33.65943005,66.36262151
2.187239225,0.6567542321,0.8912825198,45.50188338,33.66598658,66.36324043
2.187108268,0.6566538498,0.8908749879,45.44684599,33.67286173,66.36382734
2.187009586,0.656551112,0.890511733,45.39821304,33.6793577,66.36517862
2.186841973,0.6564621186,0.8900836742,45.33155256,33.68924254,66.36261685
2.186536178,0.6563958979,0.889511534,45.22953549,33.70501847,66.35322511
2.186164047,0.6563396928,0.8888744361,45.10917151,33.72406779,66.34042174
2.18579654,0.6562822964,0.8882477471,44.98747224,33.74373625,66.32759985
2.185503611,0.6562142968,0.8877021914,44.88145071,33.76132376,66.31812452
2.18535441,0.656127773,0.8873044762,44.80812017,33.77408988,66.31533742
2.185363988,0.656067485,0.8869469283,44.75544308,33.78379927,66.31737657
2.185469375,0.6560577808,0.8865240268,44.70251716,33.79376087,66.32043054
2.185622383,0.6560607919,0.8861034338,44.65305788,33.80352637,66.32490342
2.185774904,0.6560385911,0.8857522943,44.61078067,33.81264116,66.33119712
2.185878927,0.6559531612,0.885537323,44.57940082,33.8206451,66.33971205
2.185983543,0.6558080915,0.8854175403,44.56375497,33.82575592,66.35076725
2.186158418,0.6556363405,0.8853118541,44.5642133,33.82710426,66.3641435
2.186386497,0.655443785,0.8852269525,44.57779156,33.82560071,66.37943414
2.18665076,0.6552362019,0.8851698646,44.60150568,33.8221598,66.39623421
2.186934215,0.6550192903,0.8851477968,44.63237181,33.81769788,66.41414056
2.187219899,0.6547986948,0.8851680077,44.66740635,33.81313161,66.43275188
2.187490863,0.6545800278,0.8852377214,44.7036259,33.80937688,66.45166846
2.187730163,0.6543688935,0.8853640797,44.73804737,33.8073485,66.47049181
2.187920832,0.6541709101,0.8855541329,44.7676879,33.80796033,66.48882411
2.188045858,0.6539917337,0.8858148689,44.78956494,33.81212604,66.50626743
2.18813724,0.6538265467,0.8861669859,44.80860606,33.81979191,66.52162825
2.188233248,0.6536650665,0.8866150646,44.83116248,33.82973562,66.53497111
2.188326223,0.6535047898,0.8871419357,44.85638783,33.84111826,66.54778439
2.188408486,0.653343233,0.8877304074,44.88343678,33.85310036,66.56155611
2.188472317,0.6531779523,0.8883632087,44.91146539,33.86484156,66.57777385
2.188509953,0.653006554,0.8890229539,44.9396309,33.8755003,66.59792444
2.188491516,0.6528585164,0.8897177458,44.96411854,33.88624481,66.61704205
