T1P1T06_ope_data.tx,T1P1T06_ope_data.ty,T1P1T06_ope_data.tz,T1P1T06_ope_data.rx,T1P1T06_ope_data.ry,T1P1T06_ope_data.rz
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
-0.3949297791,1.526917218,-2.381175326,6.1596686,-9.448084464,22.46172088
