C2P1T03_inf_data.tx,C2P1T03_inf_data.ty,C2P1T03_inf_data.tz,C2P1T03_inf_data.rx,C2P1T03_inf_data.ry,C2P1T03_inf_data.rz
2.919413527,0.8580899711,0.8148188479,5.953720995,6.414076053,69.05418171
2.919050526,0.8581052887,0.8136355886,5.972284574,6.359499407,69.17007406
2.918673539,0.8581079083,0.8124568322,5.992004299,6.305903511,69.28281212
2.918281585,0.8580984541,0.8112847991,6.01295729,6.253310973,69.39237291
2.917873706,0.8580775149,0.8101217315,6.035220594,6.201744027,69.49873401
2.917448968,0.8580456413,0.8089698973,6.058871184,6.15122457,69.60187362
2.917006462,0.8580033431,0.8078315934,6.08398596,6.101774196,69.70177053
2.916545309,0.8579510866,0.8067091497,6.110641751,6.05341422,69.7984042
2.916064345,0.8578889304,0.8056002095,6.13874324,6.006181778,69.89168924
2.915568289,0.8578132646,0.8044950299,6.167883065,5.960026809,69.98170084
2.915065091,0.8577190813,0.803384921,6.197670325,5.914840021,70.06865845
2.914562667,0.8576014635,0.802261223,6.22771464,5.870512538,70.15277966
2.914068896,0.8574555944,0.8011152921,6.257626148,5.826935826,70.23428011
2.913591607,0.8572767643,0.7999384878,6.287015505,5.784001667,70.3133734
2.913138583,0.8570603767,0.7987221636,6.315493894,5.741602147,70.39027111
2.912717548,0.8568019515,0.7974576591,6.34267304,5.69962968,70.4651828
2.912309807,0.8564948885,0.7962098025,6.368737886,5.659378123,70.53904308
2.911896787,0.8561436421,0.7950313291,6.394368419,5.621866662,70.61215246
2.911486483,0.8557602954,0.7938958104,6.41991914,5.586575063,70.68376861
2.911087063,0.8553567796,0.7927773302,6.445744449,5.552981757,70.75315066
2.910706882,0.8549448681,0.7916504771,6.472198907,5.520563764,70.81955964
2.910354486,0.8545361787,0.790490331,6.499637554,5.488796703,70.88225882
2.910038609,0.8541421823,0.789272443,6.52841628,5.457154861,70.94051392
2.909768175,0.853774219,0.7879728083,6.558892252,5.425111353,70.99359313
2.909631312,0.8533057615,0.7863622192,6.587610955,5.388115121,71.04818768
2.909667686,0.8526565485,0.7843317949,6.61219918,5.344050053,71.10864316
2.90981402,0.8519058612,0.7820400774,6.634642568,5.296049206,71.17071812
2.910007511,0.8511310582,0.7796478883,6.656936268,5.247255895,71.23017954
2.910185832,0.8504075021,0.7773183248,6.681086699,5.200823129,71.28280212
2.910287158,0.8498085334,0.7752168202,6.709111746,5.159913571,71.32436807
