T1P1T09_inf_data.tx,T1P1T09_inf_data.ty,T1P1T09_inf_data.tz,T1P1T09_inf_data.rx,T1P1T09_inf_data.ry,T1P1T09_inf_data.rz
4.698139264,0.1661468071,-1.524498309,18.7654459,-50.91030548,49.97482084
4.697829075,0.1661504726,-1.524274417,18.77296891,-50.90134416,49.958333
4.696914941,0.1661612747,-1.523614602,18.79513936,-50.87493499,49.90955126
4.695421512,0.1661789222,-1.522536657,18.8313594,-50.83179012,49.82949828
4.69337344,0.1662031238,-1.521058375,18.88103117,-50.77262171,49.71919673
4.690795376,0.1662335882,-1.519197549,18.94355682,-50.69814192,49.57966927
4.687711969,0.1662700241,-1.516971971,19.0183385,-50.6090629,49.41193856
4.684147872,0.1663121402,-1.514399434,19.10477834,-50.50609681,49.21702727
4.680127735,0.1663596453,-1.511497731,19.2022785,-50.38995581,48.99595806
4.675676209,0.166412248,-1.508284655,19.31024112,-50.26135206,48.74975361
4.670817944,0.166469657,-1.504777998,19.42806834,-50.12099771,48.47943656
4.665577591,0.1665315811,-1.500995553,19.55516232,-49.96960491,48.18602959
4.659979802,0.1665977289,-1.496955113,19.69092519,-49.80788584,47.87055536
4.654049227,0.1666678091,-1.492674471,19.8347591,-49.63655264,47.53403654
4.647810516,0.1667415306,-1.48817142,19.98606619,-49.45631748,47.17749578
4.641288321,0.1668186019,-1.483463751,20.14424862,-49.2678925,46.80195576
4.634507292,0.1668987317,-1.478569259,20.30870852,-49.07198987,46.40843913
4.627492081,0.1669816289,-1.473505735,20.47884804,-48.86932175,45.99796857
4.620267338,0.1670670021,-1.468290973,20.65406933,-48.66060029,45.57156674
4.612857714,0.1671545599,-1.462942765,20.83377453,-48.44653765,45.13025629
4.605287859,0.1672440112,-1.457478905,21.01736579,-48.22784599,44.6750599
4.597582425,0.1673350645,-1.451917184,21.20424524,-48.00523746,44.20700022
4.589766062,0.1674274287,-1.446275395,21.39381505,-47.77942422,43.72709993
4.581863422,0.1675208124,-1.440571332,21.58547735,-47.55111843,43.23638169
4.573899154,0.1676149244,-1.434822787,21.77863428,-47.32103225,42.73586816
4.56589791,0.1677094733,-1.429047553,21.972688,-47.08987783,42.22658201
4.557884341,0.1678041678,-1.423263423,22.16704064,-46.85836733,41.70954589
4.549883097,0.1678987167,-1.417488188,22.36109436,-46.62721291,41.18578248
4.541918829,0.1679928286,-1.411739644,22.55425129,-46.39712673,40.65631444
4.534016188,0.1680862123,-1.40603558,22.74591359,-46.16882094,40.12216444
4.526199826,0.1681785765,-1.400393792,22.93548339,-45.9430077,39.58435513
4.518494392,0.1682696299,-1.394832071,23.12236285,-45.72039917,39.04390918
4.510924537,0.1683590812,-1.38936821,23.3059541,-45.50170751,38.50184925
4.503514913,0.168446639,-1.384020002,23.4856593,-45.28764487,37.95919802
4.496290169,0.1685320122,-1.37880524,23.66088059,-45.07892341,37.41697814
4.489274958,0.1686149093,-1.373741717,23.83102012,-44.87625528,36.87621228
4.48249393,0.1686950392,-1.368847224,23.99548002,-44.68035266,36.33792311
4.475971735,0.1687721105,-1.364139556,24.15366244,-44.49192768,35.80313328
4.469733024,0.1688458319,-1.359636504,24.30496954,-44.31169252,35.27286546
4.463802449,0.1689159122,-1.355355862,24.44880345,-44.14035932,34.74814232
4.458204659,0.16898206,-1.351315423,24.58456632,-43.97864024,34.22998652
4.452964307,0.1690439841,-1.347532978,24.71166029,-43.82724745,33.71942072
4.448106042,0.1691013931,-1.344026321,24.82948751,-43.6868931,33.21746759
4.443654515,0.1691539958,-1.340813245,24.93745013,-43.55828935,32.7251498
4.439634378,0.1692015008,-1.337911542,25.03495029,-43.44214835,32.24349
4.436070281,0.1692436169,-1.335339005,25.12139014,-43.33918226,31.77351086
4.432986875,0.1692800529,-1.333113427,25.19617181,-43.25010324,31.31623505
4.430408811,0.1693105173,-1.3312526,25.25869747,-43.17562344,30.87268523
4.428360739,0.1693347189,-1.329774318,25.30836924,-43.11645503,30.44388406
4.42686731,0.1693523664,-1.328696373,25.34458928,-43.07331017,30.03085421
4.425953176,0.1693631685,-1.328036558,25.36675973,-43.046901,29.63461835
4.425642986,0.1693668339,-1.327812666,25.37428274,-43.03793968,29.25619913
4.425771461,0.1692291068,-1.328317884,25.36570619,-43.0598206,28.88186309
4.426145788,0.1688252333,-1.329779183,25.34077812,-43.12326433,28.49866436
4.426749321,0.1681691754,-1.332115032,25.3007009,-43.2249724,28.10880702
4.427565413,0.167274895,-1.335243898,25.24667688,-43.36164628,27.71449512
4.428577418,0.1661563538,-1.339084251,25.17990842,-43.5299875,27.31793276
4.42976869,0.1648275139,-1.343554558,25.10159789,-43.72669754,26.92132398
4.431122582,0.1633023371,-1.348573287,25.01294764,-43.94847791,26.52687287
4.432622448,0.1615947853,-1.354058907,24.91516004,-44.19203011,26.13678349
4.434251642,0.1597188204,-1.359929887,24.80943746,-44.45405564,25.75325991
4.435993517,0.1576884043,-1.366104694,24.69698224,-44.73125599,25.37850621
4.437831427,0.1555174988,-1.372501797,24.57899675,-45.02033268,25.01472645
4.439748726,0.1532200658,-1.379039664,24.45668335,-45.31798719,24.66412471
4.441728767,0.1508100673,-1.385636763,24.33124441,-45.62092103,24.32890505
4.443754903,0.1483014651,-1.392211562,24.20388228,-45.92583571,24.01127154
4.44581049,0.1457082211,-1.398682531,24.07579932,-46.22943271,23.71342825
4.44787888,0.1430442973,-1.404968137,23.9481979,-46.52841355,23.43757926
4.449943426,0.1403236554,-1.410986848,23.82228038,-46.81947972,23.18592864
4.451987483,0.1375602574,-1.416657132,23.69924912,-47.09933272,22.96068044
4.453994404,0.1347680651,-1.421897459,23.58030648,-47.36467406,22.76403876
4.455947544,0.1319610405,-1.426626296,23.46665482,-47.61220523,22.59820764
4.457830254,0.1291531455,-1.430762112,23.3594965,-47.83862773,22.46539117
4.45962589,0.1263583418,-1.434223374,23.26003388,-48.04064307,22.36779342
4.461317804,0.1235905915,-1.436928551,23.16946933,-48.21495274,22.30761844
4.462889351,0.1208638564,-1.438796112,23.0890052,-48.35825825,22.28707033
4.464421731,0.1179822263,-1.440161582,23.0184839,-48.47927578,22.29048541
4.46600252,0.1147661366,-1.441417876,22.95632693,-48.58930515,22.30083247
4.467624633,0.1112540674,-1.442569541,22.90160533,-48.68892325,22.31826423
4.469280987,0.1074844991,-1.443621128,22.85339011,-48.77870699,22.34293339
4.470964497,0.1034959119,-1.444577185,22.81075232,-48.85923327,22.37499267
4.472668078,0.09932678588,-1.44544226,22.77276297,-48.93107899,22.41459478
4.474384648,0.09501560138,-1.446220905,22.73849311,-48.99482106,22.46189244
4.476107121,0.0906008386,-1.446917666,22.70701375,-49.05103638,22.51703837
4.477828414,0.08612097776,-1.447537094,22.67739593,-49.10030186,22.58018527
4.479541442,0.08161449908,-1.448083737,22.64871068,-49.1431944,22.65148586
4.481239121,0.07711988278,-1.448562144,22.62002902,-49.1802909,22.73109286
4.482914368,0.07267560909,-1.448976865,22.59042198,-49.21216827,22.81915898
4.484560098,0.06832015823,-1.449332448,22.5589606,-49.23940341,22.91583693
4.486169226,0.06409201043,-1.449633443,22.5247159,-49.26257323,23.02127943
4.487734669,0.0600296459,-1.449884399,22.48675891,-49.28225462,23.13563918
