C2P1T04_inf_data.tx,C2P1T04_inf_data.ty,C2P1T04_inf_data.tz,C2P1T04_inf_data.rx,C2P1T04_inf_data.ry,C2P1T04_inf_data.rz
2.896437811,0.8693929923,0.8511898467,4.736687406,7.124779982,65.59608216
2.896148987,0.8695434624,0.8497937925,4.841398691,7.10869674,65.56622299
2.895869228,0.8696885939,0.8484804919,4.942455596,7.09311542,65.53749213
2.895597979,0.8698291361,0.8472521383,5.039806948,7.078033582,65.5098877
2.895334686,0.8699658362,0.8461109455,5.133401774,7.063449122,65.48340799
2.895078795,0.8700994402,0.8450591475,5.2231893,7.049360282,65.45805144
2.894831032,0.8702285249,0.8440827024,5.309415151,7.035713198,65.43376291
2.894592727,0.8703506967,0.8431633504,5.392365045,7.022433993,65.41048646
2.894364239,0.8704652504,0.8422970271,5.472048639,7.009491445,65.38821941
2.894145926,0.8705714855,0.8414796856,5.548475788,6.996854726,65.36695915
2.893938151,0.8706687043,0.8407072971,5.62165654,6.984493401,65.34670314
2.893741278,0.8707562106,0.8399758516,5.691601128,6.972377425,65.32744895
2.89355451,0.8708329969,0.8392978661,5.757970337,6.960434182,65.30925102
2.893376792,0.8708995788,0.8386812973,5.820602913,6.948642914,65.29212339
2.893208125,0.8709575208,0.8381153629,5.879776434,6.937052602,65.27600364
2.893048535,0.8710083561,0.8375893484,5.935768822,6.925713402,65.26083013
2.892898077,0.8710535861,0.8370926016,5.988858323,6.91467655,65.24654189
2.892756834,0.8710946814,0.8366145266,6.03932349,6.903994266,65.23307859
2.892621014,0.8711317849,0.8361913044,6.08611652,6.893591228,65.22062192
2.892488282,0.8711641771,0.8358502936,6.12846577,6.883378353,65.2093067
2.89236096,0.8711919633,0.8355677883,6.167064715,6.873389341,65.19900381
2.892241433,0.8712151849,0.8353201817,6.202607413,6.8636596,65.18958544
2.892132139,0.871233821,0.8350839535,6.235788443,6.854226015,65.18092493
2.892035568,0.8712477919,0.8348356597,6.267302863,6.845126766,65.17289659
2.89191983,0.8712934897,0.8347486513,6.29507773,6.837121631,65.16551093
2.891766658,0.8713892429,0.8349306301,6.317445648,6.830539777,65.15888626
2.891599049,0.8715078395,0.8352597778,6.335710834,6.824775855,65.15305885
2.891440114,0.8716219649,0.8356143882,6.351178186,6.819226665,65.14806454
2.891313112,0.8717041385,0.8358728915,6.365153247,6.813291108,65.14393901
2.891241434,0.8717267331,0.8359138355,6.378942106,6.806369867,65.14071777
2.891224993,0.8716991029,0.8358560104,6.386080259,6.79991359,65.13915461
2.891242279,0.8716504441,0.8358664505,6.382388532,6.795098632,65.13956966
2.891284736,0.8715826911,0.8358962586,6.37260275,6.790917401,65.14135119
2.891343899,0.8714976776,0.8358966159,6.361459836,6.786363451,65.14389004
2.891411337,0.8713972077,0.8358187065,6.353697265,6.780430182,65.14657796
2.89147864,0.8712830722,0.8356136978,6.354053005,6.77211061,65.1488072
2.891567278,0.871151868,0.8352821105,6.355944876,6.762509644,65.15196831
2.891698337,0.8710012184,0.8348667922,6.350946441,6.753302367,65.1575004
2.891862877,0.8708343689,0.8343824578,6.341030594,6.744337815,65.1648708
2.892051965,0.870654554,0.8338438229,6.328170827,6.735465063,65.17354762
2.892256625,0.8704650558,0.8332655391,6.314340887,6.726532422,65.18299842
2.892467824,0.8702692374,0.8326621565,6.301514569,6.717386985,65.19268945
2.892676467,0.8700705496,0.8320481128,6.291665656,6.707874504,65.20208547
2.89287341,0.8698725117,0.831437749,6.286767994,6.697839608,65.21065016
2.89304949,0.8696786669,0.8308453522,6.288795717,6.687126363,65.21784714
2.893195583,0.8694925113,0.830285225,6.299723606,6.675579169,65.22314152
2.893302662,0.869317397,0.8297717819,6.321527581,6.663044005,65.2260021
2.893400677,0.8691950432,0.8293834696,6.352170556,6.652558323,65.2282258
2.89351738,0.8691370639,0.8291308019,6.387653382,6.645624262,65.23143219
2.893640524,0.8691016139,0.8289264742,6.427010428,6.639787959,65.23482578
2.893757744,0.8690470428,0.8286832733,6.469276352,6.632597484,65.23760646
2.893856518,0.8689319331,0.8283140802,6.51348629,6.621603101,65.23896834
2.893924176,0.8687151714,0.8277317912,6.558676527,6.604357055,65.23809932
2.893972801,0.8683648199,0.8269100208,6.616652923,6.579996655,65.23514324
2.89402158,0.8679056358,0.8259269946,6.693739006,6.550605141,65.2310203
