frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz
11,8.015477212,2.483859468,-0.5208673214,8.195178511,2.633530685,-0.6288566497,8.028602438,2.61090329,-0.6445911265,7.867719174,2.22863111,-0.2602068761,7.882759133,2.265999494,-0.4891557509,7.326828353,1.828876386,-0.1442409436,7.87200968,2.335873085,-0.7637477554,7.962199865,2.347081455,-0.5078060955,8.028884824,2.364523622,-0.3890492452,8.257258873,2.466280312,-0.2472609538,8.340437867,2.505495885,-0.1061393618,8.395673197,2.548040498,-0.2609734955,8.386224306,2.657300513,-0.5802841414,8.454559743,2.524331674,-0.03713407906,8.428634926,2.712521754,-0.9025560558
12,8.010510912,2.485191777,-0.5147978903,8.190086816,2.634987896,-0.6227059767,8.024008971,2.611899093,-0.6385927823,7.862357128,2.230093844,-0.2535102592,7.878656356,2.267309604,-0.4810469585,7.322068231,1.829963158,-0.1383589917,7.867157996,2.33708171,-0.7577857051,7.95651551,2.347776228,-0.5024475576,8.023815237,2.365817606,-0.3827071591,8.252230936,2.46805751,-0.241028225,8.335469374,2.507251699,-0.099971595,8.390444434,2.549979299,-0.2546041161,8.38142648,2.658907398,-0.5739831098,8.448247295,2.526184287,-0.03067534298,8.423385247,2.713589521,-0.8958354947
13,8.00555533,2.486578228,-0.5087321744,8.185015175,2.636498284,-0.6165558779,8.019365673,2.612991768,-0.6325829168,7.857039344,2.23159934,-0.2468053292,7.874491795,2.268676055,-0.4731432242,7.317306837,1.831128658,-0.1324742479,7.862339499,2.338359209,-0.7518258826,7.950835353,2.348560323,-0.49706896,8.018766393,2.367179879,-0.3763951922,8.247210891,2.469876028,-0.2347998057,8.330469709,2.509078995,-0.09377651469,8.385228526,2.551956549,-0.2482480407,8.376643674,2.660551815,-0.5676805687,8.441920808,2.528087463,-0.02423419713,8.418179812,2.714751366,-0.8891557165
14,8.000609144,2.488014011,-0.5026719936,8.179961637,2.638056745,-0.6104086765,8.01467781,2.614171891,-0.6265650285,7.851762917,2.233144857,-0.2401034207,7.870268294,2.270093017,-0.4654342086,7.312544129,1.83236609,-0.126588623,7.857550759,2.339697984,-0.7458695966,7.945168455,2.349432204,-0.4916664075,8.013735936,2.368604345,-0.3701138373,8.242197766,2.471731004,-0.2285774323,8.325440578,2.510968938,-0.08756025504,8.380024651,2.553968064,-0.2419072329,8.371875387,2.662227003,-0.5613801612,8.435588227,2.53003356,-0.01781245215,8.413016256,2.715999492,-0.8825166944
15,7.995671059,2.489494317,-0.4966191752,8.174924281,2.639658175,-0.6042667037,8.009950685,2.615430051,-0.6205426144,7.846524987,2.234727644,-0.2334158761,7.865988713,2.271554643,-0.4579095744,7.307780094,1.833668663,-0.1207040324,7.852788378,2.341090438,-0.7399181667,7.939523876,2.350390367,-0.486235996,8.008721534,2.370084905,-0.3638635969,8.237190614,2.473617576,-0.2223628449,8.320383734,2.5129127,-0.08132895002,8.374832012,2.556009663,-0.235583659,8.367121155,2.663926204,-0.5550855325,8.429257534,2.532014955,-0.01141190027,8.407892247,2.717326098,-0.8759184142
16,7.990739808,2.49101434,-0.4905755549,8.169901215,2.641297471,-0.5981323,8.00518964,2.616756851,-0.6145191694,7.841322742,2.236344944,-0.2267540471,7.861655922,2.273055074,-0.4505589865,7.303014747,1.835029593,-0.1148223962,7.848048986,2.342528972,-0.7339729239,7.933910681,2.351433349,-0.4807738137,8.003720886,2.371615461,-0.357644984,8.232188521,2.475530889,-0.2161577886,8.315300977,2.514901461,-0.07508873336,8.369649847,2.558077166,-0.2292792893,8.362380553,2.665642662,-0.5488003308,8.422936746,2.534024056,-0.005034315415,8.402805483,2.718723385,-0.8693608743
17,7.985814153,2.492569278,-0.4845429783,8.164890579,2.642969535,-0.5920078164,8.000400057,2.618142912,-0.6084981854,7.836153418,2.237993991,-0.2201292965,7.857272808,2.274588451,-0.4433721127,7.298248137,1.836442104,-0.1089456401,7.843329252,2.344005987,-0.7280352117,7.928337936,2.35255973,-0.4752759414,7.998731723,2.373189913,-0.3514585229,8.227190602,2.477466089,-0.2099640144,8.310194153,2.51692641,-0.06884573863,8.364477421,2.5601664,-0.2229961001,8.357653194,2.667369623,-0.5425282086,8.416633922,2.536053293,0.001318546826,8.397753693,2.720183547,-0.8628440869
18,7.980892888,2.494154334,-0.4785233014,8.159890547,2.644669271,-0.5858956155,7.99558736,2.61957887,-0.602483151,7.831014301,2.239672008,-0.2135530001,7.852842267,2.276148913,-0.4363386237,7.293480344,1.837899426,-0.1030756946,7.838625874,2.345513886,-0.7221063864,7.922814711,2.353768128,-0.4697384529,7.993751803,2.374802166,-0.34530475,8.222196006,2.479418332,-0.2037832807,8.30506516,2.518978744,-0.06260609917,8.359314034,2.562273194,-0.2167360745,8.352938734,2.669100339,-0.5362728231,8.410357157,2.538095127,0.00764494916,8.392734641,2.721698786,-0.856368078
19,7.975974836,2.495764719,-0.472518392,8.154899324,2.646391588,-0.5797980723,7.990757017,2.621055383,-0.5964775505,7.82590273,2.24137621,-0.2070365473,7.848367206,2.277730606,-0.4294481934,7.288711482,1.839394802,-0.09721449595,7.833935588,2.347045074,-0.7161878176,7.917350081,2.35505721,-0.4641574154,7.988778917,2.376446125,-0.3391842144,8.217203912,2.481382778,-0.197617354,8.299915946,2.521049672,-0.05637594811,8.354159018,2.564393389,-0.2105012035,8.348236866,2.670828067,-0.5300378378,8.404114588,2.540142051,0.01394317256,8.387746125,2.723261301,-0.8499328877
20,7.97105885,2.497395648,-0.4665301299,8.14991515,2.6481314,-0.5737175755,7.98591454,2.622563127,-0.5904848634,7.820816095,2.243103801,-0.2005913431,7.843850546,2.279327687,-0.4226904992,7.2839417,1.840921482,-0.09136398582,7.829255166,2.348591961,-0.7102808891,7.911953125,2.356425687,-0.4585288898,7.98381089,2.378115703,-0.3330974787,8.212213534,2.483354598,-0.1914680102,8.294748513,2.523130412,-0.05016141829,8.349011739,2.56652283,-0.2042934876,8.343547328,2.672546068,-0.5238269225,8.39791439,2.542186588,0.02021151625,8.382785978,2.724863299,-0.843538571
21,7.966143818,2.49904235,-0.4605604082,8.1449363,2.649883631,-0.5676565276,7.981065485,2.6240928,-0.5845085641,7.815751841,2.244851976,-0.1942288083,7.839295216,2.28093433,-0.4160552217,7.279171183,1.842472731,-0.0855261115,7.824581415,2.350146958,-0.7043869989,7.906632929,2.357872318,-0.452848931,7.978845575,2.379804817,-0.3270451192,8.207224118,2.485328971,-0.1853370351,8.289564913,2.525212197,-0.04396864223,8.343871594,2.568657374,-0.198114937,8.3388699,2.674247612,-0.5176437546,8.391764779,2.544221294,0.02644829763,8.377852068,2.72649699,-0.8371851975
22,7.961236034,2.500687589,-0.45461876,8.139980445,2.651635933,-0.56161672,7.97617055,2.625664068,-0.5785378784,7.810719597,2.246604128,-0.1878831731,7.834655678,2.282532377,-0.4097174322,7.274386936,1.844063046,-0.07970500628,7.819936194,2.351706395,-0.6985259173,7.901322704,2.359414219,-0.4471570052,7.973888826,2.381504814,-0.3210582211,8.202224848,2.487278912,-0.1792392663,8.284344671,2.527301005,-0.0377807284,8.338747266,2.57078443,-0.1919796897,8.334178006,2.675929062,-0.5114756961,8.385634525,2.546197868,0.03262033493,8.372987818,2.728171852,-0.8309058716
23,7.956345601,2.502423077,-0.4486758891,8.135065237,2.653485791,-0.5555620998,7.97120145,2.627397998,-0.5725283305,7.80573392,2.248451236,-0.1814663325,7.829905554,2.284211697,-0.4037759195,7.269590312,1.845800489,-0.07386962236,7.81534626,2.353370879,-0.6926765661,7.895974862,2.36116473,-0.4414497656,7.968951182,2.383314936,-0.3151233108,8.197211984,2.489293607,-0.1731475814,8.279073277,2.52951397,-0.03154424772,8.333647864,2.573004672,-0.1858593465,8.329456397,2.67769656,-0.5052747996,8.379496568,2.548193864,0.03874180834,8.368229837,2.730004422,-0.8246869544
24,7.951472791,2.504329054,-0.4427022488,8.130185617,2.655512879,-0.5494656551,7.96617666,2.629359179,-0.5664593584,7.800794118,2.250474295,-0.1749828782,7.825070033,2.286051367,-0.398132601,7.264793848,1.847746429,-0.06799403783,7.810808663,2.355212911,-0.6868055435,7.890621517,2.363189204,-0.4356858373,7.964032638,2.385312064,-0.3092012924,8.192192296,2.491460901,-0.1670288756,8.273759817,2.531926238,-0.02523887282,8.328571127,2.575400856,-0.1797206637,8.324719063,2.679625941,-0.4990200102,8.37336396,2.550306575,0.0448532619,8.363561859,2.732065771,-0.818486779
25,7.946611905,2.506366826,-0.4367096585,8.125332136,2.6576756,-0.5433424306,7.961109758,2.631493656,-0.5603512456,7.795891629,2.252636433,-0.1684787819,7.820165054,2.288013403,-0.3927307643,7.259996594,1.849852411,-0.0620914139,7.806310216,2.357189445,-0.6809204681,7.885286601,2.365435055,-0.4298653354,7.959126341,2.387453303,-0.3032950856,8.187168489,2.493744573,-0.1608932973,8.268411108,2.534486908,-0.01888793808,8.323511978,2.577929553,-0.1735743277,8.319976405,2.681668472,-0.4927336635,8.367248247,2.552505345,0.05095089032,8.358962344,2.734303259,-0.8123072368
26,7.941757467,2.508497792,-0.4307099058,8.120495589,2.659932441,-0.5372074478,7.956014604,2.633747604,-0.5542241824,7.791018212,2.254900821,-0.1619999835,7.815206622,2.290060028,-0.387513612,7.25519785,1.852070087,-0.05617484151,7.801837953,2.35925751,-0.6750289405,7.879994268,2.367849893,-0.4239882471,7.954225655,2.38969586,-0.2974075733,8.182143495,2.496108527,-0.1547509412,8.263034265,2.537145199,-0.01251469505,8.318465588,2.580547438,-0.1674309818,8.31523911,2.683775535,-0.4864380143,8.361161173,2.55475969,0.05703097371,8.354409989,2.736664315,-0.8061502206
27,7.936904245,2.510683451,-0.4247147493,8.115667033,2.662241973,-0.5310757085,7.950905359,2.636067334,-0.5480982619,7.786165962,2.257230676,-0.1555923949,7.810210799,2.292153696,-0.3824242604,7.25039718,1.854351222,-0.05025733949,7.797379147,2.361374219,-0.6691385472,7.874768905,2.37038154,-0.4180544271,7.949324173,2.391997054,-0.2915416035,8.177120484,2.498516788,-0.1486118501,8.257636717,2.539850455,-0.006142310121,8.31342739,2.583211289,-0.1613012291,8.310518161,2.68589863,-0.480155236,8.355114691,2.557039309,0.06308987453,8.349883748,2.739096429,-0.8000176278
28,7.932047254,2.512885405,-0.4187359211,8.110837794,2.664562853,-0.5249621978,7.945796499,2.638399297,-0.5419934767,7.781327325,2.259589253,-0.1493019025,7.805193702,2.294257114,-0.3774057387,7.245594427,1.856647696,-0.04435185344,7.792921317,2.363496761,-0.663256863,7.869635154,2.372978029,-0.4120635954,7.944415725,2.394314314,-0.2856999914,8.17210287,2.500933515,-0.1424860172,8.252226223,2.542552147,0.0002061369209,8.30839309,2.585878,-0.1551956344,8.305824851,2.68798938,-0.4739074205,8.349120966,2.55931409,0.06912403387,8.34536284,2.741547161,-0.7939113646
29,7.927181767,2.515065361,-0.4127851291,8.105999476,2.666853829,-0.5188818863,7.940702819,2.640690092,-0.5359297181,7.776495102,2.261939848,-0.1431743699,7.800171502,2.296333257,-0.37240099,7.240789716,1.858911509,-0.03847125536,7.788452236,2.365582416,-0.6573914541,7.864617917,2.375587608,-0.4060153369,7.939494386,2.396605192,-0.279885521,8.167094321,2.503323003,-0.1363833887,8.246810874,2.545199884,0.00650765343,8.303358673,2.588504575,-0.1491247265,8.301170783,2.689999534,-0.4677165797,8.343192381,2.561554109,0.07512996707,8.340826758,2.74396414,-0.7878333479
30,7.922303309,2.517185136,-0.4068740595,8.101143958,2.669073743,-0.5128497331,7.935639434,2.642886465,-0.5299267748,7.771662448,2.264245795,-0.1372556405,7.795160417,2.298345384,-0.3673528731,7.235983452,1.861094785,-0.03262834412,7.783959923,2.36758855,-0.6515498799,7.85974236,2.378158736,-0.3999091031,7.93455447,2.398827364,-0.2741009469,8.162098753,2.505649684,-0.1303138667,8.24139909,2.547743407,0.01273933347,8.298320396,2.591048142,-0.1430990007,8.296567869,2.691880964,-0.4616046472,8.337341528,2.563729638,0.08110425865,8.336255262,2.746295073,-0.7817855069
31,7.917407654,2.519206666,-0.4010143789,8.096263385,2.671181534,-0.5068806873,7.930621768,2.644935312,-0.5240043353,7.766822864,2.266470469,-0.1315915403,7.790176703,2.300257046,-0.3622041657,7.231176316,1.863149773,-0.02683584665,7.779432643,2.36947263,-0.6457396951,7.855033907,2.380640083,-0.3937442157,7.929590524,2.400938637,-0.2683489963,8.157120323,2.507878134,-0.1242873126,8.235999613,2.550132601,0.01887835635,8.293274783,2.593465947,-0.1371289213,8.292028314,2.693585672,-0.4555934822,8.331581208,2.565811138,0.08704355654,8.331628376,2.748487756,-0.775769784
32,7.912490814,2.521092003,-0.3952177365,8.09135016,2.673136246,-0.5009896898,7.925665536,2.646783677,-0.5181819893,7.761970182,2.268577294,-0.1262278801,7.78523665,2.302032093,-0.3568975683,7.226369247,1.865028855,-0.02110642015,7.774858892,2.371192222,-0.639968451,7.850518235,2.382980514,-0.3875198721,7.924597317,2.402896958,-0.2626323709,8.152163424,2.509973074,-0.1183135508,8.230621489,2.552317488,0.02490198415,8.28821861,2.595715369,-0.131224924,8.287564602,2.69506578,-0.4497048728,8.325924418,2.567769263,0.09294456546,8.326926369,2.750490075,-0.769788135
33,7.907555813,2.522805617,-0.389497697,8.086405981,2.674894876,-0.4951933107,7.920772243,2.648392371,-0.5124507105,7.75714562,2.270519615,-0.1212608672,7.780290268,2.303633256,-0.3515503252,7.221560622,1.866709532,-0.01545421579,7.770232233,2.372719052,-0.6342469844,7.846316895,2.385226059,-0.3811340455,7.919575075,2.404668842,-0.2569842255,8.147236744,2.511864429,-0.1124020646,8.225250655,2.554240244,0.03079209815,8.283160451,2.597731844,-0.1254198898,8.283285882,2.696186538,-0.4439748143,8.320398911,2.569545609,0.09878522139,8.322185673,2.75228505,-0.7638777048
34,7.902601142,2.524417965,-0.3838276113,8.081431903,2.676527231,-0.4894612404,7.915917629,2.64984647,-0.5067587658,7.752375962,2.272352968,-0.116677543,7.775278602,2.305127606,-0.3462819049,7.216739756,1.868276377,-0.009862294814,7.765555031,2.374134409,-0.628553202,7.842471044,2.387512895,-0.374499885,7.914523423,2.406330484,-0.2514011807,8.142331064,2.513595135,-0.1065240325,8.219857223,2.555968163,0.03658683251,8.278098586,2.599570832,-0.1196975421,8.279244919,2.696965931,-0.4383753429,8.314996938,2.571188404,0.1045828252,8.317444249,2.753976828,-0.758033923
35,7.897623297,2.526018147,-0.3781735454,8.076426221,2.678128745,-0.4837549335,7.911085508,2.651246736,-0.5010772637,7.74764193,2.274163934,-0.1123721923,7.770211509,2.306604124,-0.3410508793,7.211902617,1.869813662,-0.004302948082,7.760834457,2.375527014,-0.6228582568,7.838893053,2.389893111,-0.3676528753,7.909444151,2.407973179,-0.2458452047,8.137432928,2.515268738,-0.1006479948,8.214436511,2.557609011,0.04233096386,8.273023401,2.601338782,-0.1140121506,8.275376741,2.697552272,-0.4328506544,8.309688678,2.572798527,0.1103755098,8.312689896,2.755660163,-0.752215079
36,7.892627765,2.527594489,-0.3725412925,8.071396389,2.679691712,-0.4780788362,7.90626837,2.652592269,-0.4954180955,7.742933917,2.275941485,-0.1082752704,7.765106104,2.308052471,-0.3358525221,7.207052327,1.871313784,0.001224745597,7.756082093,2.37688459,-0.6171704443,7.835503271,2.392318339,-0.3606667545,7.904348521,2.409588138,-0.2403173397,8.132541249,2.516887355,-0.0947851062,8.2089984,2.559169305,0.04802548694,8.267938311,2.603039344,-0.1083628559,8.271626257,2.697989002,-0.427390782,8.304459927,2.574375027,0.1161563089,8.307916963,2.757322653,-0.7464260736
37,7.887620123,2.529135312,-0.366936452,8.066349937,2.681208423,-0.4724371994,7.901458794,2.653882122,-0.489793009,7.738242185,2.277674652,-0.1043170915,7.759979556,2.309462335,-0.3306818838,7.202192071,1.872769138,0.006721876012,7.751309617,2.378194864,-0.6114978495,7.832222413,2.394739925,-0.3536152617,7.899247865,2.411166578,-0.2348184233,8.127655018,2.518453067,-0.08894636841,8.203552806,2.560655571,0.05367157965,8.262846769,2.604676163,-0.1027486338,8.267938302,2.698319444,-0.4219858136,8.299296554,2.575916894,0.1219183887,8.303119888,2.758951862,-0.7406716417
38,7.882606037,2.53062892,-0.3613644305,8.061294474,2.68267116,-0.4668340785,7.896649442,2.655115295,-0.4842136109,7.733556854,2.279352525,-0.1004278317,7.754849084,2.310823424,-0.3255337905,7.197325094,1.874172117,0.01218970082,7.746528807,2.379445562,-0.6058483463,7.828971561,2.397108936,-0.3465721473,7.894153582,2.412699719,-0.2293490887,8.122773305,2.519967922,-0.08314263164,8.198109674,2.562074334,0.05927060321,8.257752265,2.606252873,-0.0971682963,8.26425765,2.698586807,-0.4166258993,8.294184498,2.577423054,0.1276550431,8.298293201,2.760535324,-0.7349563537
39,7.87759126,2.532063603,-0.3558304402,8.056237683,2.684072197,-0.4612733325,7.891833059,2.656290734,-0.4786913667,7.728867896,2.280964259,-0.09653752995,7.749731957,2.312125469,-0.320402843,7.192454701,1.875515108,0.01762964629,7.741751535,2.380624405,-0.6002295955,7.82567217,2.39937616,-0.339611173,7.889077139,2.414178785,-0.2239097646,8.117895254,2.521433931,-0.07738459555,8.192678981,2.563432122,0.06482410214,8.252658325,2.607773098,-0.09162049126,8.260529006,2.698834185,-0.4113012591,8.289109774,2.578892375,0.1333596899,8.293431517,2.762060535,-0.7292846143
40,7.87258163,2.533427637,-0.3503394964,8.051187321,2.685403799,-0.4557586216,7.887002474,2.657407336,-0.4732375998,7.724165131,2.282499083,-0.09257608591,7.744645491,2.313358224,-0.3152834141,7.187584254,1.876790496,0.02304330952,7.736989769,2.381719111,-0.5946490411,7.822246059,2.401492105,-0.3328061022,7.884030066,2.415595003,-0.218500673,8.11302009,2.522853068,-0.07168280913,8.187270735,2.564735464,0.07033380402,8.247568512,2.609240453,-0.08610370267,8.256697017,2.69910457,-0.4060021902,8.284058464,2.580323666,0.1390258693,8.288529536,2.763514962,-0.7236606588
41,7.867583067,2.534709287,-0.3448964132,8.046151215,2.686658224,-0.4502934034,7.882150599,2.658463945,-0.4678634889,7.719438231,2.283946328,-0.08847325501,7.73960705,2.31451147,-0.3101696455,7.182717175,1.877990668,0.02843246206,7.73225557,2.3827174,-0.5891139055,7.818615407,2.403406986,-0.3262306793,7.879023957,2.416939608,-0.213121827,8.108147111,2.524227271,-0.06604766989,8.181894974,2.565990893,0.07580161918,8.242486424,2.610658549,-0.08061624971,8.25270627,2.699440857,-0.400719073,8.279016723,2.581715684,0.1446472449,8.283582043,2.764886041,-0.7180885472
42,7.862601576,2.535896815,-0.3395057973,8.041137267,2.687827732,-0.444880929,7.877270421,2.659459356,-0.4625800643,7.714676724,2.285295457,-0.08415864118,7.734634043,2.315575031,-0.3050554438,7.177856939,1.879108022,0.03379905501,7.727561088,2.383606994,-0.5836311836,7.814702743,2.405070712,-0.3199586008,7.874070468,2.418203852,-0.2077730269,8.103275691,2.52555845,-0.06048942211,8.176561765,2.567204958,0.08122964005,8.237415696,2.612031004,-0.07515628564,8.248501295,2.699885863,-0.3954423775,8.273970773,2.583067139,0.1502176056,8.278583902,2.766161188,-0.712572156
43,7.857643239,2.536978482,-0.3341720406,8.036153445,2.688904593,-0.4395242362,7.872355009,2.660392326,-0.457398202,7.709870007,2.286536104,-0.07956168679,7.72974393,2.31653878,-0.2999344759,7.17300708,1.880134978,0.03914522543,7.722918566,2.384375627,-0.5782076355,7.810430933,2.406432865,-0.314063475,7.869181319,2.419379012,-0.2024538552,8.098405273,2.526848491,-0.0550181544,8.171281206,2.568384233,0.08662014035,8.232359997,2.61336145,-0.06972179631,8.244026572,2.700482336,-0.3901626689,8.268906906,2.584376707,0.1557308702,8.273530062,2.767327802,-0.7071151676
44,7.852712213,2.537958337,-0.3288932226,8.031198006,2.689892498,-0.4342219847,7.867412217,2.661255606,-0.4523420422,7.705050359,2.287671205,-0.07484490478,7.72495528,2.317399644,-0.294792049,7.168175727,1.881056043,0.04447736202,7.718331542,2.385004792,-0.5728219574,7.805889857,2.407513231,-0.3084870239,7.864323394,2.420449558,-0.1971791749,8.093565498,2.528094017,-0.04963239448,8.166053057,2.569495276,0.09195953058,8.227319317,2.614641531,-0.06432337196,8.239358408,2.701133758,-0.384924067,8.263884451,2.585631076,0.1611928802,8.268372034,2.768399946,-0.7017200021
