frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz
11,6.038809892,3.868376535,0.5285667443,6.206112997,3.807652823,0.4773076753,6.153731856,3.987776607,0.5701949925,5.514318508,2.95235981,0.3284814861,5.615762374,3.058574201,-0.07503244573,5.965438198,3.501924751,0.6328324678,6.057198272,3.603194371,-0.03943515685,6.076037552,3.775584228,1.011119763,6.009475689,3.574121539,0.7746396388,5.759303689,3.242223569,0.3261185314,5.793680871,3.271297382,-0.1257901612,5.722192225,3.218914631,0.9400655197,6.070243713,3.728330903,0.8984911612,5.758081325,3.205073961,-0.247378139,5.773690742,3.318425031,1.006533348,6.239300005,3.855476106,0.8471796531,6.373906729,4.037591587,0.833647253,6.460147816,4.032665521,0.7486266397
12,6.034266337,3.862835311,0.5287343088,6.201661003,3.80222825,0.4775811709,6.149127282,3.982354087,0.5702291451,5.509799657,2.946837375,0.3290669502,5.61116776,3.053041695,-0.07492898563,5.960913756,3.496640686,0.6330774496,6.052799134,3.598488483,-0.03898073345,6.071375228,3.769684888,1.010862622,6.00494886,3.568761206,0.7750584808,5.754576451,3.236773718,0.3266782428,5.78903511,3.265781062,-0.1250928767,5.717597518,3.213366304,0.940047293,6.066177792,3.723055489,0.898512388,5.753601516,3.19963093,-0.2470888511,5.769132291,3.313130858,1.0067045,6.234780404,3.84984913,0.8470367996,6.369278605,4.032137513,0.8334661073,6.454682585,4.027685549,0.7486979123
13,6.029710561,3.857311794,0.5289364998,6.197192945,3.796805178,0.4778787237,6.144517921,3.976949886,0.5703171932,5.505276469,2.941309392,0.3297196526,5.606578788,3.047508152,-0.07476718571,5.956381602,3.491368123,0.6333302759,6.048378783,3.593714831,-0.03851957997,6.06672274,3.763840632,1.010647352,6.000378311,3.56336682,0.7754345094,5.749849472,3.231309858,0.3272849169,5.784402439,3.260269374,-0.1244177204,5.712996514,3.207836414,0.9400808708,6.062115652,3.71774933,0.8985923467,5.74913312,3.194188762,-0.2467643513,5.764560547,3.307853486,1.006922581,6.230241744,3.844257234,0.8469808132,6.364647689,4.026690866,0.8333227087,6.449365855,4.022596569,0.7488258887
14,6.025144396,3.851802598,0.5291841235,6.192709714,3.791383194,0.4782129378,6.139904128,3.971559147,0.5704675302,5.500748231,2.935777402,0.3304351851,5.601994791,3.041970616,-0.07453788985,5.95183989,3.486102646,0.6336107275,6.043941154,3.588880217,-0.03803615609,6.062076108,3.758047179,1.010492275,5.995769924,3.557946864,0.7757928251,5.745124715,3.225837826,0.3279365189,5.779780653,3.254759102,-0.1237419208,5.708386812,3.202325777,0.9401769256,6.058049045,3.712420874,0.898737062,5.744677616,3.18874439,-0.2463943964,5.759973604,3.30258806,1.007195014,6.225683066,3.838695735,0.8470098002,6.360011855,4.02125194,0.8332286072,6.444174376,4.017421018,0.749017141
15,6.020570969,3.846305849,0.5294672521,6.188213349,3.78596381,0.4785746083,6.13528763,3.966178417,0.5706679586,5.496215499,2.930244984,0.3311857723,5.597414482,3.036430452,-0.0742552756,5.947288891,3.480840678,0.6339162347,6.039489229,3.583996005,-0.03753726342,6.057434877,3.752299176,1.010394411,5.991132259,3.552509935,0.7761364072,5.740405138,3.220365754,0.3286081226,5.775166514,3.249251786,-0.1230656969,5.703769737,3.196834151,0.9403234011,6.053972801,3.707078094,0.8989310161,5.740234972,3.183300138,-0.2459919567,5.75537349,3.297328359,1.007506814,6.221106155,3.833159917,0.8471002407,6.355371486,4.015821202,0.8331741126,6.439087042,4.012182027,0.7492566038
16,6.015993424,3.840819668,0.5297759379,6.183705904,3.780548529,0.4789545113,6.130670169,3.960804238,0.5709062619,5.491678857,2.924715706,0.3319436205,5.592836586,3.03088902,-0.07393353868,5.942728887,3.475578629,0.6342442101,6.035026001,3.579073549,-0.03702970922,6.052798603,3.746591267,1.010350755,5.986473886,3.547064614,0.7764682221,5.735693726,3.214901759,0.3292747883,5.770556805,3.243748947,-0.1223892858,5.699146631,3.191361291,0.9405082213,6.04988176,3.701728962,0.8991586695,5.735805174,3.177858321,-0.2455700204,5.75076225,3.292068162,1.007842982,6.216512811,3.827645065,0.8472285916,6.350726978,4.010399119,0.8331495156,6.434082756,4.006902722,0.7495292106
17,6.011414922,3.835342167,0.5301002146,6.179189449,3.775138846,0.4793434046,6.126053502,3.955433149,0.5711702068,5.487138914,2.919193122,0.3326809185,5.588259851,3.025347669,-0.07358689312,5.938160177,3.470312903,0.63459205,6.030554474,3.574124189,-0.0365203085,6.048166853,3.740918094,1.010358277,5.981803385,3.541619473,0.7767912229,5.730993485,3.209453949,0.3299115619,5.765948324,3.238252089,-0.1217129433,5.69451885,3.185906944,0.9407192913,6.045770778,3.69638144,0.89940446,5.731388226,3.172421241,-0.2451415936,5.746141951,3.286801233,1.008188501,6.211904854,3.822146463,0.8473712881,6.346078738,4.004986152,0.8331450887,6.429140429,4.00160621,0.7498198854
18,6.006826262,3.829887263,0.5304202743,6.174653618,3.769740983,0.479708623,6.12143295,3.950083646,0.5714496265,5.482597978,2.913674907,0.3334094835,5.583680908,3.019806529,-0.07320820902,5.933585469,3.465063604,0.6349010707,6.026055737,3.569119065,-0.03605709488,6.043563303,3.735324387,1.010388712,5.977090991,3.536152407,0.7770236782,5.726296397,3.204009598,0.3305359052,5.761346118,3.232780465,-0.121106977,5.689887591,3.180483745,0.9409397062,6.041676052,3.691008397,0.8996603326,5.727003663,3.166999032,-0.2447186868,5.741512845,3.281558494,1.008539155,6.207274338,3.816681936,0.8475261838,6.341428812,3.999590331,0.8331111505,6.424271612,3.996238296,0.7501161694
19,6.002215098,3.824461252,0.5307645617,6.170086677,3.764353544,0.4800733667,6.116799593,3.944766017,0.5717794097,5.478051258,2.90815363,0.3341955859,5.579096696,3.014257034,-0.07274631901,5.928999541,3.459842835,0.6351769373,6.021515964,3.56402572,-0.0356253796,6.038991865,3.729839482,1.010460966,5.972307176,3.530644912,0.7771543185,5.721590874,3.198551426,0.3312128983,5.75675375,3.227334109,-0.1205721555,5.685243393,3.175100589,0.9412054061,6.037612858,3.685590329,0.8999671203,5.722659636,3.16158524,-0.2442609246,5.736864173,3.276363948,1.008939087,6.202608662,3.811264976,0.847744169,6.336771234,3.994215229,0.8330615856,6.41949582,3.990750005,0.7504560189
20,5.997584704,3.819053368,0.5311664465,6.165493323,3.758969913,0.4804814582,6.112153723,3.939466865,0.5721863129,5.473494015,2.902628524,0.3350584114,5.574508912,3.00869502,-0.07218389972,5.924397025,3.454636275,0.6354815001,6.016947509,3.558858177,-0.0351698967,6.03443059,3.724432787,1.010612819,5.967467883,3.525110933,0.777260225,5.716879326,3.19308456,0.331955585,5.75216758,3.221894046,-0.1200380497,5.680580347,3.169749402,0.9415504621,6.033552176,3.680145581,0.9003521803,5.718340194,3.156166775,-0.2437368398,5.732190455,3.271198229,1.009413398,6.197909635,3.805884141,0.8480509418,6.332100918,3.988854804,0.8330526318,6.414809926,3.985173421,0.7508700017
21,5.992945136,3.813657364,0.5316099784,6.160884739,3.753589192,0.480924644,6.107502508,3.934177046,0.5726484057,5.468928922,2.897104521,0.3359593475,5.569921985,3.003128608,-0.0715612192,5.91978159,3.449432147,0.6358226077,6.012364244,3.553643611,-0.03468931582,6.029869787,3.719070909,1.010831264,5.962599393,3.51956493,0.7773652136,5.712170705,3.187620669,0.3327210174,5.747585557,3.216454889,-0.119490528,5.675905702,3.164419166,0.9419534709,6.029476186,3.674691366,0.900791345,5.714029855,3.150745917,-0.2431720003,5.727499799,3.266038168,1.009932761,6.193189375,3.800528174,0.8484207805,6.32742238,3.983503865,0.8330904394,6.410219556,3.979542969,0.7513376081
22,5.988306486,3.80826696,0.5320791401,6.156272142,3.748210456,0.4813946036,6.102853158,3.928887384,0.5731436933,5.464358713,2.891586504,0.3368597084,5.565340402,2.997565876,-0.07091861918,5.915156929,3.444218647,0.636208045,6.007780064,3.54840917,-0.03418236668,6.025299806,3.713720427,1.011103223,5.957728006,3.514021344,0.7774930388,5.707474024,3.18217137,0.3334661798,5.74300566,3.211011212,-0.1189155311,5.67122675,3.159098833,0.9423929636,6.02536711,3.669244864,0.9012603517,5.709713186,3.145324902,-0.2425920575,5.722800363,3.260860561,1.010467789,6.188460042,3.795185787,0.848827898,6.322740156,3.978157203,0.8331810893,6.405730372,3.973893043,0.7518382594
23,5.983678892,3.802875839,0.5325578511,6.15166679,3.742832743,0.4818829519,6.09821293,3.923588665,0.5736501202,5.45978619,2.886079294,0.3377207351,5.560768705,2.99201485,-0.07029651519,5.910526767,3.438983945,0.6366455373,6.003208894,3.543181967,-0.03364784332,6.020711036,3.70834789,1.011415545,5.952880028,3.5084946,0.7776673942,5.702798356,3.176748221,0.3341479892,5.738425897,3.205557556,-0.1182990711,5.666550828,3.153777315,0.9428474107,6.021207213,3.663823208,0.9017348397,5.705374806,3.139905919,-0.2420227482,5.718100361,3.255642158,1.010989048,6.183733847,3.789845657,0.849246448,6.318058807,3.972809591,0.8333305963,6.401348072,3.968257993,0.7523512968
