T1P1T09_hyoid_data.tx,T1P1T09_hyoid_data.ty,T1P1T09_hyoid_data.tz,T1P1T09_hyoid_data.rx,T1P1T09_hyoid_data.ry,T1P1T09_hyoid_data.rz
2.632442043,-0.4111387483,0.1349210851,-6.633627162,-23.79330944,34.06589672
2.632442043,-0.4111387483,0.1349210851,-6.633627162,-23.79330944,34.06589672
2.632657494,-0.4110274668,0.1340055627,-6.583495501,-23.81200056,34.05843463
2.633270701,-0.410700439,0.131363551,-6.438419669,-23.865871,34.03644589
2.634231945,-0.4101678902,0.1271518832,-6.206378395,-23.9516164,34.00052675
2.635491505,-0.4094400454,0.1215273928,-5.895350407,-24.06593238,33.9512735
2.636999662,-0.4085271297,0.1146469128,-5.513314432,-24.20551457,33.88928241
2.638706698,-0.4074393682,0.1066672767,-5.068249197,-24.36705862,33.81514975
2.640562891,-0.4061869862,0.09774531776,-4.568133432,-24.54726013,33.72947179
2.642518524,-0.4047802087,0.08803786917,-4.020945863,-24.74281475,33.63284481
2.644523876,-0.4032292608,0.07770176427,-3.434665219,-24.95041811,33.52586508
2.646529229,-0.4015443677,0.06689383633,-2.817270227,-25.16676582,33.40912887
2.648484861,-0.3997357545,0.05577091863,-2.176739615,-25.38855354,33.28323245
2.650341055,-0.3978136463,0.04448984447,-1.521052111,-25.61247687,33.1487721
2.652048091,-0.3957882683,0.03320744712,-0.8581864429,-25.83523147,33.00634409
2.653556248,-0.3936698455,0.02208055987,-0.1961213383,-26.05351294,32.8565447
2.654815808,-0.3914686032,0.01126601601,0.4571644749,-26.26401693,32.69997019
2.655777052,-0.3891947663,0.0009206488087,1.093692269,-26.46343907,32.53721684
2.656390258,-0.3868585602,-0.008798708442,1.705483316,-26.64847498,32.36888092
2.656605709,-0.3844702097,-0.01773522246,2.284558888,-26.81582029,32.19555871
2.656555953,-0.38200974,-0.0262801714,2.866453539,-26.97221824,32.0185679
2.656411194,-0.3794546164,-0.03492223085,3.489187275,-27.12672395,31.83882042
2.656178198,-0.3768112254,-0.04365066369,4.148509547,-27.27950093,31.65630385
2.65586373,-0.3740859532,-0.05245473278,4.840169805,-27.43071268,31.47100579
2.655474556,-0.3712851862,-0.06132370099,5.559917499,-27.58052269,31.28291382
2.655017441,-0.3684153105,-0.0702468312,6.30350208,-27.72909446,31.09201554
2.654499152,-0.3654827125,-0.07921338627,7.066672998,-27.87659149,30.89829854
2.653926452,-0.3624937786,-0.08821262908,7.845179704,-28.02317727,30.70175041
2.653306109,-0.3594548948,-0.0972338225,8.634771648,-28.16901532,30.50235874
2.652644887,-0.3563724477,-0.1062662294,9.431198281,-28.31426911,30.30011113
2.651949551,-0.3532528234,-0.1152991126,10.23020905,-28.45910216,30.09499515
2.651226869,-0.3501024083,-0.1243217351,11.02755341,-28.60367796,29.88699841
2.650483604,-0.3469275885,-0.1333233596,11.81898082,-28.74816,29.67610849
2.649726522,-0.3437347505,-0.1422932491,12.60024071,-28.89271179,29.46231299
2.648962389,-0.3405302806,-0.1512206664,13.36708254,-29.03749683,29.24559949
2.648197971,-0.3373205649,-0.1600948745,14.11525577,-29.1826786,29.0259556
2.647440032,-0.3341119898,-0.1689051361,14.84050983,-29.32842062,28.80336889
2.646695339,-0.3309109416,-0.1776407141,15.53859419,-29.47488637,28.57782696
2.645970657,-0.3277238065,-0.1862908714,16.20525829,-29.62223937,28.3493174
2.645272751,-0.324556971,-0.194844871,16.83625159,-29.77064309,28.1178278
2.644608387,-0.3214168211,-0.2032919755,17.42732353,-29.92026105,27.88334575
2.643984331,-0.3183097433,-0.211621448,17.97422356,-30.07125674,27.64585884
2.643407347,-0.3152421239,-0.2198225513,18.47270113,-30.22379365,27.40535467
2.642884201,-0.312220349,-0.2278845483,18.91850571,-30.3780353,27.16182083
2.64242166,-0.3092508051,-0.2357967018,19.30738672,-30.53414516,26.9152449
2.642026488,-0.3063398784,-0.2435482746,19.63509364,-30.69228676,26.66561448
2.64170545,-0.3034939551,-0.2511285298,19.8973759,-30.85262357,26.41291715
2.641465314,-0.3007194217,-0.2585267301,20.08998295,-31.0153191,26.15714052
2.641312842,-0.2980226643,-0.2657321384,20.20866425,-31.18053685,25.89827216
2.641254803,-0.2954100693,-0.2727340176,20.24916926,-31.34844031,25.63629968
2.641246516,-0.2928783035,-0.2795517115,20.19440491,-31.52058771,25.37112317
2.641238782,-0.2904165659,-0.2862152245,20.03509045,-31.6981194,25.10267193
2.641231581,-0.2880200405,-0.2927298108,19.77869374,-31.88057202,24.83097732
2.641224894,-0.2856839117,-0.2991007241,19.43268265,-32.06748225,24.55607071
2.641218703,-0.2834033635,-0.3053332186,19.00452505,-32.25838674,24.27798347
2.641212987,-0.2811735802,-0.3114325483,18.50168879,-32.45282216,23.99674694
2.641207728,-0.2789897459,-0.317403967,17.93164174,-32.65032517,23.71239251
2.641202907,-0.2768470448,-0.3232527289,17.30185177,-32.85043242,23.42495154
2.641198505,-0.2747406611,-0.3289840878,16.61978674,-33.05268058,23.13445539
2.641194504,-0.272665779,-0.3346032978,15.89291453,-33.25660631,22.84093543
2.641190882,-0.2706175826,-0.3401156128,15.12870298,-33.46174628,22.54442302
2.641187623,-0.2685912562,-0.3455262869,14.33461998,-33.66763713,22.24494952
2.641184706,-0.2665819839,-0.350840574,13.51813338,-33.87381555,21.94254631
2.641182114,-0.2645849498,-0.3560637281,12.68671105,-34.07981818,21.63724475
2.641179825,-0.2625953383,-0.3612010031,11.84782085,-34.28518169,21.3290762
2.641177823,-0.2606083334,-0.3662576532,11.00893065,-34.48944273,21.01807202
2.641176087,-0.2586191193,-0.3712389322,10.17750832,-34.69213798,20.70426359
2.641174598,-0.2566228802,-0.3761500942,9.361021721,-34.8928041,20.38768226
2.641173338,-0.2546148003,-0.3809963931,8.566938716,-35.09097773,20.06835941
2.641172288,-0.2525900638,-0.385783083,7.802727172,-35.28619555,19.74632639
2.641171428,-0.2505438549,-0.3905154177,7.075854954,-35.47799422,19.42161458
2.641170739,-0.2484713577,-0.3951986513,6.393789928,-35.6659104,19.09425533
2.641170203,-0.2463677564,-0.3998380378,5.763999958,-35.84948074,18.76428002
2.6411698,-0.2442282352,-0.4044388312,5.193952911,-36.02824192,18.43172
2.641169511,-0.2420479782,-0.4090062854,4.691116651,-36.20173059,18.09660664
2.641169317,-0.2398221698,-0.4135456544,4.262959043,-36.36948341,17.75897131
2.6411692,-0.2375459939,-0.4180621922,3.916947953,-36.53103705,17.41884538
2.64116914,-0.2352146349,-0.4225611529,3.660551246,-36.68592817,17.0762602
2.641169118,-0.2328232769,-0.4270477903,3.501236788,-36.83369342,16.73124714
2.641169114,-0.2303671041,-0.4315273585,3.446472442,-36.97386948,16.38383757
2.641182838,-0.2278437321,-0.4360682809,3.447432282,-37.11068759,16.0308214
2.641223124,-0.2252566905,-0.4407279658,3.450362891,-37.24854517,15.66933207
2.641288645,-0.2226100342,-0.4454951443,3.455340903,-37.38722805,15.29991623
2.641378071,-0.2199078182,-0.4503585477,3.462442953,-37.52652209,14.92312052
2.641490075,-0.2171540974,-0.455306907,3.471745676,-37.66621314,14.53949159
2.641623329,-0.2143529268,-0.4603289535,3.483325704,-37.80608705,14.14957609
2.641776505,-0.2115083612,-0.4654134184,3.497259673,-37.94592968,13.75392067
2.641948275,-0.2086244557,-0.4705490328,3.513624218,-38.08552688,13.35307198
2.64213731,-0.2057052653,-0.475724528,3.532495972,-38.2246645,12.94757667
2.642342282,-0.2027548447,-0.480928635,3.553951569,-38.3631284,12.53798138
