upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz
-3.044687025,-1.091281868,-7.718989971,4.72962707,1.706017178,0.009371124744,3.008838913,0.7458908961,0.08685352554,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729670039,1.706668215,0.008999726682,3.009617989,0.7461874724,0.08590146217,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729702659,1.707273091,0.008608486444,3.010276898,0.7464795392,0.08495962641,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.72972346,1.707831649,0.008193582874,3.010808321,0.7467677124,0.08402328367,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729735661,1.708348287,0.007754318852,3.011204924,0.7470526091,0.08308783462,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729745056,1.70881957,0.007307390377,3.011495084,0.7473290836,0.08217229909,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729753628,1.709237818,0.006870471929,3.011716527,0.7475916003,0.08130040358,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729759602,1.709593118,0.006438075659,3.011875924,0.7478402136,0.08047477239,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.72976326,1.709880014,0.006006678898,3.011979939,0.7480750023,0.07969807249,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.7297676,1.710107512,0.005584284848,3.012035228,0.7482960701,0.07897299764,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729770614,1.710282738,0.005174382615,3.012005423,0.7485031489,0.07829870406,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729772829,1.710414035,0.004782151532,3.011874757,0.7486957597,0.07767343165,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729781013,1.710512344,0.004418075429,3.01168079,0.7488737719,0.07709845973,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729832566,1.710535078,0.00407321012,3.011461097,0.7490371327,0.07657490757,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729943658,1.710459197,0.003738262097,3.011253267,0.7491858669,0.07610366503,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.730075881,1.710337925,0.003393930569,3.010969001,0.7493276847,0.07565032234,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.730192522,1.710213636,0.003034171542,3.010543201,0.7494653211,0.07520159146,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.73027099,1.71011,0.002689598753,3.010048299,0.7495914668,0.07478951801,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.730288657,1.710050114,0.002391892584,3.009556783,0.7496988765,0.07444552125,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.73025513,1.710034676,0.002173540998,3.009141201,0.749780373,0.07420029272,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.730161036,1.710062509,0.001943352507,3.008432819,0.7498376724,0.0739223907,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729995227,1.710128708,0.001639743181,3.007225241,0.7498761598,0.07354264032,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729800749,1.710185904,0.001330188488,3.005834773,0.7498946072,0.07318191041,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729620828,1.710184284,0.001082287787,3.004578221,0.7498917643,0.07295519982,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729498852,1.710071776,0.0009638351531,3.003772931,0.7498664791,0.07297121643,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729292865,1.709766414,0.001135717256,3.003272648,0.7497296492,0.07356458526,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728932659,1.709270267,0.001587091227,3.002759855,0.7494561004,0.07475063341,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728569403,1.708656071,0.002128102256,3.002295395,0.7491401199,0.07615562937,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728354402,1.707996718,0.002568438704,3.001940238,0.7488735907,0.07740642897,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728284383,1.707473916,0.002685465851,3.001755478,0.7487458345,0.07813083591,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728278693,1.707061699,0.002565263965,3.001838809,0.7487154614,0.07841030947,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728369004,1.706555357,0.002488490752,3.00220322,0.7486855116,0.07859052822,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728604343,1.705974076,0.002497534502,3.002782736,0.7486605583,0.07869708354,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.728963894,1.705340001,0.002531253052,3.003511341,0.7486450895,0.07875585682,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729409166,1.704677385,0.002580379043,3.004323025,0.7486434807,0.07879236772,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.729901591,1.704010763,0.002636423137,3.005151817,0.7486599787,0.07883139846,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.730402517,1.703364939,0.002691739449,3.00593179,0.7486986957,0.07889689392,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.730873213,1.702764956,0.002739507072,3.006597043,0.7487636162,0.07901213755,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.731316325,1.702209288,0.00278037836,3.007081662,0.7488586165,0.07920020281,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.73179721,1.701677027,0.002756651078,3.00752108,0.7489756945,0.07930047787,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.732334443,1.7011609,0.002645807854,3.008054586,0.7491067262,0.07922426049,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.732900833,1.700676944,0.002515264724,3.00862195,0.7492562642,0.07910249624,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.733469136,1.700241188,0.00243179578,3.009162842,0.7494299184,0.07906587625,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.734012046,1.699869695,0.002461497129,3.00961683,0.7496344398,0.07924483948,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.734535243,1.699607061,0.002589989815,3.009966056,0.7499216481,0.07969959206,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.735064753,1.699453538,0.002747790188,3.010253059,0.7503060801,0.08032789222,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.735603795,1.699358537,0.002917952934,3.010507982,0.7507388747,0.0810172277,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.73615566,1.699271222,0.00308342573,3.010761069,0.7511699662,0.08165623543,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.736723721,1.699140541,0.003226882372,3.011042677,0.7515480245,0.08213459698,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.737290504,1.699089741,0.003428129627,3.011322459,0.7519359692,0.08276566762,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.737834079,1.699214225,0.003716151068,3.011557054,0.7524005294,0.08375799719,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.738368738,1.699407072,0.004023443045,3.011757544,0.7528929822,0.08484583933,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.738923434,1.699555293,0.004309954949,3.011935252,0.7533608668,0.08576474798,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.739527333,1.699546554,0.004534875142,3.012101761,0.753748039,0.08625142344,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.740244524,1.699483181,0.004897540141,3.012427562,0.7541002381,0.08661608775,NaN,NaN,NaN
-3.044687025,-1.091281868,-7.718989971,4.741041197,1.699516835,0.005463623068,3.012962885,0.7544839334,0.08720887855,NaN,NaN,NaN
