T1P1T06_inf_data.tx,T1P1T06_inf_data.ty,T1P1T06_inf_data.tz,T1P1T06_inf_data.rx,T1P1T06_inf_data.ry,T1P1T06_inf_data.rz
4.212046503,0.2618176025,-1.033089019,-9.20564968,-29.45993056,59.73021951
4.212046503,0.2618176025,-1.033089019,-9.20564968,-29.45993056,59.73021951
4.213394229,0.2598843054,-1.033041951,-9.228556648,-29.426743,59.74068351
4.214678216,0.2580200113,-1.032996825,-9.254583552,-29.39621757,59.74735575
4.215905933,0.2562268556,-1.032940673,-9.28354514,-29.36816701,59.75020843
4.217083705,0.2545084718,-1.032864304,-9.315255452,-29.34240554,59.74921046
4.218216265,0.2528697285,-1.032762301,-9.349528199,-29.31874836,59.74432771
4.219306416,0.2513163774,-1.032632823,-9.386177126,-29.29701115,59.73552331
4.220354837,0.2498546261,-1.032477247,-9.42501637,-29.27700959,59.72275792
4.22136003,0.2484906579,-1.032299643,-9.4658608,-29.2585589,59.70599002
4.222318402,0.2472301237,-1.032106124,-9.508526345,-29.24147333,59.68517625
4.223224483,0.2460776379,-1.031904102,-9.552830309,-29.22556579,59.66027174
4.224071248,0.2450363087,-1.031701493,-9.598591669,-29.21064739,59.63123039
4.224850528,0.2441073348,-1.031505917,-9.64563136,-29.19652707,59.59800528
4.225553479,0.2432896975,-1.031323937,-9.693772553,-29.1830112,59.56054897
4.226171067,0.2425799691,-1.031160391,-9.742840909,-29.16990331,59.51881388
4.226694548,0.2419722531,-1.031017849,-9.792664835,-29.1570037,59.47275265
4.227115899,0.2414582614,-1.030896209,-9.843075718,-29.14410921,59.42231848
4.227428191,0.2410275226,-1.030792479,-9.893908154,-29.13101294,59.36746556
4.227625861,0.2406677071,-1.0307007,-9.945000159,-29.11750406,59.3081494
4.227704913,0.2403650462,-1.030612037,-9.996193377,-29.10336758,59.24432718
4.227663,0.240104814,-1.030514991,-10.04733327,-29.08838425,59.17595819
4.227499449,0.239871841,-1.030395707,-10.09826927,-29.0723304,59.10300409
