C2P1T03_sup_data.tx,C2P1T03_sup_data.ty,C2P1T03_sup_data.tz,C2P1T03_sup_data.rx,C2P1T03_sup_data.ry,C2P1T03_sup_data.rz
3.117530789,1.563619151,0.8347286633,10.3701031,15.56867405,78.86081084
3.116155168,1.564413621,0.8347909007,10.33850739,15.5763982,78.97862465
3.11474529,1.565197222,0.834822188,10.31039828,15.58250646,79.09099566
3.113300141,1.565970157,0.8348251006,10.28583777,15.58701639,79.19786789
3.111818729,1.566732611,0.8348022633,10.26488925,15.58994579,79.29918661
3.11030008,1.56748475,0.8347563547,10.24761755,15.59131274,79.39489831
3.108743242,1.568226715,0.8346901112,10.23408902,15.59113567,79.48495077
3.107147286,1.568958625,0.8346063312,10.22437159,15.58943335,79.56929305
3.105464624,1.569696733,0.8344870678,10.21909321,15.58537266,79.6456336
3.103670034,1.570447909,0.8343135379,10.21831345,15.57831021,79.71269963
3.101796007,1.571198418,0.834086994,10.22125418,15.5685494,79.77196792
3.099874855,1.571934834,0.8338082446,10.22714241,15.55639303,79.82491275
3.097938712,1.572644011,0.8334776639,10.23520831,15.54214309,79.87300533
3.096019541,1.573313069,0.8330951968,10.24468359,15.52610055,79.91771343
3.094149129,1.573929386,0.8326603574,10.25480032,15.50856532,79.96050093
3.092359082,1.574480586,0.832172223,10.26479,15.48983619,80.00282754
3.090573034,1.574995383,0.8316189731,10.27831417,15.46836335,80.04032102
3.088728105,1.575501844,0.8310026246,10.29796381,15.44324049,80.06962033
3.086875641,1.575987248,0.8303420261,10.32136508,15.4157308,80.09368983
3.085066517,1.576439437,0.829655092,10.34614152,15.38709567,80.11548033
3.083351128,1.576846809,0.8289587421,10.36991112,15.35859359,80.13792752
3.081779361,1.577198335,0.8282688666,10.39028602,15.33148032,80.16395134
3.080400559,1.577483591,0.8276003176,10.4048746,15.30701044,80.19645605
3.07926347,1.577692811,0.8269669237,10.41128619,15.2864401,80.23833118
3.078060823,1.577854867,0.8261258618,10.41610049,15.2613445,80.27401284
3.076570269,1.577994198,0.8249251274,10.42534111,15.22563444,80.29178049
3.074966155,1.578095593,0.8235118913,10.43578864,15.18407593,80.30025428
3.073421274,1.578144195,0.8220310098,10.44420752,15.14143965,80.30802073
3.072106927,1.57812522,0.8206253406,10.44733819,15.102503,80.32363201
3.071192794,1.578024107,0.8194356314,10.44190539,15.0720531,80.35560576
3.070846602,1.577827124,0.8185999794,10.42464255,15.05489097,80.4124255
3.071233589,1.57752238,0.8182528553,10.39233221,15.05583665,80.50254117
3.072786509,1.576830538,0.8184571272,10.33811815,15.08018577,80.64968223
3.075568471,1.575623184,0.8190953787,10.26188314,15.12618147,80.85853692
3.079191332,1.574114061,0.8200336588,10.17056281,15.18806267,81.10902477
3.083274307,1.572510405,0.8211497458,10.07088515,15.26002731,81.38118245
