C2P2T17_inf_data.tx,C2P2T17_inf_data.ty,C2P2T17_inf_data.tz,C2P2T17_inf_data.rx,C2P2T17_inf_data.ry,C2P2T17_inf_data.rz
2.864592784,0.8513508384,0.7554176903,3.165822897,3.334993747,69.22096523
2.864604577,0.8513407863,0.7551066424,3.141159556,3.332216245,69.22270495
2.864636509,0.8513387878,0.7548198996,3.120072521,3.329566677,69.2247492
2.864689794,0.8513451637,0.7545583637,3.102680374,3.327027551,69.22718342
2.864765662,0.8513602142,0.7543229673,3.089101638,3.324581657,69.23009339
2.864865356,0.8513842168,0.7541146735,3.079454756,3.322212041,69.23356532
2.864980032,0.8514167025,0.7539305212,3.073013805,3.320040055,69.23699745
2.865100225,0.8514574933,0.7537650708,3.069000073,3.318192511,69.23975373
2.865226271,0.8515072761,0.7536156069,3.067452761,3.316661021,69.24186944
2.865358516,0.8515667252,0.7534794382,3.068411088,3.315437455,69.24338009
2.865497309,0.8516365025,0.753353897,3.071914278,3.314513942,69.24432144
2.865647871,0.8517195206,0.753241791,3.078541497,3.31381556,69.24496646
2.865812091,0.8518165582,0.7531463205,3.088504876,3.31331626,69.24540249
2.865985343,0.8519250476,0.7530654086,3.10129301,3.313081486,69.24538759
2.866163013,0.8520424035,0.7529969507,3.116394422,3.313176397,69.24468026
2.866340492,0.8521660315,0.7529388076,3.133297587,3.313665796,69.24303934
2.866513172,0.852293335,0.7528887979,3.151490944,3.314614047,69.24022379
2.866712304,0.8524301169,0.7528460419,3.173508189,3.315442009,69.23834435
2.866954053,0.8525808435,0.7528128905,3.200790041,3.315875447,69.23842266
2.867211142,0.8527409414,0.7527917768,3.231185766,3.316434377,69.23858417
2.867456237,0.8529058957,0.7527848961,3.262545402,3.317637598,69.23695365
2.867661924,0.8530712791,0.752794186,3.292719914,3.320002539,69.23165459
2.867860696,0.8532406588,0.7528436415,3.325745167,3.322560517,69.22495686
2.868090546,0.8534191257,0.7529451875,3.365323989,3.324441226,69.21945732
2.868332155,0.8536047128,0.7530821726,3.408808231,3.326305384,69.21376782
2.868566059,0.8537956259,0.753237602,3.45354977,3.32881022,69.20649773
2.868772615,0.8539902871,0.7533941023,3.496900566,3.332609071,69.19625302
2.868931986,0.8541873592,0.7535338583,3.536212367,3.3383504,69.18163588
2.869018899,0.8544312426,0.7536521766,3.570798688,3.345614055,69.16074982
2.869044025,0.8547396934,0.753764372,3.603211651,3.353643244,69.13429691
2.869041517,0.8550714069,0.7538826216,3.635657397,3.362578951,69.10477705
2.869045873,0.8553847862,0.7540197715,3.670337435,3.3725674,69.07469368
2.869091961,0.8556379029,0.7541893982,3.709448331,3.3837607,69.04655429
2.869175692,0.8558378145,0.7543546181,3.752922668,3.396431388,69.02077214
2.869266776,0.8560220212,0.754479153,3.79891295,3.410613207,68.99564896
2.869361024,0.8561940328,0.7545778738,3.846943204,3.426103029,68.97052786
2.869454212,0.8563574057,0.7546655338,3.896539041,3.442697468,68.94475095
