frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz
11,7.322265992,2.714080352,-0.1595064064,7.182855623,2.648777087,-0.3292746028,7.182855623,2.648777087,-0.3292746028,7.053566522,2.214484506,-0.01610651631,7.348535518,2.489253043,0.2387250728,7.368833785,2.571173613,0.01326982485,7.336606423,2.49560798,0.1342849706,7.436362604,2.63918792,0.125546835,7.251453157,2.417810416,0.03479085403,7.321434397,2.512176719,-0.04119011254,7.443107253,2.682350643,-0.001711054723,7.437944873,2.632925433,0.1252109823,7.432070132,2.649765002,-0.4622992061
12,7.315675255,2.699460895,-0.156079543,7.171993782,2.63526679,-0.3241636115,7.171993782,2.63526679,-0.3241636115,7.043749561,2.197420642,-0.01543792276,7.33841327,2.472518046,0.2433530059,7.360449931,2.55698086,0.01832921832,7.327955258,2.481115364,0.1377821432,7.430202712,2.625769942,0.1335187961,7.243447738,2.403042685,0.03882754248,7.314225789,2.499968144,-0.0363244607,7.43772746,2.666330337,0.003358685873,7.432299467,2.62113885,0.132793472,7.425676722,2.636699439,-0.4583588047
13,7.308099947,2.683001693,-0.1532598609,7.160395431,2.620452867,-0.3197272956,7.160395431,2.620452867,-0.3197272956,7.033888496,2.179207865,-0.01619689311,7.327217321,2.45387299,0.24729151,7.353140151,2.543115474,0.02299328642,7.31814193,2.463037676,0.1474988479,7.424009488,2.610238432,0.1399847029,7.236595192,2.387761223,0.04443381237,7.305350032,2.484146136,-0.0315148869,7.431730797,2.648109084,0.008264503769,7.425682414,2.60790943,0.1397325583,7.41940751,2.622544536,-0.4551931635
14,7.299977345,2.665671297,-0.1504813844,7.148509375,2.604862468,-0.315464574,7.148509375,2.604862468,-0.315464574,7.023406836,2.159996927,-0.01696392462,7.315431607,2.434321058,0.2510137518,7.345845524,2.52875241,0.02756833634,7.30772133,2.443982028,0.1570251065,7.41714662,2.593979391,0.1454810045,7.229657488,2.371827817,0.05023985489,7.295899854,2.467151519,-0.0264932071,7.425214933,2.62949196,0.01316231539,7.418225947,2.593717295,0.1453489764,7.412677047,2.608038287,-0.4520795666
15,7.291334019,2.646764763,-0.1474611195,7.136940406,2.587872745,-0.3114952022,7.136940406,2.587872745,-0.3114952022,7.011607818,2.138425119,-0.01595897054,7.303358813,2.413255343,0.2546870693,7.3389037,2.512113207,0.03224623748,7.29684912,2.423044171,0.1656179688,7.408617707,2.576801791,0.1487409079,7.222834126,2.355072702,0.05400155576,7.286141227,2.448160047,-0.02123682181,7.417032022,2.61224706,0.0180885012,7.408417327,2.57817923,0.1478583069,7.404986272,2.593128619,-0.4485424052
16,7.282209342,2.627114927,-0.1444976354,7.125341289,2.569876481,-0.3075809263,7.125341289,2.569876481,-0.3075809263,6.998850841,2.115607125,-0.01426992967,7.290947835,2.391385132,0.2582708278,7.33173372,2.49474362,0.03683004379,7.285652181,2.401530194,0.1729961221,7.399183863,2.559178474,0.1511287505,7.215881395,2.33780491,0.05739382355,7.276083022,2.428295603,-0.01598396334,7.408084276,2.595121953,0.02299960491,7.397696308,2.561753398,0.1492666287,7.396858776,2.57772644,-0.4448193002
17,7.272757794,2.606842257,-0.1416337767,7.114571884,2.550590487,-0.3032841085,7.114571884,2.550590487,-0.3032841085,6.984237127,2.090751304,-0.009731787541,7.279009903,2.36850879,0.2617659465,7.323377823,2.476607644,0.04094590013,7.27552769,2.380314127,0.1788342748,7.387833757,2.541896667,0.1516201365,7.208237174,2.319614498,0.05930690488,7.266549697,2.407809171,-0.009724408563,7.39832581,2.579301086,0.02809978738,7.385458709,2.544240953,0.1481143695,7.38777122,2.561785272,-0.4402541351
18,7.262785246,2.586196002,-0.1388786099,7.103842359,2.530287348,-0.29895263,7.103842359,2.530287348,-0.29895263,6.968494159,2.064782409,-0.004623949426,7.266772833,2.345052588,0.2651195134,7.314836744,2.457780599,0.04501073788,7.265216805,2.358817056,0.1839003553,7.3757738,2.52413582,0.1515021878,7.200285321,2.301067601,0.06091829821,7.256853351,2.386877707,-0.00376099218,7.388012336,2.563329919,0.03305845277,7.373271843,2.525183124,0.1463495873,7.378420264,2.545319586,-0.4355557787
19,7.252027736,2.566581944,-0.1367554603,7.093528186,2.508939479,-0.2950948073,7.093528186,2.508939479,-0.2950948073,6.950490493,2.037664164,0.00111733816,7.254518325,2.322270227,0.26783496,7.306210731,2.438525107,0.04878220179,7.254689801,2.338378427,0.1847101425,7.363475368,2.506430253,0.1504193094,7.192311187,2.283054321,0.06313724111,7.247201617,2.366780229,0.0008136109244,7.377904287,2.547135513,0.03685860173,7.36306581,2.503835548,0.1435575454,7.369296222,2.528371324,-0.4313585336
20,7.240809351,2.546558967,-0.1346926406,7.083087821,2.486551463,-0.2911701749,7.083087821,2.486551463,-0.2911701749,6.93157406,2.009616711,0.006932210749,7.241798702,2.298991842,0.2704708593,7.297544783,2.418426132,0.05263170194,7.243787369,2.317854672,0.1840510092,7.351023405,2.48765207,0.149328275,7.183779204,2.264456289,0.06522254315,7.237377962,2.346415149,0.004979245394,7.367586539,2.529990685,0.04047399469,7.353198194,2.481046747,0.14112988,7.359852993,2.510781676,-0.4270298687
