ope_data.tx,ope_data.ty,ope_data.tz,ope_data.rx,ope_data.ry,ope_data.rz
-0.5642604097,-0.2738411601,2.221141437,-7.454125355,20.93067018,10.59120894
-0.5674361042,-0.2710173278,2.222361297,-7.494465742,20.99374549,10.47563469
-0.570705906,-0.26808519,2.22359606,-7.536912689,21.05938892,10.35461525
-0.5740623434,-0.2650786164,2.224893176,-7.581036604,21.12642246,10.22930815
-0.5774910388,-0.2620397436,2.226292694,-7.626336306,21.19344843,10.10121776
-0.5809224618,-0.2590143985,2.227798769,-7.672582708,21.26058047,9.972347816
-0.5842870947,-0.2560490382,2.22941395,-7.719537769,21.32793926,9.84470965
-0.5875154631,-0.2531907552,2.231139244,-7.766954925,21.39565248,9.720321972
-0.5905381616,-0.2504872594,2.232974225,-7.814579672,21.46385455,9.601210635
-0.5934596076,-0.2478508336,2.234809422,-7.861592476,21.53430172,9.48390366
-0.5963954253,-0.2451835019,2.236558287,-7.907821944,21.60826931,9.364482718
-0.5992931489,-0.2425183125,2.238253033,-7.953975337,21.68517718,9.244315222
-0.6021004,-0.2398887032,2.239924878,-8.00075296,21.76444773,9.124776562
-0.6047648864,-0.237328492,2.241604063,-8.048847814,21.84550614,9.007250262
-0.6073051056,-0.2349387463,2.243241426,-8.096857608,21.92675814,8.892847003
-0.6097416048,-0.2327889354,2.244828559,-8.143973423,22.00667612,8.782310335
-0.6120253663,-0.2308659939,2.246455381,-8.191769995,22.08478626,8.676478419
-0.6141075402,-0.2291571449,2.248210935,-8.241819154,22.16061423,8.57618817
-0.6159394211,-0.2276498106,2.250183523,-8.295690888,22.23368687,8.482275165
-0.6175186717,-0.22625756,2.25237218,-8.354578221,22.30455137,8.393194843
-0.6188765289,-0.2248823153,2.254748608,-8.418890708,22.37442334,8.30672289
-0.6200146831,-0.2234940388,2.257359519,-8.489025093,22.4438329,8.222669656
-0.6209347359,-0.2220625758,2.260251438,-8.56538147,22.51330822,8.140839323
-0.6216381794,-0.2205575916,2.263470677,-8.64836318,22.58337539,8.061029812
-0.6221263749,-0.2189484902,2.267063299,-8.738376785,22.65455829,7.983032577
-0.6224978841,-0.2172796441,2.27100542,-8.834441258,22.72661151,7.90656902
-0.6228396259,-0.2156275726,2.275224831,-8.934646403,22.79917605,7.831771402
-0.6231353224,-0.2140096894,2.279694957,-9.038007474,22.87260368,7.759044287
-0.6233686184,-0.2124435004,2.284389317,-9.143539564,22.94724595,7.688794661
-0.6234061549,-0.2109049775,2.289348065,-9.253693501,23.02309481,7.622213741
-0.6231345773,-0.2093711024,2.294589057,-9.370454738,23.10001869,7.560091903
-0.6225674185,-0.2078608837,2.300052875,-9.492141507,23.17817916,7.502239863
-0.6217181413,-0.2063932743,2.305680654,-9.617073479,23.25773043,7.448472432
-0.6206001599,-0.2049872566,2.311414062,-9.7435712,23.33881756,7.398608475
-0.6192268626,-0.2036619082,2.317195276,-9.869955613,23.4215751,7.352470956
-0.6176116359,-0.2024364461,2.322966959,-9.994547658,23.50612615,7.309887043
-0.6158723219,-0.2013077559,2.328735814,-10.11676938,23.59292627,7.269262305
-0.6141361655,-0.2002661935,2.334522163,-10.23635048,23.68217985,7.22897608
-0.6124308107,-0.199321222,2.340289829,-10.35207412,23.77361564,7.188820516
-0.6105959613,-0.1984612371,2.346143794,-10.46605794,23.86825958,7.149859321
-0.6084740585,-0.1976679575,2.352185167,-10.58104098,23.96664533,7.113409949
-0.6060970791,-0.1969403403,2.358372839,-10.69674075,24.0677529,7.07965025
-0.6034971195,-0.196276795,2.364666381,-10.81287674,24.17055969,7.048763223
-0.6007064077,-0.195675184,2.371026092,-10.9291708,24.27404045,7.020936809
-0.5977573117,-0.1951328331,2.377413021,-11.04534737,24.37716724,6.996363651
-0.5946823445,-0.1946465539,2.38378898,-11.16113373,24.47890945,6.975240827
-0.5915141653,-0.194212678,2.390116544,-11.27626011,24.57823378,6.95776956
-0.5883486266,-0.1938373385,2.396345006,-11.39010901,24.67511699,6.943259757
-0.5852857948,-0.1935239558,2.402426521,-11.50205869,24.76957319,6.930899611
-0.5821839489,-0.1932705068,2.408487284,-11.61353072,24.86266233,6.921069978
-0.5788945693,-0.1930766069,2.414647821,-11.72571596,24.95577732,6.914254394
-0.575446719,-0.1929363826,2.42086772,-11.8379962,25.04843404,6.910631523
-0.571869615,-0.1928438464,2.427107046,-11.949754,25.14014413,6.910381839
-0.5681926358,-0.1927929237,2.433326357,-12.06037287,25.23041487,6.913687359
-0.5644453277,-0.1927774829,2.439486705,-12.16923734,25.31874902,6.920731341
-0.5606574075,-0.1927913679,2.445549636,-12.27573317,25.40464467,6.931697949
-0.5568587624,-0.1928284329,2.451477184,-12.37924749,25.48759524,6.94677188
-0.5530794489,-0.1928825809,2.457231862,-12.47916896,25.56708936,6.966137952
-0.5493706696,-0.1929018684,2.462805618,-12.57590241,25.64353807,6.989235795
-0.5456399856,-0.1929059228,2.468312615,-12.67096722,25.71770168,7.018452693
-0.5417724397,-0.1929515895,2.47384709,-12.76516393,25.78982434,7.055803254
-0.5377996197,-0.19303524,2.479377466,-12.85808589,25.85999897,7.099864652
-0.5337533227,-0.193154047,2.484871823,-12.9493259,25.9283085,7.149211081
-0.5296655581,-0.1933060681,2.49029774,-13.03847511,25.99482624,7.20241439
-0.5255685475,-0.1934903041,2.495622162,-13.12512233,26.05961623,7.258044648
-0.5214947221,-0.1937067331,2.500811312,-13.20885353,26.12273393,7.314670601
-0.5174767185,-0.1939563189,2.505830632,-13.28925169,26.18422687,7.370860031
-0.5135473726,-0.1942409934,2.510644762,-13.36589696,26.24413554,7.425179987
-0.50968185,-0.1944972647,2.515186183,-13.43873276,26.30353363,7.4762535
-0.5057690488,-0.1947749446,2.519470941,-13.50652312,26.36261729,7.528538279
-0.5017587453,-0.1951714036,2.52357348,-13.56840689,26.4203521,7.586413879
-0.4977067009,-0.1956500263,2.527513319,-13.62539031,26.47642376,7.648125805
-0.4936686835,-0.1961744888,2.531309151,-13.6784822,26.53051958,7.711915473
-0.489700462,-0.1967087845,2.534978788,-13.72869386,26.58232926,7.776020691
-0.4858577987,-0.1972172342,2.538539115,-13.77703883,26.63154534,7.83867624
-0.4821964392,-0.1976644806,2.542006062,-13.82453269,26.67786323,7.898114541
-0.478772101,-0.1980154675,2.545394599,-13.8721927,26.72098084,7.952566389
-0.4756404596,-0.1982354039,2.548718742,-13.92103747,26.76059785,8.000261776
-0.4728571333,-0.1982897138,2.55199158,-13.97208659,26.79641453,8.039430764
-0.4703832208,-0.1981622911,2.555247918,-14.02683401,26.82816073,8.070187671
-0.4681279778,-0.1978772465,2.558497892,-14.08522388,26.85603107,8.094576596
-0.4660693617,-0.1974607199,2.561717201,-14.14594891,26.88042002,8.113723594
-0.4641855398,-0.196939208,2.564881969,-14.20769892,26.9017199,8.128754393
-0.4624548895,-0.1963395588,2.567968784,-14.26916155,26.92032232,8.140793089
-0.4608559966,-0.1956889596,2.570954741,-14.32902276,26.93661918,8.150961168
-0.459367652,-0.1950149164,2.573817468,-14.3859673,26.95100345,8.160376849
-0.4579688463,-0.1943452275,2.576535139,-14.43867896,26.96386953,8.170154765
-0.4566387626,-0.1937079504,2.579086487,-14.48584072,26.97561329,8.181405965
-0.4553567676,-0.1931313626,2.581450799,-14.52613472,26.98663177,8.195238254
-0.4542986493,-0.1926144643,2.583611511,-14.56041332,26.99366825,8.209789028
-0.4535705071,-0.1921011388,2.585604653,-14.59126247,26.99439906,8.222040417
-0.453068366,-0.1915525082,2.587470618,-14.61956127,26.99056684,8.231760452
-0.452738315,-0.1909976571,2.589200334,-14.64486615,26.9835722,8.23971682
-0.4525265084,-0.1904653201,2.590785198,-14.66673395,26.97481779,8.246676051
-0.452379165,-0.1899838265,2.592217121,-14.68472231,26.96570825,8.253403777
-0.4522425659,-0.1895810594,2.593488552,-14.69838956,26.95764999,8.260665332
-0.4520630532,-0.1892844301,2.594592465,-14.70729431,26.95205082,8.269226696
-0.4517870261,-0.1891208655,2.595522318,-14.71099453,26.95031939,8.279855774
-0.451360937,-0.1891168116,2.596271988,-14.70904624,26.95386452,8.293324028
-0.4509458836,-0.1892249444,2.596790864,-14.69938657,26.96113902,8.308663181
-0.4507174757,-0.1893850129,2.59704522,-14.68105432,26.9695555,8.324635195
-0.4505838393,-0.1896457202,2.597038361,-14.65440929,26.97944412,8.34158471
-0.4504576146,-0.1900427713,2.596789833,-14.62024263,26.99096563,8.35971312
-0.450313659,-0.1905629959,2.596343664,-14.58040982,27.00371353,8.379177369
-0.4501266367,-0.1911929618,2.595744058,-14.53676909,27.01727935,8.400134273
-0.449871003,-0.1919190168,2.59503542,-14.49118162,27.03125221,8.422740029
-0.4495209941,-0.1927273132,2.594262386,-14.44551175,27.04521875,8.447149854
-0.4490506219,-0.1936038111,2.593469839,-14.40162718,27.05876325,8.473517778
-0.4484336741,-0.1945342625,2.592702931,-14.3613991,27.07146812,8.501996578
-0.4477757076,-0.1955500263,2.591862453,-14.32186862,27.0843764,8.53224461
-0.4471947167,-0.1966567899,2.590865414,-14.27998407,27.09832768,8.563700645
-0.4466826899,-0.1978014883,2.589781393,-14.23748348,27.11259785,8.596185181
