frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz,F15_data.tx,F15_data.ty,F15_data.tz,F16_data.tx,F16_data.ty,F16_data.tz
11,7.370025626,2.840487547,-0.07606316779,7.246133655,2.646880702,0.07527360043,7.246133655,2.646880702,0.07527360043,7.242079337,2.498388009,0.306238279,7.116666696,2.418273909,0.3466898923,7.417069873,2.772128036,-0.6145588149,7.422848266,2.808938473,-0.2860713651,7.433435863,2.746068691,0.3891786619,7.034986949,2.340845653,0.0523464448,7.388514191,2.691290805,-0.2315910493,7.025103331,2.264034962,0.2877873134,7.597977613,2.937338218,-0.4739125749,7.503844296,2.834993217,0.1225921638,7.263696214,2.596408782,-0.2171248248,7.109015744,2.361282308,0.6994973938,7.048176108,2.283788715,0.3680749331,6.924551541,2.1697363,0.5119139632,7.413183154,2.754303639,-0.4809920945,7.044484765,2.355849442,-0.2519192334
12,7.366835432,2.838041125,-0.07685112304,7.242693129,2.645049981,0.07546336517,7.242693129,2.645049981,0.07546336517,7.238523745,2.495905944,0.3063850774,7.114661333,2.418020872,0.3443125361,7.414497553,2.769705604,-0.6153197998,7.418934285,2.803713426,-0.2894424999,7.42874173,2.742363704,0.3894019426,7.034686075,2.332148121,0.05507363192,7.384023527,2.691670559,-0.2292790478,7.022565832,2.261823978,0.2888043107,7.594252132,2.934590111,-0.4743135201,7.497556144,2.832033431,0.123145262,7.260704081,2.593963546,-0.217984846,7.10428988,2.357851545,0.6955635423,7.046454275,2.28010827,0.368405656,6.921854908,2.16717676,0.5116154138,7.408968092,2.754919393,-0.4782706785,7.041373346,2.352597502,-0.2523801134
13,7.363943416,2.835182259,-0.07715739171,7.239498044,2.643368653,0.07579694107,7.239498044,2.643368653,0.07579694107,7.235488327,2.493298184,0.3067796595,7.11333652,2.418123426,0.3416270732,7.410625393,2.767630091,-0.6155613255,7.415265988,2.798708618,-0.2927030057,7.425083529,2.738402994,0.3903013123,7.033515968,2.324961261,0.05763152354,7.37957364,2.69175491,-0.2272575326,7.019603999,2.259216486,0.2897104295,7.590648417,2.931751457,-0.4740584407,7.491028703,2.829317868,0.1236771481,7.25764349,2.591373638,-0.219794286,7.100308497,2.35505422,0.6940342167,7.044421679,2.275890366,0.3688812064,6.918861226,2.164141729,0.5104376633,7.404373362,2.75461454,-0.4747561176,7.036967415,2.347925013,-0.2533075388
14,7.361101961,2.832238028,-0.07731482843,7.236339373,2.641686043,0.07607018558,7.236339373,2.641686043,0.07607018558,7.232783342,2.490685557,0.3071067653,7.11186268,2.417850308,0.3393276189,7.406189681,2.765752102,-0.6156993416,7.41189684,2.793960363,-0.2956507745,7.421690132,2.734563506,0.3910716275,7.031939603,2.318636069,0.05971274887,7.375416596,2.691621696,-0.2249383855,7.016383398,2.256401673,0.2900417468,7.587154197,2.92906008,-0.4742723818,7.485101092,2.826471735,0.1241955423,7.254632071,2.588605715,-0.2221929322,7.096716209,2.352431216,0.6935083715,7.04216377,2.271610717,0.3693374192,6.915942286,2.160920441,0.5090177591,7.39975643,2.753896297,-0.4721015662,7.031850208,2.342845152,-0.2548368461
15,7.358576456,2.828988181,-0.07723822435,7.232992889,2.639946532,0.07596308469,7.232992889,2.639946532,0.07596308469,7.23070373,2.488374386,0.3070995219,7.110201558,2.417167608,0.3368970155,7.400970977,2.764837206,-0.6157356822,7.408877678,2.791029259,-0.296345041,7.418589858,2.731442021,0.3914874465,7.029241881,2.314443567,0.06138516819,7.372004456,2.690289269,-0.2243180356,7.012556215,2.252352435,0.2892170304,7.58390483,2.926961522,-0.4755597121,7.481963225,2.822964027,0.1246161882,7.251665344,2.585459171,-0.2229015634,7.094203036,2.350208524,0.6956178474,7.039352403,2.267364125,0.3696197049,6.912885506,2.15670817,0.5077210373,7.396094158,2.751828596,-0.4710061916,7.026430914,2.337250113,-0.2568842418
16,7.355705539,2.825785401,-0.07691987044,7.229925419,2.637400959,0.07554949367,7.229925419,2.637400959,0.07554949367,7.228645551,2.486050633,0.3053502297,7.107627031,2.414331438,0.3361198139,7.395561358,2.763881025,-0.6157403219,7.406244172,2.788514471,-0.2956480627,7.416470806,2.728507949,0.3908068146,7.026449547,2.311502317,0.06046151279,7.369433988,2.687481991,-0.2235748629,7.008811291,2.24858884,0.2866929615,7.581004284,2.925474449,-0.4793212588,7.479571793,2.819220573,0.1251150703,7.248542781,2.582409297,-0.2242889897,7.092211736,2.347565796,0.6976891404,7.036183328,2.263618137,0.3696309822,6.910067052,2.152542676,0.5073339221,7.392546122,2.748506655,-0.4747084562,7.021482605,2.332516658,-0.2593782015
17,7.35271308,2.822635194,-0.07648735983,7.227016627,2.634536776,0.07504284435,7.227016627,2.634536776,0.07504284435,7.226624594,2.483628615,0.3035676518,7.104437301,2.410125314,0.3366612318,7.390262414,2.762354098,-0.6158506491,7.403662075,2.786035702,-0.2946193822,7.414599729,2.72574458,0.3896334942,7.023343133,2.309788647,0.05817630004,7.367036323,2.683907485,-0.2234258246,7.005231286,2.245002203,0.2839126051,7.578173934,2.924015951,-0.4830966437,7.477692812,2.815655258,0.125436378,7.245376511,2.579351806,-0.2256726008,7.090336478,2.344609599,0.6992929186,7.0327925,2.26009363,0.3693378185,6.907324658,2.148550392,0.5070837413,7.389301404,2.744674806,-0.4791678676,7.016322501,2.327862906,-0.2623580174
18,7.349392558,2.819852695,-0.07598580381,7.224794799,2.631069331,0.0744324509,7.224794799,2.631069331,0.0744324509,7.224636868,2.480810281,0.3028817519,7.099512247,2.402314348,0.3412574317,7.385284043,2.758565015,-0.6161985282,7.401105416,2.782766433,-0.2941159964,7.413332484,2.724076281,0.3868053972,7.020499953,2.309186226,0.05378297596,7.364650591,2.679073345,-0.223218071,7.002465094,2.242409925,0.2820003726,7.575301738,2.922490041,-0.486894544,7.475385927,2.813209665,0.1249841027,7.242160725,2.576527221,-0.2275508831,7.088178809,2.34072246,0.6984814525,7.029332931,2.25686878,0.3682749316,6.905128063,2.145936354,0.5067040042,7.386685472,2.740070321,-0.4856662074,7.010588968,2.324192447,-0.2663556839
19,7.345745965,2.817371655,-0.07600963363,7.222186523,2.627654644,0.07387822203,7.222186523,2.627654644,0.07387822203,7.22261639,2.477584511,0.3041329662,7.093570169,2.393614983,0.3472813017,7.381497802,2.753668299,-0.6174680707,7.398773399,2.778894985,-0.2943682143,7.4103992,2.722648954,0.3837345021,7.017567394,2.30920363,0.04816467583,7.361674859,2.674723417,-0.2244831494,7.000009142,2.239703283,0.2819418983,7.572261473,2.920221303,-0.4881777567,7.474028142,2.811293527,0.124066811,7.239070649,2.573367633,-0.2285319754,7.084832121,2.336063233,0.694931422,7.025391391,2.253712233,0.3666535888,6.902757749,2.143672572,0.5060169389,7.384171965,2.736531059,-0.4886660176,7.0036592,2.319771067,-0.272140049
20,7.342016032,2.814912559,-0.07626436749,7.219448158,2.624198914,0.07326692166,7.219448158,2.624198914,0.07326692166,7.220299852,2.474132596,0.3053925566,7.08747335,2.384953549,0.353017582,7.378272858,2.748567669,-0.6189838807,7.396328726,2.775138917,-0.2948143889,7.407148501,2.720762218,0.3807870133,7.014768582,2.309227783,0.04205739098,7.358665541,2.670295452,-0.2262844429,6.997568326,2.236986048,0.282003994,7.56910297,2.917541867,-0.4883958694,7.472934974,2.809202919,0.123044192,7.235936327,2.570097151,-0.2292651735,7.08127651,2.331321873,0.6909613342,7.021488257,2.250737721,0.364999877,6.9002264,2.141424847,0.5053807641,7.381632003,2.733020396,-0.490775321,6.996875718,2.315371809,-0.2777054286
21,7.338239837,2.81229897,-0.07670171272,7.216300478,2.620958881,0.07291648433,7.216300478,2.620958881,0.07291648433,7.217060004,2.470454021,0.3056420963,7.082016063,2.378399009,0.3561911998,7.376491869,2.743720104,-0.6205961578,7.393345037,2.771750482,-0.2956812361,7.40286722,2.717608676,0.3793488034,7.012208904,2.308852649,0.03617826605,7.355319346,2.666222448,-0.229839814,6.995325202,2.234204117,0.2815846359,7.565865016,2.914101057,-0.4855279024,7.47174356,2.806393204,0.122879376,7.232600651,2.566661731,-0.2292890185,7.077242406,2.32703233,0.6869541972,7.017842608,2.247698029,0.3633366011,6.89694799,2.138857101,0.5053024551,7.378749571,2.729931071,-0.4884181161,6.990682252,2.309633391,-0.2824089039
22,7.33498967,2.809506085,-0.07681020872,7.213150687,2.618312306,0.07277414969,7.213150687,2.618312306,0.07277414969,7.213083234,2.466911147,0.3053080762,7.077937282,2.374252708,0.356232133,7.375096477,2.73991137,-0.6215353561,7.389211433,2.770394623,-0.2958539285,7.400084893,2.710773838,0.3799318105,7.009874188,2.307824399,0.03154237129,7.3524735,2.66141698,-0.2342676588,6.99226483,2.231443357,0.279512293,7.562223156,2.910117809,-0.4808865931,7.470401206,2.802868123,0.1226287274,7.229047693,2.563260333,-0.2288331382,7.073787869,2.323764183,0.6846945512,7.015096166,2.245764577,0.3632901059,6.893522694,2.13581967,0.5055163779,7.376130215,2.725866019,-0.4851275162,6.986263921,2.305165068,-0.2831288228
23,7.331944996,2.806627003,-0.07695528724,7.210024782,2.615697554,0.07264969929,7.210024782,2.615697554,0.07264969929,7.209017788,2.463417174,0.3048236438,7.074610069,2.370951978,0.3552208919,7.373712679,2.736445889,-0.6222819961,7.385001248,2.769057182,-0.2959057924,7.397476249,2.703425375,0.3812517819,7.007821671,2.306421323,0.02750878058,7.349830925,2.656798343,-0.238125897,6.988988395,2.228690323,0.2772995086,7.558504847,2.905884244,-0.4755867714,7.468754562,2.799151308,0.1223585563,7.225636333,2.559941697,-0.228156101,7.070780938,2.320726665,0.6832990527,7.012610224,2.244138773,0.3637483234,6.890026103,2.13251538,0.5056081064,7.3735031,2.721734247,-0.4818509127,6.983017394,2.301619084,-0.2819656906
24,7.329213736,2.803487741,-0.0776749774,7.206130939,2.613235052,0.07212231576,7.206130939,2.613235052,0.07212231576,7.205439974,2.46008324,0.3038704017,7.072539449,2.368342153,0.353050042,7.371246269,2.734190799,-0.6229506613,7.381667987,2.766787183,-0.2954361152,7.39521325,2.696004278,0.3832767397,7.006441662,2.303930102,0.02471710322,7.347903823,2.653055919,-0.2382558402,6.984785025,2.225818039,0.2749622168,7.554678661,2.901235965,-0.4712189748,7.466620809,2.794909675,0.1215980575,7.222728542,2.556482174,-0.2281579379,7.069503602,2.317696883,0.684742275,7.010591707,2.243071543,0.3654323273,6.886658212,2.128306147,0.5050134046,7.370070387,2.717342758,-0.4842954819,6.982470285,2.301278232,-0.2767206861
25,7.326553299,2.800098323,-0.07868164409,7.202733552,2.610144291,0.07127412021,7.202733552,2.610144291,0.07127412021,7.201986183,2.456537523,0.3023636751,7.070922413,2.366086467,0.3499980381,7.368434353,2.732113181,-0.6236374332,7.378599429,2.763882655,-0.2952989875,7.392907029,2.689104628,0.3851057437,7.005290642,2.300622289,0.02244479419,7.346135869,2.649672393,-0.2371606443,6.980527354,2.222622936,0.2725325264,7.550934468,2.89652326,-0.4676082291,7.464111991,2.790317255,0.1206530472,7.220040339,2.553012424,-0.228305751,7.068483912,2.314646621,0.6867790171,7.008525544,2.24164344,0.3669058049,6.883256859,2.123608842,0.5041419195,7.366614676,2.713079223,-0.4873034927,6.982645938,2.301468109,-0.2709906533
26,7.323780878,2.796565068,-0.07979352002,7.20114689,2.605631077,0.06988714347,7.20114689,2.605631077,0.06988714347,7.199181833,2.45243056,0.299978842,7.069697165,2.362552593,0.3475554608,7.364746263,2.729525546,-0.6243547108,7.37612581,2.758293329,-0.2967874639,7.390668172,2.685106396,0.3855335855,7.003808833,2.297319083,0.02050918783,7.344070551,2.647201267,-0.2329160052,6.976879226,2.219470774,0.2706540081,7.547511506,2.892147439,-0.4652913925,7.460277304,2.785858513,0.1193411592,7.218463172,2.549834112,-0.228496984,7.067922464,2.311267746,0.6885580217,7.005860053,2.239443402,0.3673157725,6.879789766,2.118227557,0.5032757734,7.363153098,2.709986867,-0.4902560045,6.983414547,2.302349587,-0.2658340996
27,7.320989541,2.793128653,-0.08101865661,7.201705083,2.599371527,0.06827139594,7.201705083,2.599371527,0.06827139594,7.196960723,2.448419085,0.2983229038,7.068534542,2.359987234,0.344645235,7.360737822,2.726456841,-0.6247744852,7.373544369,2.753061889,-0.2984430234,7.38767086,2.68367531,0.3848615906,7.002281783,2.29511532,0.01776699373,7.341590712,2.645569283,-0.2293354619,6.974108677,2.215978822,0.2696498489,7.544462699,2.888874711,-0.4648147736,7.455497823,2.782272035,0.118183971,7.216073971,2.547854039,-0.228438675,7.066235166,2.308086331,0.6899467955,7.002544799,2.236313173,0.3664302233,6.876888599,2.113805887,0.5014363479,7.360632548,2.707951193,-0.4895503255,6.983348881,2.302357524,-0.263547924
28,7.31822588,2.78986703,-0.08204745784,7.202443689,2.593057276,0.06673908196,7.202443689,2.593057276,0.06673908196,7.19446748,2.444834208,0.2969592849,7.067201867,2.357680228,0.3419886901,7.356858408,2.723392732,-0.6250130387,7.371038418,2.747881258,-0.3002449537,7.384277168,2.683078606,0.3840371025,7.000181974,2.29303567,0.0158480905,7.339099977,2.644173998,-0.2261269186,6.971601453,2.212471854,0.2691796266,7.541695297,2.886281291,-0.4660181532,7.450777162,2.779109288,0.1172687114,7.213312789,2.546237023,-0.2286368921,7.064169506,2.30504083,0.6910965958,6.999198978,2.232823686,0.3652184276,6.873996203,2.109661956,0.4995954973,7.358588195,2.706268962,-0.487859514,6.982914129,2.301920087,-0.2623175817
29,7.315395022,2.786717688,-0.08289643424,7.202941484,2.58660902,0.06540156615,7.202941484,2.58660902,0.06540156615,7.190385644,2.442277153,0.2961628384,7.065182041,2.35660103,0.3390266004,7.353904532,2.720772778,-0.6250425068,7.36899553,2.742893282,-0.3021832363,7.379530659,2.682620961,0.3832853976,6.997224044,2.290147373,0.01523116084,7.33710006,2.642773705,-0.225100058,6.969402474,2.20799228,0.269413389,7.539464165,2.884910338,-0.4709435017,7.447078671,2.776031341,0.1174049484,7.208961102,2.544991859,-0.2295265544,7.060754595,2.302339844,0.6916595335,6.995973041,2.227911487,0.3631411849,6.870682765,2.106034179,0.4978511012,7.357536228,2.704532433,-0.4836582857,6.981192472,2.298966266,-0.264340181
30,7.312610965,2.783907833,-0.08281956446,7.201029864,2.582715787,0.06466663838,7.201029864,2.582715787,0.06466663838,7.184870935,2.440347363,0.2946677116,7.061687736,2.35491268,0.3369828618,7.352552246,2.718240452,-0.6247801599,7.366227361,2.740284716,-0.3038114473,7.37467561,2.681303909,0.3828025565,6.993418851,2.285300153,0.0176079444,7.335186346,2.640081634,-0.2261105783,6.966878678,2.204074477,0.2693572205,7.537597326,2.884132309,-0.4792470644,7.445301421,2.77269516,0.1181072828,7.20426439,2.543214774,-0.2319954632,7.056729625,2.29989127,0.6916747717,6.993048703,2.223016232,0.3612657112,6.86629724,2.102094675,0.4976067559,7.357144622,2.702184086,-0.4793836831,6.977936737,2.294992131,-0.2675238121
31,7.309821498,2.7811285,-0.08260703173,7.198450771,2.579537532,0.06414240516,7.198450771,2.579537532,0.06414240516,7.179553255,2.438387316,0.2930490955,7.057947002,2.353058024,0.3351966133,7.351060089,2.7156579,-0.6246940239,7.36315727,2.738555842,-0.3051170679,7.369905751,2.679763931,0.3823168802,6.989237348,2.27994486,0.02083311864,7.33319493,2.63702682,-0.2279392103,6.964317994,2.200497967,0.2693215157,7.535751389,2.8834228,-0.4878520645,7.44387124,2.769469083,0.1187232249,7.199811443,2.541003435,-0.2344911431,7.05261063,2.297355836,0.6912092279,6.990327956,2.218524177,0.3597278447,6.862251076,2.098367885,0.4976935783,7.356536508,2.699584388,-0.475852398,6.974156563,2.290776411,-0.2708378266
32,7.307014034,2.778393273,-0.0821067475,7.19362477,2.578813855,0.06401479318,7.19362477,2.578813855,0.06401479318,7.175609368,2.43614453,0.2917356585,7.053924281,2.34984929,0.334724043,7.348526928,2.712318673,-0.6254010354,7.35882976,2.738938434,-0.3055721227,7.365848122,2.676112723,0.382793937,6.984173823,2.274743297,0.02505297477,7.330971891,2.633032196,-0.2309673001,6.961154267,2.198291275,0.2689055591,7.533657086,2.882225262,-0.4952822763,7.442882166,2.766716358,0.1181536812,7.196546719,2.537612224,-0.2373183976,7.048988065,2.294225666,0.6894885251,6.988076902,2.216360033,0.3598804988,6.858251327,2.094978226,0.4982296655,7.354890517,2.696245637,-0.4752989944,6.969725876,2.287759717,-0.2723681922
33,7.304073001,2.77538653,-0.08248177931,7.189626759,2.576854495,0.06407558567,7.189626759,2.576854495,0.06407558567,7.173246482,2.433123057,0.2903241054,7.051200744,2.346320095,0.3344484875,7.343369215,2.708744466,-0.6271878028,7.355158056,2.73772396,-0.3051422291,7.361841531,2.674378241,0.3828401948,6.978477818,2.270661429,0.02889313394,7.328225664,2.629329334,-0.2336284489,6.958190614,2.196833079,0.2694099416,7.531065381,2.879972078,-0.4984223985,7.439852274,2.764934476,0.1170652299,7.194783308,2.533122275,-0.237792427,7.046821758,2.290216158,0.6873809866,6.986274829,2.215471821,0.3612277625,6.858829521,2.091857155,0.4980478122,7.351311144,2.692703441,-0.4795954381,6.965822649,2.284891266,-0.2714829609
34,7.301213826,2.772265653,-0.08308852214,7.18560864,2.574755338,0.06410118762,7.18560864,2.574755338,0.06410118762,7.171509976,2.429682757,0.2891085595,7.048826306,2.342684126,0.3342223856,7.338202431,2.705515458,-0.6289386235,7.351693424,2.736080335,-0.3046208461,7.358444004,2.672231607,0.382590331,6.973192175,2.266544917,0.03226049299,7.325179806,2.62561156,-0.2362683438,6.955373348,2.195400933,0.2697934354,7.52825132,2.877234285,-0.4998586066,7.436799889,2.763193051,0.115791292,7.193445891,2.528188271,-0.2374870561,7.044976258,2.286002188,0.6849586418,6.984639932,2.214641478,0.3627810648,6.860133851,2.089021782,0.4976321014,7.347228903,2.689081312,-0.4850780184,6.962651899,2.282492413,-0.2695731861
35,7.298536295,2.768883204,-0.08425307459,7.183723707,2.570560051,0.06379973315,7.183723707,2.570560051,0.06379973315,7.17107588,2.424808225,0.2877171807,7.047589433,2.340186722,0.3322816942,7.333475239,2.703714517,-0.6302374905,7.348929378,2.73341119,-0.304342002,7.35647226,2.669741559,0.3808818104,6.969771371,2.261692205,0.03430206841,7.321338898,2.62230257,-0.2387987543,6.953019203,2.193456465,0.2691100127,7.525028848,2.873491769,-0.496883485,7.434375302,2.760542275,0.1144576009,7.193137304,2.522489829,-0.2344562394,7.043373495,2.28205046,0.6820905527,6.983009926,2.213179339,0.3641796964,6.863055653,2.086581617,0.4969636437,7.34259028,2.685855249,-0.491034995,6.961219438,2.281091475,-0.2664057858
