C2P1T04_ope_data.tx,C2P1T04_ope_data.ty,C2P1T04_ope_data.tz,C2P1T04_ope_data.rx,C2P1T04_ope_data.ry,C2P1T04_ope_data.rz
0.1460311489,1.706541402,1.52978724,-5.427167503,-0.6811332248,31.32002058
0.1463452779,1.705860365,1.5283819,-5.426917123,-0.6700634087,31.32222334
0.1466414395,1.705226149,1.527061299,-5.42610257,-0.6599101617,31.3240023
0.1469193071,1.704640444,1.525828481,-5.424708315,-0.650707773,31.32533342
0.1471785432,1.704104954,1.524686492,-5.422718828,-0.6424904967,31.32619259
0.1474187971,1.703621401,1.523638379,-5.420118577,-0.6352925493,31.32655565
0.147642614,1.703180729,1.52267223,-5.416897346,-0.629003938,31.3265428
0.147852905,1.702771036,1.521771201,-5.413089315,-0.6234506084,31.32630524
0.1480498486,1.702389794,1.520930927,-5.4087456,-0.6185706713,31.32586514
0.1482336127,1.702034496,1.520147039,-5.403917385,-0.6143022602,31.32524462
0.148404357,1.70170265,1.519415162,-5.398655916,-0.6105835354,31.32446578
0.1485622348,1.701391779,1.518730918,-5.393012499,-0.6073526868,31.32355073
0.1487048913,1.701109684,1.518114446,-5.386619225,-0.6049768948,31.32236715
0.1488311639,1.700861676,1.517578149,-5.379270147,-0.6036681045,31.32083858
0.1489429839,1.700641576,1.517106028,-5.371259727,-0.6031317944,31.3190709
0.1490422823,1.700443219,1.516682072,-5.362882619,-0.6030736161,31.31717004
0.1491309979,1.700260443,1.516290258,-5.354433648,-0.6031994089,31.31524207
0.1492110827,1.700087089,1.51591455,-5.346207798,-0.6032152053,31.31339322
0.1492719348,1.699945978,1.515593497,-5.33796147,-0.6036188897,31.31128126
0.1493064812,1.699854274,1.515361233,-5.329300116,-0.604928925,31.308638
0.1493219887,1.699797332,1.51519508,-5.320292546,-0.6068824608,31.30568105
0.1493257459,1.699760504,1.515072343,-5.311007747,-0.6092167947,31.30262823
0.1493250717,1.699729124,1.514970318,-5.301514872,-0.6116693797,31.29969759
0.1493273198,1.699688507,1.514866289,-5.291883227,-0.6139778294,31.2971074
0.1492996682,1.699748576,1.514952693,-5.280264921,-0.6188502846,31.29377921
0.1492188788,1.69997818,1.515347682,-5.265627569,-0.6279065429,31.28896776
0.1491068655,1.700300879,1.515917059,-5.249264396,-0.6392527343,31.28339265
0.1489859576,1.700639819,1.516526579,-5.232468941,-0.6509965972,31.27777631
0.1488790206,1.700917567,1.517041966,-5.216534754,-0.6612477247,31.27284473
0.1488094171,1.701056161,1.517328907,-5.202755405,-0.6681174893,31.26932726
0.1487423646,1.701094437,1.517503946,-5.188969443,-0.6745065232,31.26739033
0.1486401675,1.701122642,1.517747451,-5.172899078,-0.6835511171,31.26641544
0.1485222081,1.701139542,1.518020829,-5.155663458,-0.6937174735,31.26595778
0.1484080606,1.70114371,1.518285511,-5.138381342,-0.7034719191,31.2655746
0.1483174998,1.701133522,1.518502957,-5.122171,-0.7112808135,31.26482542
0.1482704723,1.701107183,1.518634651,-5.108150411,-0.7156105991,31.26327178
0.1482550306,1.701051098,1.518674356,-5.096253024,-0.7161887845,31.26165089
0.1482458279,1.700957865,1.518648276,-5.085605,-0.7140665141,31.26086242
0.1482427627,1.700834917,1.518566586,-5.07611333,-0.7096956585,31.26071227
