T1P1T17_sup_data.tx,T1P1T17_sup_data.ty,T1P1T17_sup_data.tz,T1P1T17_sup_data.rx,T1P1T17_sup_data.ry,T1P1T17_sup_data.rz
3.785654264,0.5956491629,-1.412762287,-9.39025283,-38.52124033,58.78413038
3.785654264,0.5956491629,-1.412762287,-9.39025283,-38.52124033,58.78413038
3.785654264,0.5956491629,-1.412762287,-9.39025283,-38.52124033,58.78413038
3.785663338,0.5958814254,-1.413041496,-9.379485649,-38.52675531,58.7842557
3.785681009,0.5962012987,-1.413428636,-9.364726143,-38.53445583,58.78449974
3.785710141,0.5966057284,-1.413921543,-9.346155781,-38.54433009,58.78490207
3.7857536,0.5970916604,-1.414518051,-9.323956032,-38.5563663,58.78550227
3.785814252,0.5976560402,-1.415215996,-9.298308365,-38.57055266,58.78633991
3.785894963,0.5982958135,-1.416013213,-9.26939425,-38.58687736,58.78745457
3.785998597,0.5990079261,-1.416907536,-9.237395157,-38.60532861,58.78888581
3.78612802,0.5997893235,-1.417896802,-9.202492554,-38.62589461,58.79067322
3.786286098,0.6006369515,-1.418978845,-9.164867911,-38.64856356,58.79285636
3.786475695,0.6015477557,-1.4201515,-9.124702697,-38.67332367,58.79547482
3.786699679,0.6025186819,-1.421412602,-9.082178382,-38.70016313,58.79856816
3.786960913,0.6035466756,-1.422759988,-9.037476435,-38.72907014,58.80217595
3.787262263,0.6046286827,-1.42419149,-8.990778325,-38.76003292,58.80633778
3.787606596,0.6057616487,-1.425704946,-8.942265522,-38.79303965,58.8110932
3.787996776,0.6069425193,-1.42729819,-8.892119495,-38.82807854,58.81648181
3.788435668,0.6081682402,-1.428969057,-8.840521713,-38.86513779,58.82254317
3.788926139,0.6094357571,-1.430715382,-8.787653645,-38.90420561,58.82931685
3.789471053,0.6107420157,-1.432535,-8.733696762,-38.94527019,58.83684243
3.790073277,0.6120839616,-1.434425748,-8.678832532,-38.98831974,58.84515949
3.790735675,0.6134585405,-1.436385458,-8.623242424,-39.03334245,58.85430759
3.791461113,0.6148626982,-1.438411968,-8.567107909,-39.08032654,58.86432631
3.792252457,0.6162933802,-1.440503111,-8.510610455,-39.12926019,58.87525522
3.793112572,0.6177475322,-1.442656724,-8.453931531,-39.18013162,58.8871339
3.794044323,0.6192221,-1.444870641,-8.397252608,-39.23292902,58.90000192
3.795050576,0.6207140292,-1.447142697,-8.340755153,-39.2876406,58.91389885
3.796134196,0.6222202655,-1.449470728,-8.284620638,-39.34425455,58.92886427
3.79729805,0.6237377546,-1.451852568,-8.229030531,-39.40275908,58.94493775
3.798545001,0.625263442,-1.454286054,-8.1741663,-39.46314239,58.96215887
3.799877916,0.6267942737,-1.456769019,-8.120209417,-39.52539268,58.9805672
3.80129966,0.6283271951,-1.459299299,-8.06734135,-39.58949815,59.0002023
3.802813099,0.6298591519,-1.461874729,-8.015743568,-39.655447,59.02110377
3.804421098,0.63138709,-1.464493145,-7.96559754,-39.72322744,59.04331116
3.806126523,0.6329079548,-1.467152381,-7.917084737,-39.79282767,59.06686405
3.807932239,0.6344186922,-1.469850272,-7.870386627,-39.86423589,59.09180202
3.809841111,0.6359162477,-1.472584655,-7.82568468,-39.93744029,59.11816464
3.811856005,0.6373975671,-1.475353363,-7.783160365,-40.01242909,59.14599149
3.813979786,0.6388595961,-1.478154232,-7.742995151,-40.08919047,59.17532213
3.81621532,0.6402992802,-1.480985098,-7.705370508,-40.16771266,59.20619614
3.818565473,0.6417135653,-1.483843795,-7.670467905,-40.24798383,59.2386531
3.821033109,0.6430993969,-1.486728158,-7.638468812,-40.32999221,59.27273258
3.823621094,0.6444537208,-1.489636022,-7.609554697,-40.41372598,59.30847414
3.826332294,0.6457734826,-1.492565224,-7.583907031,-40.49917335,59.34591737
3.829169574,0.6470556281,-1.495513597,-7.561707282,-40.58632252,59.38510185
3.8321358,0.6482971028,-1.498478977,-7.543136919,-40.6751617,59.42606713
3.835233837,0.6494948524,-1.501459199,-7.528377413,-40.76567908,59.4688528
3.83846655,0.6506458227,-1.504452099,-7.517610232,-40.85786287,59.51349843
3.841836805,0.6517469593,-1.50745551,-7.511016846,-40.95170126,59.56004359
3.845347468,0.6527952079,-1.51046727,-7.508778725,-41.04718246,59.60852786
3.849068844,0.6538285472,-1.513555052,-7.526815162,-41.14617875,59.66886041
3.853063084,0.6548857615,-1.516783776,-7.579949531,-41.25042468,59.75030997
3.857320819,0.6559650056,-1.520147144,-7.666719419,-41.35970182,59.85195544
3.86183268,0.6570644339,-1.523638856,-7.785662412,-41.47379174,59.97287573
3.866589298,0.6581822009,-1.527252615,-7.935316095,-41.59247602,60.11214973
3.871581306,0.6593164613,-1.530982122,-8.114218054,-41.71553623,60.26885635
3.876799334,0.6604653696,-1.534821077,-8.320905877,-41.84275395,60.44207448
3.882234014,0.6616270802,-1.538763183,-8.553917149,-41.97391076,60.63088304
3.887875977,0.6627997479,-1.542802141,-8.811789456,-42.10878824,60.83436092
3.893715854,0.6639815271,-1.546931652,-9.093060385,-42.24716795,61.05158703
3.899744277,0.6651705723,-1.551145417,-9.396267521,-42.38883147,61.28164026
3.905951876,0.6663650381,-1.555437138,-9.719948451,-42.53356039,61.52359953
3.912329285,0.6675630791,-1.559800517,-10.06264076,-42.68113627,61.77654373
3.918867133,0.6687628498,-1.564229254,-10.42288204,-42.83134069,62.03955176
3.925556052,0.6699625048,-1.568717051,-10.79920986,-42.98395522,62.31170253
3.932386674,0.6711601985,-1.57325761,-11.19016183,-43.13876145,62.59207493
3.93934963,0.6723540856,-1.577844631,-11.59427552,-43.29554095,62.87974788
3.94643555,0.6735423206,-1.582471817,-12.01008852,-43.4540753,63.17380027
3.953635068,0.6747230581,-1.587132868,-12.43613842,-43.61414606,63.47331101
3.960938813,0.6758944525,-1.591821486,-12.87096281,-43.77553482,63.77735899
3.968337417,0.6770546584,-1.596531372,-13.31309926,-43.93802315,64.08502312
3.975821512,0.6782018305,-1.601256228,-13.76108536,-44.10139262,64.3953823
3.983381729,0.6793341231,-1.605989755,-14.21345871,-44.26542483,64.70751544
3.991008699,0.680449691,-1.610725655,-14.66875689,-44.42990132,65.02050143
3.998693053,0.6815466885,-1.615457628,-15.12551748,-44.5946037,65.33341918
4.006425424,0.6826232704,-1.620179376,-15.58227806,-44.75931352,65.64534759
4.014196442,0.683677591,-1.624884601,-16.03757624,-44.92381237,65.95536556
4.021996738,0.684707805,-1.629567004,-16.48994959,-45.08788182,66.26255199
4.029816945,0.685712067,-1.634220286,-16.93793569,-45.25130345,66.56598579
