frame,A01_data.tx,A01_data.ty,A01_data.tz,AA01_data.tx,AA01_data.ty,AA01_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz,F11_data.tx,F11_data.ty,F11_data.tz,F12_data.tx,F12_data.ty,F12_data.tz,F13_data.tx,F13_data.ty,F13_data.tz,F14_data.tx,F14_data.ty,F14_data.tz
11,7.485447897,1.641482001,-0.7202665397,7.284035013,1.868394065,-1.022778282,7.098632507,1.357803948,-0.04958817427,7.300821069,1.496270262,0.01799236756,7.621568179,1.713467664,-0.1561724073,7.990939249,2.021830667,-1.614489036,7.341247976,1.551302173,-0.2057088771,7.174183678,1.51623631,-1.440639255,7.024931083,1.421477545,-1.239769459,7.290792004,1.588223748,-1.44863387,7.284708539,1.606261171,-1.615479074,7.036058317,1.379931278,-0.7136484795,7.46852533,1.646453408,-0.8355801023,7.973390602,1.960929684,-0.9246502131,7.96390059,1.970636003,-1.040338355,7.723606106,1.790366194,-0.5263929147
12,7.48152076,1.638240924,-0.7151928631,7.279956607,1.865508819,-1.017848703,7.094686191,1.354936427,-0.04452554142,7.296186354,1.493868323,0.02304297053,7.616706111,1.710867723,-0.1511384471,7.986962668,2.019037791,-1.609155308,7.336688906,1.548632118,-0.2008709345,7.170368835,1.513484206,-1.435361752,7.020738874,1.419474616,-1.23439533,7.287300471,1.585477807,-1.443692413,7.280719165,1.603062399,-1.60955667,7.032269689,1.376659206,-0.7088531463,7.464730959,1.643440547,-0.8305934994,7.969261649,1.958200788,-0.919562823,7.959549201,1.967428848,-1.034856587,7.719284474,1.787539157,-0.5210801711
13,7.477585875,1.634975066,-0.7101482962,7.275878235,1.862599906,-1.012941919,7.090538865,1.352180082,-0.0394741703,7.291486886,1.491584115,0.02807386369,7.611911326,1.708239239,-0.146059916,7.982961672,2.0161902,-1.603827594,7.332137192,1.545901644,-0.1961160424,7.166551557,1.510701917,-1.430138549,7.016529046,1.417436443,-1.229063617,7.283740291,1.582711672,-1.438774004,7.27664297,1.599794947,-1.603510749,7.028481684,1.37339738,-0.7040863364,7.460852336,1.640450731,-0.8256089392,7.965220096,1.955501068,-0.9147392737,7.955317261,1.964312171,-1.029502331,7.714950972,1.784667306,-0.5158423187
14,7.473635004,1.631706893,-0.7051367782,7.271798094,1.859685487,-1.008059943,7.086186579,1.34953037,-0.03443997165,7.286741252,1.489370501,0.03307793645,7.607177692,1.705580351,-0.1409643267,7.978945619,2.013296588,-1.598499696,7.327591653,1.543115457,-0.1914452091,7.162729376,1.507902181,-1.424982217,7.012302402,1.41535265,-1.223799371,7.28010942,1.579929751,-1.433883021,7.272483125,1.596471229,-1.597344131,7.024685703,1.370158473,-0.6993478259,7.456908557,1.637485083,-0.8206329763,7.961244159,1.952815752,-0.9101196183,7.951207488,1.961269774,-1.024279523,7.710605054,1.781765599,-0.5106953905
15,7.469650737,1.628452066,-0.7001557454,7.267720333,1.856769379,-1.003208548,7.081483338,1.347108722,-0.02944082141,7.281820525,1.487566585,0.03807969273,7.602600406,1.702935093,-0.1356907663,7.974830526,2.010387012,-1.593182192,7.323050342,1.540274693,-0.1869125019,7.158923226,1.505104716,-1.419872956,7.00799971,1.413375749,-1.218539214,7.276401577,1.577229067,-1.429049334,7.268160977,1.593104996,-1.591026277,7.020947297,1.366967717,-0.6946738255,7.452833123,1.634587568,-0.815648068,7.957542299,1.950354442,-0.9063594975,7.947318045,1.958452435,-1.019302974,7.706239012,1.778778036,-0.5056805134
16,7.465635969,1.625181752,-0.6951727424,7.263656979,1.853803495,-0.9983676134,7.076371046,1.344972987,-0.02444558671,7.276654086,1.486381329,0.04313095498,7.598246724,1.7003202,-0.130106855,7.970571887,2.007419804,-1.587868306,7.31852399,1.537365392,-0.1825147843,7.155154588,1.502260344,-1.414759025,7.003596851,1.411550948,-1.213197959,7.272626262,1.574608459,-1.42425682,7.263641012,1.589638799,-1.58450943,7.017319713,1.363800516,-0.6900470329,7.448586921,1.631751286,-0.810612007,7.95425027,1.948206818,-0.9038312924,7.943701924,1.955910101,-1.01460859,7.701859704,1.775644157,-0.5007813877
17,7.461604911,1.621879612,-0.6901704183,7.259611255,1.85076555,-0.9935176434,7.07096756,1.343033008,-0.01941875989,7.271338363,1.485579547,0.04823786581,7.594060136,1.697704012,-0.1243041742,7.966232926,2.004348312,-1.582537513,7.314021224,1.534383119,-0.1781935568,7.151414581,1.499328258,-1.409632814,6.999139502,1.409751349,-1.2077985,7.268798063,1.571974735,-1.419466296,7.258984446,1.586032767,-1.577795444,7.013766967,1.360623989,-0.6854188557,7.444222339,1.628932409,-0.8055176678,7.951229781,1.946210539,-0.9020639465,7.940287549,1.953510988,-1.010095351,7.697480545,1.772393793,-0.4959467184
18,7.457559577,1.618571916,-0.6851698407,7.255576053,1.84769081,-0.9886676519,7.065375518,1.341212378,-0.01437667884,7.265955173,1.484935733,0.05336167887,7.589971171,1.695070895,-0.1184090357,7.961868711,2.001206997,-1.577189024,7.309536719,1.531343263,-0.1739330531,7.147683294,1.496344732,-1.404531642,6.994661449,1.407918633,-1.202413009,7.264920855,1.569311678,-1.414679849,7.254242324,1.582331401,-1.570926716,7.010239526,1.357449794,-0.6807922526,7.439779906,1.626135094,-0.8003960143,7.948331508,1.944253199,-0.9006091806,7.936993392,1.951178277,-1.005684574,7.693102952,1.769089346,-0.4911561699
19,7.453501997,1.615284978,-0.680192413,7.251544251,1.844614596,-0.9838269911,7.059697582,1.339434752,-0.009335650555,7.260586424,1.484224425,0.05846379445,7.585910593,1.692405148,-0.1125481604,7.957534276,1.998030372,-1.571822265,7.30506509,1.528261336,-0.16971783,7.143940858,1.493346053,-1.399493181,6.990196609,1.405994456,-1.197113764,7.260998494,1.566603129,-1.409899824,7.249465733,1.578579091,-1.563945915,7.006687835,1.354289644,-0.6761706024,7.435300194,1.623363542,-0.795278217,7.945405215,1.942222916,-0.8990191949,7.933737749,1.948835282,-1.001297962,7.688728261,1.765793311,-0.4863897593
20,7.449434211,1.612045159,-0.6752598567,7.247508717,1.841572277,-0.9790053382,7.054036431,1.337623832,-0.004311930134,7.255314109,1.483220204,0.06350576301,7.581809394,1.689691002,-0.1068486672,7.953284617,1.994852991,-1.566436878,7.300600892,1.525152971,-0.1655327615,7.140167449,1.490368524,-1.394555447,6.985779025,1.403920463,-1.191973159,7.257034817,1.563832989,-1.405128818,7.244705796,1.574820081,-1.556895983,7.003062317,1.351155309,-0.6715576866,7.430823808,1.620621984,-0.7901956354,7.942299755,1.940008312,-0.8968466657,7.930438746,1.94640546,-0.9968575891,7.684357739,1.762568272,-0.4816278422
